번호|개방서비스명|개방서비스ID|개방자치단체코드|관리번호|인허가일자|인허가취소일자|영업상태구분코드|영업상태명|상세영업상태코드|상세영업상태명|폐업일자|휴업시작일자|휴업종료일자|재개업일자|소재지전화|소재지면적|소재지우편번호|소재지전체주소|도로명전체주소|도로명우편번호|사업장명|최종수정시점|데이터갱신구분|데이터갱신일자|업태구분명|좌표정보(X)|좌표정보(Y)|문화체육업종명|문화사업자구분명|지역구분명|총층수|주변환경명|제작취급품목내용|보험기관명|건물용도명|지상층수|지하층수|객실수|건축연면적|영문상호명|영문상호주소|선박총톤수|선박척수|선박제원|무대면적|좌석수|기념품종류|회의실별동시수용인원|시설면적|놀이기구수내역|놀이시설수|방송시설유무|발전시설유무|의무실유무|안내소유무|기획여행보험시작일자|기획여행보험종료일자|자본금|보험시작일자|보험종료일자|부대시설내역|시설규모
1|관광펜션업|03_11_02_P|3400000|CDFI3261092011000001|20110616|20190115|04|취소/말소/만료/정지/중지|33|지정취소|||||722-5972||619904|부산광역시 기장군 기장읍 대변리 433-3번지 |부산광역시 기장군 기장읍 대변로 131|46079|하얀둥지도브|20190115130244|U|2019-01-17 02:40:00.0||402663.274886829    |194282.166954079    |관광펜션업||일반주거지역|2|기타|||단독주택|2|||||||||||||187.38|||||||||||||187
2|관광펜션업|03_11_02_P|3400000|CDFI3261092010000001|20100831||03|폐업|03|폐업|20170731||||051-727-3111||619951|부산광역시 기장군 장안읍 장안리 106-1번지 |부산광역시 기장군 장안읍 하장안1길 8-2|46028|루나 펜션|20170731140541|I|2018-08-31 23:59:59.0||404460.428998076    |209446.135817717    |관광펜션업|||2||||||||||||||||||143.26|||||||||400000000||||143
3|관광펜션업|03_11_02_P|3490000|CDFI3261092018000001|20181004||01|영업/정상|13|영업중||||||||인천광역시 중구 중산동 1946-18번지 블루오션프라자 |"인천광역시 중구 영종진광장로 52, 블루오션프라자 (중산동)"|22393|블루오션펜션|20181004112411|I|2018-10-06 02:36:19.0||162695.41511973     |443877.271603086    |관광펜션업||일반상업지역|3|기타|||숙박시설|3|0||||||||||||965.08|||||||||450000000||||965
4|관광펜션업|03_11_02_P|3570000|CDFI3261092010000001|20101123||01|영업/정상|13|영업중|||||||417862|인천광역시 강화군 화도면 동막리 61-19번지 |인천광역시 강화군 화도면 해안남로1502번길 11|23062|수랜드|20111030132751|I|2018-10-09 15:19:31.0||151976.359076573    |454874.747653279    |관광펜션업||관리지역|3|기타|||숙박시설|3|||||||||||||583.2|||||||||1300000000||||583
5|관광펜션업|03_11_02_P|3570000|CDFI3261092004000002|20040816||01|영업/정상|13|영업중|||||032-933-9677|||인천광역시 강화군 삼산면 매음리 650-56번지 노을내리는아름다운집 |"인천광역시 강화군 삼산면 삼산남로 933-1, 노을내리는아름다운집"|23007|노을 내리는 아름다운 집|20190508163518|I|2019-05-10 02:20:42.0||138691.431293705    |465392.446784949    |관광펜션업||||||||||||||||||||||||||||||||||
6|관광펜션업|03_11_02_P|3570000|CDFI3261092019000001|20190117||01|영업/정상|13|영업중||||||||인천광역시 강화군 화도면 내리 1793번지 |인천광역시 강화군 화도면 해안남로 2850-1|23060|소고펜션|20190117194733|I|2019-01-19 02:21:19.0||146284.337094535    |459667.499812787    |관광펜션업|||2|||||2||||||||||||||||||||||||||
7|관광펜션업|03_11_02_P|3570000|CDFI3261092018000003|20181227||01|영업/정상|13|영업중||||||||인천광역시 강화군 하점면 장정리 479-1번지 |"인천광역시 강화군 하점면 장정양오길 86-26, 고인돌펜션"|23014|고인돌펜션|20181227173241|I|2018-12-29 02:20:32.0||149875.742907193    |475238.752665112    |관광펜션업|||2||||단독주택|2||||||||||||||||||||||50000000||||
8|관광펜션업|03_11_02_P|3570000|CDFI3261092012000001|20120702||01|영업/정상|13|영업중|||||032-933-7711||417911|인천광역시 강화군 삼산면 매음리 1055-2번지 |인천광역시 강화군 삼산면 삼산남로 1011|23007|한가라지농원 팬션|20120702145406|I|2018-10-09 15:19:31.0||138030.304096057    |465748.151885855    |관광펜션업||||||||||||||||||||||||||||||||||
9|관광펜션업|03_11_02_P|3570000|CDFI3261092015000001|20150407||01|영업/정상|13|영업중|||||0329378602||417862|인천광역시 강화군 화도면 사기리 |인천광역시 강화군 화도면 해안남로1066번길 12|23059|무무관광펜션|20150407103536|I|2018-10-09 15:19:31.0||152267              |457675              |관광펜션업||일반주거지역|3|주택가주변|||숙박시설|2|1||||||||||||413.81|||||||||500000000||||414
10|관광펜션업|03_11_02_P|3570000|CDFI3261092015000002|20151118||01|영업/정상|13|영업중||||||||인천광역시 강화군 화도면 동막리 165번지 |인천광역시 강화군 화도면 해안남로 1641|23062|라파엘|20151118114906|I|2018-10-09 15:19:31.0||150670.277841519    |455020.763041163    |관광펜션업||주거지역|3|기타|||기타|3||||||||||||||||||||||||||
