번호|개방서비스명|개방서비스ID|개방자치단체코드|관리번호|인허가일자|인허가취소일자|영업상태구분코드|영업상태명|상세영업상태코드|상세영업상태명|폐업일자|휴업시작일자|휴업종료일자|재개업일자|소재지전화|소재지면적|소재지우편번호|소재지전체주소|도로명전체주소|도로명우편번호|사업장명|최종수정시점|데이터갱신구분|데이터갱신일자|업태구분명|좌표정보(X)|좌표정보(Y)|문화체육업종명|문화사업자구분명|지역구분명|총층수|주변환경명|제작취급품목내용|보험기관명|건물용도명|지상층수|지하층수|객실수|건축연면적|영문상호명|영문상호주소|선박총톤수|선박척수|선박제원|무대면적|좌석수|기념품종류|회의실별동시수용인원|시설면적|놀이기구수내역|놀이시설수|방송시설유무|발전시설유무|의무실유무|안내소유무|기획여행보험시작일자|기획여행보험종료일자|자본금|보험시작일자|보험종료일자|부대시설내역|시설규모
1|관광숙박업|03_11_01_P|3000000|CDFI2260032016000002|20160202||01|영업/정상|13|영업중|||||02  747 5000|||서울특별시 종로구 낙원동 132-2번지 |서울특별시 종로구 돈화문로11길 33 (낙원동)|03139|메이커스호텔|20171127134654|I|2018-08-31 23:59:59.0||199006.632077166    |452230.869107906    |관광숙박업|||12||||숙박시설|10|2|42|1604|Makers Hotel|Tourist Accomodation Business||||||||1603.84|||||||||||||1604
2|관광숙박업|03_11_01_P|3000000|CDFI2260032016000003|20160309||01|영업/정상|13|영업중|||||02  22503000|||서울특별시 종로구 숭인동 1396번지 |서울특별시 종로구 난계로 241 (숭인동)|03116|아이비씨호텔|20160309095136|I|2018-08-31 23:59:59.0||201949.270716491    |452329.735166543    |관광숙박업|||9||||호텔|7|2|100|4617|IBC HOTEL|Tourist Accomodation Business||||||||4617.19|||||||||1000000000||||4617
3|관광숙박업|03_11_01_P|3000000|CDFI2260032016000005|20160601||01|영업/정상|13|영업중|||||767-9848|||서울특별시 종로구 인의동 48-26번지 |"서울특별시 종로구 창경궁로 106 (인의동, 라마다호텔)"|03130|호텔 아트리움|20160909154755|I|2018-08-31 23:59:59.0||199764.69151091     |452177.255224359    |관광숙박업|||||||호텔|12|5|139|9969|Hotel Atrium|Tourist Accomodation Business||||||||9968.21|||||||||||||9968
4|관광숙박업|03_11_01_P|3000000|CDFI2260032015000007|20151229||01|영업/정상|13|영업중|||||02  22318723|||서울특별시 종로구 숭인동 207-32번지 |"서울특별시 종로구 난계로29길 55 (숭인동, 베니키아호텔동대문)"|03115|베니키아 프리미어 호텔 동대문|20170217093506|I|2018-08-31 23:59:59.0||201712.855210767    |452371.734482943    |관광숙박업||상업지역|18|||||18|3|||Benikea Premier Hotel Dongdaemun|Tourist Accomodation Business||||||||9928.87|||||||||9000000000||||9929
5|관광숙박업|03_11_01_P|3000000|CDFI2260032015000006|20151221||01|영업/정상|13|영업중|||||02  60609000|||서울특별시 종로구 수송동 51-8번지 |"서울특별시 종로구 삼봉로 71 (수송동, G타워)"|03150|신라스테이 광화문|20160620171907|I|2018-08-31 23:59:59.0||198270              |452247              |관광숙박업||일반상업지역|18|||||18|5|||Shilla Stay Gwanghwamun|Tourist Accomodation Business||||||||17595.08|||||||||200000000000||||17595
6|관광숙박업|03_11_01_P|3000000|CDFI2260032015000001|20150126||01|영업/정상|13|영업중|||||02-744-1271||110380|서울특별시 종로구 권농동 127-1번지 |서울특별시 종로구 율곡로10길 11 (권농동)|03134|에이메스 호텔|20190108153515|U|2019-01-10 02:40:00.0||199156.623916493    |452747.807991092    |관광숙박업||일반상업지역|6||||숙박시설|5|1|30|1353|AMASS HOTEL|Tourist Accomodation Business||||||||1353.48|||||||||10000000||||1353
7|관광숙박업|03_11_01_P|3000000|CDFI2260032014000008|20141105||01|영업/정상|13|영업중|||||02-741-3831||110450|서울특별시 종로구 원남동 177-1번지 |서울특별시 종로구 율곡로 164 (원남동)|03136|고궁호텔|20171127134621|I|2018-08-31 23:59:59.0||199642.716240024    |452606.614384676    |관광숙박업||일반상업지역|9|학교정화(상대)|||호텔|7|2|58|2704|Gogoong Hotel|Tourist Accommodation Business||||||||2704|||||||||6000000000||||2704
8|관광숙박업|03_11_01_P|3000000|CDFI2260032014000007|20140721||01|영업/정상|13|영업중|||||02-742-8080||110450|서울특별시 종로구 원남동 25번지 |서울특별시 종로구 율곡로 179 (원남동)|03081|메이플레이스 호텔 서울 동대문|20180110102801|I|2018-08-31 23:59:59.0||199818.769709814    |452646.808088738    |관광숙박업|||15|||||13|2|107||MAYPLACE HOTEL|Tourist Accommodation Business||||||||4942.71|||||||||||||4943
9|관광숙박업|03_11_01_P|3000000|CDFI2260032014000006|20140602||01|영업/정상|13|영업중|||||02-2268-8011||110111|서울특별시 종로구 관철동 35-1번지 |서울특별시 종로구 종로16길 32-4 (관철동)|03191|호스텔 클로이|20180124132102|I|2018-08-31 23:59:59.0||198924.493311656    |451826.54074884     |관광숙박업||||||||||18|293|HOSTEL CLOY|Tourist Accommodation Business||||||||292.8|||||||||||||293
10|관광숙박업|03_11_01_P|3000000|CDFI2260032014000005|20140508||01|영업/정상|13|영업중|||||02-742-6200||110842|서울특별시 종로구 창신동 444-9번지 |서울특별시 종로구 종로46길 22 (창신동)|03119|24guesthouse동대문마켓점|20190108135321|U|2019-01-10 02:40:00.0||200833.121381281    |452040.323909642    |관광숙박업|||5|||||5|1|10|152|"24GUESTHOUSE
DONGDAEMUN MARKET"|Tourist Accommodation Business||||||||151.96|||||||||||||152
11|관광숙박업|03_11_01_P|3000000|CDFI2260032014000004|20140214||01|영업/정상|13|영업중|||||02-734-0024||110111|서울특별시 종로구 관철동 7-5번지 |서울특별시 종로구 삼일대로17길 8 (관철동)|03190|24게스트하우스 인사동|20171127135253|I|2018-08-31 23:59:59.0||198797.140043517    |451887.51214766     |관광숙박업|||5|||||5|2|25|2057|24guesthouse Insadong|Tourist Accommodation Business||||||||446.49|||||||||500000000||||446
12|관광숙박업|03_11_01_P|3000000|CDFI2260032014000003|20140203||01|영업/정상|13|영업중|||||||110825|서울특별시 종로구 숭인동 200-33번지 2층 |"서울특별시 종로구 종로 382, 2층 (숭인동)"|03115|호스텔코리아 10호점|20171127135221|I|2018-08-31 23:59:59.0||201687.573879734    |452408.346754198    |관광숙박업||일반상업지역||||||||9||KIM HAK NOH|Tourist Accommodation Business||||||||235.14|||||||||||||235
13|관광숙박업|03_11_01_P|3000000|CDFI2260032018000001|20180214||01|영업/정상|13|영업중|||||2235-1301|||서울특별시 종로구 숭인동 1405번지 |서울특별시 종로구 난계로29길 19-11 (숭인동)|03116|루미아호텔|20180218094859|I|2018-08-31 23:59:59.0||201895.419403144    |452395.129773561    |관광숙박업|||14|||||14|1|61|1998|LUMIA HOTEL|Tourist Accommodation Business||||||||1997.89|||||||||3750709000||||1998
14|관광숙박업|03_11_01_P|3000000|CDFI2260032016000006|20160614||01|영업/정상|13|영업중|||||02-742-2948|||"서울특별시 종로구 명륜4가 188-12번지 2,3층 "|"서울특별시 종로구 창경궁로 224, 2,3층 (명륜4가, 서울시티빌딩)"|03079|호스텔 데이|20180111133625|I|2018-08-31 23:59:59.0||199747.024385135    |453304.910568114    |관광숙박업|||||||숙박시설|||13||Hostel Day|Tourist Accomodation Business||||||||348.6|||||||||500000000||||349
15|관광숙박업|03_11_01_P|3000000|CDFI2260032017000001|20170608||01|영업/정상|13|영업중|||||0222312757|||서울특별시 종로구 숭인동 202-13번지 |서울특별시 종로구 종로66가길 21 (숭인동)|03115|서울앤호텔 동대문|20180823165403|I|2018-08-31 23:59:59.0||201770.687981914    |452337.690748925    |관광숙박업||일반상업지역|14|기타||KB손해보험|숙박시설|14|2|101|171|"Seoul N Hotels Co. , Ltd"|Tourist Accomodation Business(Hostel)||||||||2507|||||||||100000000||||2507
16|관광숙박업|03_11_01_P|3000000|CDFI2260031970000001|19700501||01|영업/정상|13|영업중|||||02-741-7080|||서울특별시 종로구 창신동 436-73번지 |"서울특별시 종로구 청계천로 341 (창신동, 삼호호텔)"|03120|VATICA HOTEL(바티카 호텔)|20170118165906|I|2018-08-31 23:59:59.0||201302.883783666    |451982.388503793    |관광숙박업|관광사업||8|||||7|1|50||VATICA HOTEL|Tourist Accommodation Business||||||||3292|||||||||||||3292
17|관광숙박업|03_11_01_P|3000000|CDFI2260031969000001|19690501||01|영업/정상|13|영업중|||||02-6365-6500|||서울특별시 종로구 장사동 227-1번지 |"서울특별시 종로구 청계천로 137 (장사동, 센트럴관광호텔)"|03193|센추럴|20170118165806|I|2018-08-31 23:59:59.0||199302.818541341    |451834.817165156    |관광숙박업|관광사업||10|||||9|1|78|||||||||||6309.22|||||||||||||6309
18|관광숙박업|03_11_01_P|3000000|CDFI2260031968000001|19680501||01|영업/정상|13|영업중|||||02-741-7811|||서울특별시 종로구 창신동 444-14번지 |"서울특별시 종로구 종로 286 (창신동, 이스턴호텔)"|03119|동대문관광호텔|20170118165718|I|2018-08-31 23:59:59.0||200846.171043058    |452069.005122414    |관광숙박업|관광사업||9|||||8|2|52|||||||||||3798.73|||||||||||||3799
19|관광숙박업|03_11_01_P|3000000|CDFI2260031967000001|19670403||01|영업/정상|13|영업중|||||02-734-6884|||서울특별시 종로구 종로2가 9번지 (8층) |"서울특별시 종로구 종로 69 (종로2가, YMCA)"|03164|서울YMCA관광호텔|20171127134510|I|2018-08-31 23:59:59.0||198630.79627088     |452035.412646906    |관광숙박업|관광사업||9||||호텔|8|1|30||SEOUL YMCA TOURIST HOTEL|TOURIST HOTEL||||||||892.86|||||||||||||893
