번호|개방서비스명|개방서비스ID|개방자치단체코드|관리번호|인허가일자|인허가취소일자|영업상태구분코드|영업상태명|상세영업상태코드|상세영업상태명|폐업일자|휴업시작일자|휴업종료일자|재개업일자|소재지전화|소재지면적|소재지우편번호|소재지전체주소|도로명전체주소|도로명우편번호|사업장명|최종수정시점|데이터갱신구분|데이터갱신일자|업태구분명|좌표정보(X)|좌표정보(Y)|문화체육업종명|문화사업자구분명|지역구분명|총층수|주변환경명|제작취급품목내용|보험기관명|건물용도명|지상층수|지하층수|객실수|건축연면적|영문상호명|영문상호주소|선박총톤수|선박척수|선박제원|무대면적|좌석수|기념품종류|회의실별동시수용인원|시설면적|놀이기구수내역|놀이시설수|방송시설유무|발전시설유무|의무실유무|안내소유무|기획여행보험시작일자|기획여행보험종료일자|자본금|보험시작일자|보험종료일자|부대시설내역|시설규모
1|일반야영장업|03_11_07_P|3030000|CDFI2262132015000001|20150630||01|영업/정상|13|영업중|||||||133825|서울특별시 성동구 성수동1가 643번지 |서울특별시 성동구 뚝섬로 273 (성수동1가)|04770|성동 서울숲 여름캠핑장|20150630104504|I|2018-11-26 13:44:42.0||203672.17913677     |448820.845852735    |일반야영장업||자연녹지지역||기타|||||||||||||||||2000|||||||||||||2000
2|일반야영장업|03_11_07_P|3040000|CDFI2262132015000002|20150908||03|폐업|03|폐업|20160601||||024509327|||서울특별시 광진구 능동 18-14번지 |"서울특별시 광진구 능동로 216 (능동, 어린이대공원)"|04991|어린이대공원(캠핑체험장)|20160601154633|I|2018-11-26 13:44:42.0||207326.867876383    |449304.553193013    |일반야영장업||||||||||||||||||||||||||||||||||
3|일반야영장업|03_11_07_P|3040000|CDFI2262132016000001|20160713||03|폐업|03|폐업|20160928|||||||서울특별시 광진구 자양동 435번지 |||(주)난지한강여름캠핑장|20160928180541|I|2018-11-26 13:44:42.0||206301.875888322    |447369.114975005    |일반야영장업||||||||||||||||||||||||||||||||||
4|일반야영장업|03_11_07_P|3040000|CDFI2262132017000001|20170710||03|폐업|03|폐업|20171108||||02  69598455|||서울특별시 광진구 자양동 435번지 |||(주)한캠프|20171108141442|I|2018-11-26 13:44:42.0||206301.875888322    |447369.114975005    |일반야영장업||||||||||||||||||||||||||||||||||
5|일반야영장업|03_11_07_P|3040000|CDFI2262132015000001|20150721||03|폐업|03|폐업|20151007||||070 40665975||143193|서울특별시 광진구 자양동 427-13번지 |||(주)엘아이커뮤니케이션즈|20151007172600|I|2018-11-26 13:44:42.0||206297.741262124    |447413.748434959    |일반야영장업||||||||||||||||||||||||||||||||||
6|일반야영장업|03_11_07_P|3040000|CDFI2262132018000001|20180713||03|폐업|03|폐업|20180903||||02  69598455|||서울특별시 광진구 자양동 427-12번지 |||(주)한캠프|20190129164102|U|2019-01-31 02:40:00.0||206230.832828856    |447438.075924422    |일반야영장업||||||||||||||||||||||||||||||||||
7|일반야영장업|03_11_07_P|3080000|CDFI2262132015000001|20150717||03|폐업|03|폐업|20161103||||02   9016923|||서울특별시 강북구 번동 산 17번지 |||오동근린공원 임시캠핑장|20161103172832|I|2018-11-26 13:44:42.0||202863.8709372      |458850.655391668    |일반야영장업||녹지지역|||||||||||||||||||15000|||||||||||||15000
8|일반야영장업|03_11_07_P|3100000|CDFI2262132015000001|20150703||03|폐업|03|폐업|20180208||||000221163946||139052|서울특별시 노원구 월계동 산 3-1번지 |서울특별시 노원구 마들로5가길 66-107 (월계동)|01866|초안산 임시캠핑장|20180716130854|I|2018-11-26 13:44:42.0||204326.575706642    |459998.193364129    |일반야영장업||녹지지역||기타|||||||||||||||||4700|||||||||||||4700
9|일반야영장업|03_11_07_P|3110000|CDFI2262132016000001|20161006||01|영업/정상|13|영업중||||||||서울특별시 은평구 진관동 330-14번지 북한산글램핑장 |"서울특별시 은평구 북한산로 232-1, 북한산글램핑장 (진관동)"|03308|북한산 캠핑장|20180622155108|I|2018-11-26 13:44:42.0||194453.569951258    |460859.542618718    |일반야영장업||자연녹지지역||||||||||||||||||||||||||||||||
10|일반야영장업|03_11_07_P|3130000|CDFI2262132015000002|20150616||01|영업/정상|13|영업중|||||0237800658||121270|서울특별시 마포구 상암동 495-81번지 |서울특별시 마포구 한강난지로 28 (상암동)|03900|한강공원 난지캠핑장|20150616164927|I|2018-11-26 13:44:42.0||188696.594570334    |451925.885396731    |일반야영장업||||||||||||||||||||||||||||||10000000||||
