NAME|BRANCH|ADDR|TELL
크린에이드|양수역점|경기도 양평군 양서면 상촌길 30|031-775-8200
크린에이드|소흘점|경기도 포천시 소흘읍 태봉로 126CU편의점 2층|031-541-3077
크린에이드|리치마트점|경기도 양주시 평화로 1417 (덕계동)리치마트 내 1층 크린에이드 리치마트점|031-866-8832
크린에이드|제주표선점|제주특별자치도 서귀포시 표선면 표선중앙로 68|064-787-8285
크린에이드|두산위브점|경기도 성남시 수정구 태평로 65 (태평동, 가천대역 두산위브)상가동 지하1층 110호 |031-756-6446
크린에이드|강남서초점|서울특별시 서초구 서운로 62 (서초동, 래미안 리더스원)상가 B111호|02-586-7006
크린에이드|기장장안점|부산광역시 기장군 장안읍 좌천로 99|051-727-0880
크린에이드|하남미사역점|경기도 하남시 미사강변동로 95 (망월동)힐스테이트 그랑파사쥬 12-1 BL 2102호|031-795-2988
크린에이드|예산서오점|충청남도 예산군 예산읍 역전로 150-12상가|041-331-0595
크린에이드|역촌본점|서울특별시 은평구 갈현로11길 13 (역촌동)|02-387-7711
크린에이드|서초점|서울특별시 서초구 서초대로40길 72 (서초동, 서초한빛삼성아파트)상가동 102호|02-584-5806
크린에이드|속초자이점|강원도 속초시 조양로 181 (조양동, 속초 자이)상가2동 2205호|033-631-2865
크린에이드|화명롯데카이저점|부산광역시 북구 금곡대로 166 (화명동, 롯데캐슬카이저)상가 120호|051-926-6789
크린에이드|향남점|경기도 화성시 향남읍 발안공단로2길 34라일플로리스|010-9658-9500
크린에이드|반월점|경기도 화성시 동탄원천로 382-37 (반월동, 에스케이뷰파크)후문상가 2동 2층 201호|031-237-8338
크린에이드|제일시장점|경기도 의정부시 태평로73번길 20 (의정부동)제일시장 가동 24호|031-928-5121
크린에이드|봉덕점|대구광역시 남구 신촌길 94 (봉덕동, 서한이다음)301동 103호|053-471-8586
크린에이드|원흥점|경기도 고양시 덕양구 원흥1로 11 (원흥동, 원흥마을12단지)상가동 106호 |031-901-6325
크린에이드|춘천파크자이점|강원도 춘천시 스포츠타운길 458 (삼천동)상가동 2층 206호|033-264-7474
크린에이드|불광점|서울특별시 은평구 통일로 796 (불광동, 북한산 힐스테이트7차)APT상가 1층|02-386-2070
크린에이드|동탄호수공원점|경기도 화성시 동탄순환대로8길 14 (장지동, 동탄호수공원아이파크)호수공원 아이파크 108호|031-372-8662
크린에이드|명지금강점|부산광역시 강서구 명지국제5로 110 (명지동, 금강펜테리움 센트럴파크 3차)아파트 정문입구|051-291-9119
크린에이드|관악봉천점|서울특별시 관악구 관악로29길 19 (봉천동)|02-883-2112
크린에이드|방학청구점|서울특별시 도봉구 해등로 268 (방학동)에이상가동 지하5호(방학동, 청구아파트)|02-955-7906
크린에이드|하나로마트 동탄점|경기도 화성시 동탄순환대로27길 30 (영천동)농협동탄유통센터 3층|031-373-9076
크린에이드|청광점|인천광역시 남동구 서창남순환로 82 (서창동, 청광플러스원아파트)상가 1층 107호|032-472-2293
크린에이드|부산초량점|부산광역시 동구 고관로 48 (초량동)신화하니엘 더시티 102호|051-465-8248
크린에이드|망양e편한세상점|울산광역시 울주군 온양읍 망양길 50 (온양 e편한세상)드림마트 옆 상가|052-237-4455
크린에이드|율하시티점|경상남도 김해시 율하5로 11 (장유동, 시티프라디움)근린생활시설 1동 209호(2층)|055-312-5006
크린에이드|상봉센트럴점|서울특별시 중랑구 봉우재로 155 (상봉동)센트럴파크 55 제1층 제101호|02-493-0970
크린에이드|사직쌍용플래티넘점|부산광역시 동래구 아시아드대로134번길 62 (사직동, 신정아파트)|051-924-4969
크린에이드|하나로마트 양재점|서울특별시 서초구 청계산로 10 (양재동)하나로마트 지하1층|02-529-8980
크린에이드|e편한세탁점|부산광역시 강서구 명지국제2로 80 (명지동, e편한세상 명지)비주거시설동 1층 76호|051-206-7773
크린에이드|송탄클래시아점|경기도 평택시 탄현로 261 (신장동)상가 121호 (클래시아)|031-666-7997
크린에이드|삼정그린코아점|경기도 안성시 고수2로 70 (당왕동, 삼정그린코아)아파트 정문 상가 101호|031-8057-8588
크린에이드|서울대기숙사점|서울특별시 관악구 관악로 1 (신림동)서울대학교 관악캠퍼스 919-A동 세탁소|02-881-9064
크린에이드|후평우미린점|강원도 춘천시 보안길 36 (후평동, 우미린뉴시티)상가2동 103호 |033-912-9876
크린에이드|가든파이브점|서울특별시 송파구 충민로 10 (문정동)가든파이브 지하1층 |02-6080-8421
크린에이드|증산이지5차점|경상남도 양산시 물금읍 물금로 57 (양산 이지더원 5차 아파트)107호|055-382-1273
크린에이드|다산리코빌점|경기도 남양주시 다산순환로 220 (다산동)다산리코빌 오피스텔 상가 129호|031-523-2678
