NAME|BRANCH|ADDR|TELL|ID
더샘|NC백화점청주점|충북 청주시 흥덕구 2순환로 1233, 4층|043-716-6226|73236
더샘|강남지하2호점|서울 강남구 테헤란로 101 (역삼동) 강남역지하상가 E-16호, E-40호|02-538-7083|223
더샘|강릉점|강원 강릉시 임당동 123-1번지|033-645-2298|182
더샘|거제옥포점|경남 거제시 옥포동 540-1|055-688-4788|23
더샘|건대점|서울 광진구 능동로 103 (화양동, 동서빌딩) 1동 2-2호, 지하2호|02-499-7083|684
더샘|경산하양점|경북 경산시 하양읍 하양로 79|053-853-8008|187
더샘|고양신원점|경기 고양시 덕양구 권율대로 902 (신원동)|02-381-8841|65936
더샘|광명점|경기 광명시 광명로 891-1 (광명동) 1층|02-2617-1900|83236
더샘|광주송정점|광주 광산구 광산로 33-2 (송정동)|062-941-7040|87236
더샘|광주신가점|광주 광산구 수등로258번길 2 (신가동) 1층|062-955-5058|268
더샘|광주전남대점|광주 북구 용봉동 우치로 90번길 7|062-265-3933|207
더샘|광주첨단점|광주 광산구 첨단중앙로 167, 104 (월계동, 씨타워1층)|062-974-2112|277
더샘|광주충장로점|광주 동구 충장로2가 14번지|062-236-3285|26
더샘|구미신평점|경북 구미시 신비로 95 (공단동, 강변파라디아) A동 103호|054-462-3532|852
더샘|군산수송점|전북 군산시 수송로 199 (수송동, 나인빌딩) 1층 101호|063-468-2225|218
더샘|군산영동점|전북 군산시 중앙로 163 (중앙로1가) 중앙로1가 16-3번지|063-443-2027|484
더샘|논산점|충남 논산시 중앙로 434 (취암동) 1층 107호|None|466
더샘|뉴코아아울렛모란점|경기 성남시 중원구 성남대로 1136 (성남동) 뉴코아아울렛 모란점 1층 더샘|031-729-1450|11236
더샘|당진점|충남 당진시 당진중앙2로 103-17 (읍내동) 1층|041-356-2021|21336
더샘|대구계명대점|대구 달서구 계대동문로 24 (신당동) |053-581-3855|166
더샘|대구동성로점(N2)|대구 중구 동성로 29 (동성로2가)|053-255-6777|69236
더샘|대구두류지하점|대구 서구 달구벌대로 지하 1760(내당동) 두류 1번가 B,C열 57호|053-657-1496|196
더샘|대구지산점|대구 수성구 용학로 293 (지산동, 지촌빌딩1층) 2호|053-782-5372|87636
더샘|대구침산점|대구 북구 침산로 153 (침산동, 명성푸르지오아파트) 103동 1층 B4호|053-353-3855|253
더샘|대전둔산점|대전 서구 둔산로 30 (둔산동)|042-472-5584|65336
더샘|대전은행지상점|대전 중구 은행동 33∼76 대종로 488번길 31|042-226-4422|184
더샘|대전은행지하점|대전 중구 은행동 지하상가 B동 나열 3호4호|042-253-2959|13236
더샘|동대문점|서울시 중구 중구 장충단로13길 13 (을지로6가)|02-2265-1780|65636
더샘|동탄점|경기 화성시 동탄반석로 124 (반송동) 107호|None|25636
더샘|롯데마트성정점|충청남도 천안시 서북구 성정두정로 1 (성정동) 롯데마트 성정점 1층|041-522-5127|65736
더샘|마석점|경기도 남양주시 화도읍 마석중앙로 76|031-511-2767|65436
더샘|명동1호점|서울 중구 명동8길 41|070-4159-7020|1
더샘|명동3호점|서울 중구 명동2가 명동길 36-1 (명동2가 삼호빌딩)|02-773-1140|78
더샘|명동5호점|서울 중구 명동10길 43 (충무로2가)|02-757-4901|68
더샘|명동길점|서울 중구 명동1가 명동길 9(75-1번지)|02-779-8623|103
더샘|명동사보이점|서울 중구 명동8나길 10|010-2654-1327|30
더샘|범계점|경기 안양시 동안구 평촌대로223번길 65 103호 (호계동, 범계빌딩)|031-385-1210|504
더샘|부산경성대점|부산 남구 용소로15 (대연동, 로티보이카페)|051-611-6829|280
