NAME|BRANCH|ADDR|TELL|XCORD|YCORD
E안경|하당본점|전라남도 목포시 비파로 42|061-284-4422|126.4274388|34.802506
E안경|남악직영점|전라남도 무안군 삼향읍 대죽서로 42|061-247-4000|126.462273|34.8123106
E안경|전주아중점|전라북도 전주시 덕진구 건산로 225|063-222-2212|127.1619432|35.8343995
E안경|나주혁신점|전라남도 나주시 문화로 234|061-334-2996|126.7853134|35.0196592
E안경|신대점|전라남도 순천시 해룡면 향매로 97|061-723-7744|127.5500227|34.9335929
E안경|화순점|전라남도 화순군 화순읍 중앙로 78|061-374-9300|126.9896455|35.0603138
E안경|해남점|전라남도 해남군 해남읍 남부순환로 2|061-532-0993|126.6066831|34.5706065
E안경|목포점|전라남도 목포시 영산로59번길 30|061-245-4422|126.3838789|34.790582
E안경|염주점|광주광역시 서구 월드컵4강로 65-1|062-232-2002|126.8743204|35.1428263
E안경|대인점|광주광역시 동구 독립로 276|062-233-9911|126.912311|35.1553255
E안경|상무점|광주광역시 서구 상무중앙로38번길 11-11 덕성빌딩|062-361-0901|126.8494782|35.1512737
E안경|금호점|광주광역시 서구 풍금로171번길 8|062-673-6773|126.8587441|35.131358
E안경|유동점|광주광역시 북구 경열로 226|062-511-2221|126.9068958|35.1594054
E안경|풍암점|광주광역시 서구 풍암중앙로 49|062-682-2219|126.8796171|35.1254571
E안경|신세계이마트점|광주광역시 서구 죽봉대로 61 광주 이마트|062-365-9777|126.8819828|35.1588082
E안경|첨단점|광주광역시 광산구 첨단중앙로 170|062-973-2223|126.8421186|35.2204414
E안경|광주직영점|광주광역시 동구 금남로 250-9 타임빌딩|062-227-0021|126.9184479|35.1473164
