NAME|BRANCH|NEWADDR|OLDADDR|TELL
LGU플러스|가산동가산디지털단지점 |서울 금천구 가산디지털1로 168 (가산동)|서울시 금천구 가산동 371-28|070-5035-9996
LGU플러스|갈월동숙대입구역점 |서울 용산구 한강대로 289 (갈월동)|서울시 용산구 갈월동 87|070-4042-3700
LGU플러스|강일동리버파크점 |서울시 강동구 아리수로93길 9 [지번주소]강동구 강일동 675-4 골든프라자 1층|서울시 강동구 강일동 675-4 [지번주소]강동구 강일동 675-4 골든프라자 1층|070-4046-4605
LGU플러스|구로동구로이마트점 |서울시 구로구 디지털로34길 55 (구로동)|서울시 구로구 구로동 811|070-4090-5190
LGU플러스|길동길동역점 |서울시 강동구 양재대로 1465 마루홈타운1층(길동412-8) (길동)|서울시 강동구 길동 412-8 마루홈타운 1층 (길동)|070-5022-5475
LGU플러스|길음동길음역점 |서울 성북구 길음로 6 안산부인과 1층 (길음동)|서울시 성북구 길음동 531-33 안산부인과 1층|070-4038-7317
LGU플러스|남대문로3가남대문점 |서울 중구 남대문로 28 (남창동)|서울시 중구 남창동 2-1|070-4024-7944
LGU플러스|내발산동우장산역점 |서울 강서구 강서로 275 (내발산동, 정우빌딩)|서울시 강서구 내발산동 719-8 정우빌딩|070-8624-1606
LGU플러스|노원노원7호선점 |서울 노원구 노해로 488 (상계동)|서울시 노원구 상계동 724|070-4063-8137
LGU플러스|논현2동강남구청역점 |서울시 강남구 선릉로 635 (논현동)|서울시 강남구 논현동 267-14|070-4024-5083
LGU플러스|도선동왕십리역1번출구점 |서울 성동구 왕십리로 318 (도선동)|서울시 성동구 도선동 45|070-7500-5987
LGU플러스|도화동삼성아파트점 |서울시 마포구 도화길 26 (도화동)|서울시 마포구 도화동 6-51|070-8251-7111
LGU플러스|동소문동성북구청점 |서울 성북구 보문로 204 (동소문동5가)|서울시 성북구 동소문동5가 6|070-4007-6008
LGU플러스|마곡동사이언스파크DP2 |서울 강서구 마곡중앙10로 70 엘지사이언스파크E14동 B1층|서울시 강서구 마곡동 789 엘지사이언스파크E14동 B1층|070-4046-3832
LGU플러스|마곡동사이언스파크DP3 |서울 강서구 마곡중앙10로 30 이언스파크통합지원센터 ISC동 지하1층 LG유플러스 (마곡동, 엘지사)|서울시 강서구 마곡동 770-1 이언스파크통합지원센터 ISC동 지하1층 LG유플러스 (엘지사)|070-4062-1358
