NAME|BRANCH|ADDR|TELL|TIME
구피샵|대구서재점|대구시 달성군 다사읍 서재리 123-6|053-591-1880|월~토 : 10:00 ~19:00 (일요일 휴무)
구피샵|대구서재점|대구시 달성군 다사읍 서재리 123-6|053-591-1880|월~토 : 10:00 ~19:00 (일요일 휴무)
구피샵|익산부송점|전북 익산시 무왕로 1272, 102호|063-831-6599|10:00 ~20:00 (일요일 휴무)
구피샵|시흥점|서울시 금천구 시흥동 852-35|02-802-2073|10:00 ~17:00 (일요일 휴무)
구피샵|청주오송점|충북 청주시 흥덕구 오송읍 오송생명3로 65-18, 드림마트 104호|043-238-1180|10:00 ~ 20:00 (월요일 휴무)
구피샵|대구월성점|대구시 달서구 월성동 1557-6 월성코오롱하늘채(1단지) 상가1동 1층 116호|053-631-8008|10:00 ~ 19:00 (일요일 휴무)
구피샵|미아점|서울시 강북구 삼양로 198 (미아동)|02-983-5552|평일 09:00 ~ 19:00, 토요일 09:00 ~ 17:00 (일요일, 공휴일 휴무)
구피샵|대구내당점|대구시 서구 내당동 951-10|053-567-3319|10:00 ~ 19:00 (일요일 휴무)
구피샵|의왕포일점|경기도 의왕시 포일동 663-1  포일디오네오피스텔 1층 117호|031-422-4292|10:00 ~ 17:00 (일요일 휴무)
구피샵|의왕포일점|경기도 의왕시 포일동 663-1  포일디오네오피스텔 1층 117호|031-422-4292|10:00 ~ 17:00 (일요일 휴무)
구피샵|부산개금점|부산시 부산진구 개금동 875 개금역금강펱테리움 더스퀘어아파트 상가동 2층 B217호|051-898-2820|10:00 ~ 20:00 (일요일 휴무)
구피샵|대구화원점|대구시 달성군 화원읍 명곡리 161-28|053-636-1436|10:00 ~ 20:00 (일요일 휴무)
구피샵|대전봉명점|대전시 유성구 봉명동 1016-7 센트럴프라자 1층 114호|042-822-9994|10:00 ~ 19:00 (일요일 휴무)
구피샵|인천만수점|인천시 남동구 만수서로 53 향촌휴먼시아 1단지상가 1층|032-466-9614|10:00 ~ 20:00 (일요일 휴무)
구피샵|안양점|경기도 안양시 만안구 안양동 1393 래미안 메가트리아 113동앞 상가 1층 23호|031-443-8688|월.수.금 09:30 ~ 18:00 / 화.목.토 09:30 ~ 20:00 (일요일 휴무)
구피샵|전남영광점|전남 영광군 영광읍 남천리 348-8|061-352-2859|10:00 ~ 20:00 (일요일 휴무)
구피샵|광주신용점|광주시 북구 첨단연신로 133번길 15 호반베르디움 2단지 217동상가 110호|062-572-9991|10:00 ~ 20:00 (일요일 휴무)
구피샵|광주신용점|광주시 북구 첨단연신로 133번길 15 호반베르디움 2단지 217동상가 110호|062-572-9991|10:00 ~ 20:00 (일요일 휴무)
구피샵|천안두정점|충남 천안시 서북구 두정동 1622|010-2420-7337|10:00 ~ 20:00 (일요일 휴무)
구피샵|부평부개점|인천시 부평구 부개동 498-7 부개프라자 115호|010-8939-1617|10:00 ~ 19:00 (일요일 휴무)
구피샵|대구송현점|대구시 달서구 송현동 1943 앞산청구제네스 102동상가 1층 11호|053-656-8119|10:00 ~ 20:00 (일요일 휴무)
구피샵|천안청수점|충남 천안시 동남구 청수동 347 1층 106호|041-561-9966|10:00 ~ 19:00 (수요일 휴무)
구피샵|천안성정점|충남 천안시 서북구 성정동 647-8|041-572-9877|09:30 ~ 19:00 (일요일 휴무)
구피샵|수원광교점|경기도 수원시 영통구 이의동 1331 광교푸르지오 월드마크 204동상가 1-012호|031-215-5569|09:30 ~ 19:00 (일요일 휴무)
구피샵|송파방이점|서울시 송파구 방이동 154-1  광남벨라스아파트 1층상가 104호|02-418-2883|10:00 ~ 19:00 (일요일 휴무)
구피샵|송파방이점|서울시 송파구 방이동 154-1  광남벨라스아파트 1층상가 104호|02-418-2883|10:00 ~ 19:00 (일요일 휴무)
구피샵|부산좌동점|부산시 해운대구 좌동 1315  해운대 삼정코아상가 1층 106호|051-702-9624|10:00 ~ 20:00 (일요일 휴무)
구피샵|양산범어점|경남 양산시 물금읍 범어리 2711-9 네오코아 1층 109호|055-385-2403|10:00 ~ 19:00 (일요일 휴무)
구피샵|경기광주송정점|경기도 광주시 송정동 592-6|031-765-3319|10:30 ~ 20:00 (일요일 휴무)
구피샵|세종다정점|세종시 한누리대로 321 SR파크시티 1층 111호|044-863-5853|10:00 ~ 19:00 (일요일 휴무)
구피샵|대전복수점|대전시 서구 복수동 600-1|042-719-4004|10:00 ~ 20:00 (일요일 휴무)
구피샵|대구신매점|대구시 수성구 신매동 280번지 효성백년가양청아파트 401동상가 1호|053-793-3290|10:00 ~ 20:00 (일요일 휴무)
구피샵|광주신창점|광주시 광산구 신창동 1254-6|062-955-5991|09:30 ~ 19:30 (일요일 휴무)
구피샵|광주신창점|광주시 광산구 신창동 1254-6|062-955-5991|09:30 ~ 19:30 (일요일 휴무)
구피샵|아산배방점|충남 아산시 배방읍 북수리 1499|041-545-5009|09:30 ~ 19:00 (일요일 휴무)
구피샵|마산회원점|경남 창원시 마산회원구 회원동 50-5 천지리치빌 1층 103호|055-296-4179|10:00 ~ 20:00 (일요일 휴무)
구피샵|마산진동점|경남 창원시 마산합포구 진동면 진동리 432-7|055-272-7780|10:00 ~20:00 (일요일 휴무)
구피샵|대전중리점|대전시 대덕구 중리동 237-5,  1층 101호|042-633-8283|10:00 ~ 20:00 (일요일 휴무)
구피샵|천안신방점|충남 천안시 동남구 신방동 74-19, 1층 104호|041-578-8007|10:00 ~ 19:30 (일요일 휴무)
구피샵|천안백석점|충남 천안시 서북구 백석동 1011번지 백석메디컬센터 1층 112호|041-566-3460|10:00 ~ 19:00 (일요일 휴무)
