##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|OT|SUBNAME2|URL|XCOORD|YCOORD@@BMW
BMW|강남/전시장/|02-546-7301|서울특별시 강남구 신사동 630-7|서울특별시 강남구 도산대로 301|[평일]08:00~21:00[토요일]09:00~20:00[일요일]09:00~20:00[공휴일]09:00~20:00|코오롱/모터스|http://www.kolonmotors.com|127.0341130|37.5219900
BMW|강북/전시장|02-987-0123|서울특별시 강북구 미아동 374-1|서울특별시 강북구 도봉로 101|[평일]09:00~21:00[토요일]09:00~21:00[일요일]09:00~21:00|한독/모터스|http://www.bmwhandok.co.kr|127.0290390|37.6180150
BMW|대치/전시장|02-554-7601|서울특별시 강남구 대치동 938-21|서울특별시 강남구 도곡로 411|[평일]08:30~21:00[토요일]09:00~21:00[일요일]09:00~21:00|도이치/모터스|http://www.deutschmotors.co.kr|127.0553470|37.4974680
BMW|동대문/전시장|02-2235-7301|서울특별시 동대문구 답십리동 530-19 |서울특별시 동대문구 천호대로 329|[평일]08:30~21:00[토요일]09:00~21:00[일요일]09:00~21:00|도이치/모터스|http://www.deutschmotors.co.kr/|127.0566030|37.5643600
BMW|목동/전시장/|02-2649-7301|서울시 양천구 목동 405-205|서울특별시 양천구 목동동로 210|[평일]08:30~21:00[토요일]09:00~21:00[일요일]09:00~21:00[공휴일]09:00~21:00|바바리안/모터스|http://www.bavarian.co.kr/|126.8715960|37.5241760
BMW|방배/전시장/|02-3477-0123|서울특별시 서초구 방배동 810-1 |서울특별시 서초구 방배로 218|[평일]09:00~21:00[토요일]09:00~21:00[일요일]09:00~21:00|한독/모터스|http://www.bmwhandok.co.kr/|126.9908770|37.4927230
BMW|삼성/전시장|02-568-7301|서울특별시 강남구 대치동 984-6|서울특별시 강남구 영동대로 301|[평일]08:00~21:00[토요일]09:00~21:00[일요일]09:00~21:00[공휴일]09:00~21:00|코오롱/모터스|http://www.kolonmotors.com/|127.0669198|37.5012889
BMW|서초/전시장|02-595-0123|서울특별시 서초구 서초동 1582-2|서울특별시 서초구 반포대로 72|[평일]09:00~21:00[토요일]09:00~21:00[일요일]09:00~21:00|한독/모터스|http://www.bmwhandok.co.kr/|127.0105640|37.4868960
BMW|성수/전시장|02-2170-7301|서울시 성동구 성수2가 19-24|서울시 성동구 동일로 111|평일:08:30~21:00공휴일:09:00~21:00|도이치모터스|http://www.deutschmotors.co.kr|127.063724|37.542508
BMW|송파/전시장/|02-416-7301|서울특별시 송파구 삼전동 101-17|서울특별시 송파구 백제고분로 251|[평일]08:30~21:00[토요일]08:30~21:00[일요일]08:30~21:00|도이치/모터스|http://www.deutschmotors.co.kr/|127.0944670|37.5028520
BMW|양재/전시장|02-545-7301|서울특별시 서초구 양재동 217|서울특별시 서초구 양재대로11길 36|[평일]08:30~21:00[토요일]08:30~21:00[일요일]08:30~21:00|도이치/모터스|http://www.deutschmotors.co.kr/|127.0353650|37.4617950
BMW|용산/전시장|02-3275-0123|서울특별시 용산구 원효로1가 112-10|서울특별시 용산구 청파로 241|[평일]09:00~21:00[토요일]09:00~21:00[일요일]09:00~21:00|한독/모터스|http://www.bmwhandok.co.kr/|126.9706050|37.5410100
BMW|잠실/전시장|02-419-7301|서울특별시 송파구 방이동 23 |서울특별시 송파구 올림픽로 340|[평일]08:30~21:00[토요일]09:00~21:00[일요일]09:00~21:00|도이치/모터스|http://www.deutschmotors.co.kr/|127.1079970|37.5155480
BMW|한남/전시장/|02-749-7301|서울특별시 용산구 한남동 726-420|서울특별시 용산구 한남대로 152|[평일]08:30~21:00[토요일]08:30~21:00[일요일]08:30~21:00|도이치/모터스|http://www.deutschmotors.co.kr/|127.0032360|37.5419360
BMW|BPS/가양/전시장|1644-3883|서울특별시 강서구 가양동 51-3 |서울특별시 강서구 양천로53길 30, 서서울모토리움 1층|[평일]08:30~20:00[토요일]09:00~20:00[일요일]09:00~20:00|도이치/모터스|http://www.deutschmotors.co.kr/|126.8485630|37.5670660
BMW|BPS/성동/전시장|02-2214-7301|서울특별시 성동구 용답동 238-1 |서울특별시 성동구 자동차시장1길 96, 2층|[평일]09:00~20:00[토요일]09:00~19:00[일요일]09:00~19:00|코오롱/모터스|http://www.kolonmotors.com/|127.0684010|37.5598190
BMW|BPS/양재/전시장|1644-8844|서울특별시 서초구 양재동 217|서울특별시 서초구 양재대로11길 36 서울오토갤러리 금관1층|[평일]08:30~20:30[토요일]09:00~20:00[일요일]09:00~20:00|도이치/모터스|http://www.deutschmotors.co.kr/|127.0353650|37.4617950
BMW|고양/스타필드/전시장|02-6958-7501|경기도 고양시 덕양구 동산동 370, 2층 2104호|경기도 고양시 덕양구 고양대로 1955 스타필드, 2104호|[평일] 10:00~22:00[토요일] 10:00~22:00[일요일] 10:00~22:00|바바리안/모터스|http://www.bavarian.co.kr/|126.894833|37.646967
BMW|부천/전시장|032-654-7301|경기도 부천시 송내동 387번지|경기도 부천시 경인로 96|[평일]09:00~21:00[토요일]09:00~20:00[일요일]09:00~20:00[공휴일]09:00~20:00|코오롱/모터스|http://www.kolonmotors.com/|126.766000|37.483804
