##NAME|SUBNAME|TELNUM|ID|NEWADDR|TYPE|COMMENTS|XCOORD|YCOORD@@기아자동차오토큐
기아오토큐|동부모터스|0220432266|AK1320|서울특별시 송파구 송이로 149 (가락동), 동부카독크|종합서비스|네비게이션,오디오,시트, 썬루프,유리 및 타이어교환수리는 불가능합니다.인터넷 및 예약콜센터예약접수만 가능(월요일,토요일 및 공휴일예약불가)-당사실정으로 아침 8시30분만 예약가능합니다.|127.1266389|37.4908583
기아오토큐|수서광평자동차|0222260167|AK3640|서울특별시 강남구 밤고개로5길 9 (수서동)|종합서비스|지연 입고시 당일 입고 차량과 동일한 입고 순서대로 작업합니다. 또한 보증수리 작업, 부품 결품 등으로 출고가 다음날로 지연될 수도 있으니 사업장 방문시 확인 바랍니다.※ 시트 및 네비게이션 수리는 불가능 합니다.|127.1056417|37.4837194
기아오토큐|가락점|024023286|AX9370|서울특별시 송파구 동남로18길 41-1 (가락동)|전문서비스|내비게이션, 오디오, 썬루프, 시트 수리는 불가능합니다.|127.136198|37.490249
기아오토큐|가리봉점|028692220|AX9380|서울특별시 구로구 남부순환로105길 80  가리봉동|전문서비스|① 수리불가 항목 : 판금도장(보험수리), 오디오, 시트, 썬루프, 유리 작업② 토요일 및 당일 예약은 불가합니다.③ 수리불가항목(엔진 등)이 발생할 수 있으니 인터넷 예약 후 확인전화 부탁드립니다.|126.8905056|37.4775583
기아오토큐|가좌점|023048585|AX8100|서울특별시 서대문구 증가로 251  북가좌동|전문서비스|주중예약가능(토요일,공휴일제외),오디오,네비게이션업데이트(제외)|126.914024|37.580593
기아오토큐|갈현점|023560652|AX0190|서울특별시 은평구 서오릉로 221  구산동|전문서비스|오디오.씨트.썬루프.네비게이션 업그레이드 및 수리는 불가합니다.휠 얼라이먼트 보증수리 불가합니다.|126.911517|37.611925
기아오토큐|공덕점|027122747|AX9340|서울특별시 마포구 마포대로14길 26 (공덕동)|전문서비스|1.선루프,카오디오(네비게이션),시트관련 당 업체에서 A/S 작업처리가 불가됩니다.2.예약시 내방 고객으로 인한 정비지연이 발생될수 있습니다.3.업무시간은 평일(08:30~18:00)/토요일(08:30~15:00)/휴무(일요일)입니다.|126.9590682|37.5452019
기아오토큐|공릉점|029782523|AX9550|서울특별시 노원구  동일로173가길 112|전문서비스|시트, 내비게이션 업글,선루프 수리및교환은 불가능하므로 양해 부탁드립니다.|127.15158055555555|37.55481666666667
기아오토큐|구로북부점|028396157|AX8260|서울특별시 구로구 새말로 77  구로동|전문서비스|① 수리불가 항목 : 판금도장(보험수리), 오디오, 시트, 썬루프, 유리 작업② 토요일 및 당일 예약은 불가합니다.③ 수리불가항목(엔진 등)이 발생할 수 있으니 인터넷 예약 후 확인전화 부탁드립니다.|126.890835|37.502218
기아오토큐|남가좌점|023763888|AX8220|서울특별시 서대문구 모래내로 257  남가좌동|전문서비스|오디오,네비게이션 수리 불가  업그레이드 가능선루프 및 시트 수리 불가1.2T 초과 상용차량 수리 불가 합니다|126.9290306|37.5735861
기아오토큐|대림점|028475008|AX9570|서울특별시 영등포구 대림로 229  대림동|전문서비스|오전9시이전 방문시 대기 시간없이작업가능.네비게이션업그레이드가능토요일.공휴일08시30분~17시까지 근무 합니다.|126.899232|37.498506
기아오토큐|대조점|023828585|AX0080|서울특별시 은평구 연서로 164  대조동, 부러나빌딩|전문서비스|안녕하세요.찾아주셔서 감사드립니다.장소혐소로 인해 부득이 작업 진행이 예약 시간보다 지연 진행 될수있습니다.죄송합니다.행복한날되세요~.~|126.919819|37.61051
기아오토큐|독산북부점|028521880|AX8230|서울특별시 금천구 시흥대로153길 15  독산동|전문서비스|네비게이션 관련 수리는 불가합니다|126.8997556|37.4740667
기아오토큐|등촌점|0236621374|AX9950|서울 강서구  등촌1동 633-1~3|전문서비스|부족하지만 최선을 다하여도와 드리겠습니다|126.8681778|37.5517333
기아오토큐|망우점|024396636|AX9920|서울특별시 중랑구 망우로 492  망우동, 기아모터스|전문서비스|① 수리불가 항목 : 판금도장(보험수리), 오디오, 시트, 썬루프, 유리 작업② 토요일 및 당일 예약은 불가합니다.③ 수리불가항목(엔진 등)이 발생할 수 있으니 인터넷 예약 후 확인전화 부탁드립니다.|127.1084333|37.5976417
기아오토큐|명동점|0222755998|AX2640|서울특별시 중구 삼일대로2길 90  주자동|전문서비스|① 수리불가 항목 : 판금도장(보험수리), 오디오, 시트, 썬루프, 유리 작업② 토요일 및 당일 예약은 불가합니다.③ 수리불가항목(엔진 등)이 발생할 수 있으니 인터넷 예약 후 확인전화 부탁드립니다.|126.9917556|37.5581444
기아오토큐|미아점|029819922|AX9520|서울특별시 강북구 삼양로 98  미아동|전문서비스|① 수리불가 항목 : 판금도장(보험수리), 오디오, 시트, 썬루프, 유리 작업② 토요일 및 당일 예약은 불가합니다.③ 수리불가항목(엔진 등)이 발생할 수 있으니 인터넷 예약 후 확인전화 부탁드립니다.|127.024315|37.609809
기아오토큐|반포점|025938204|AX8130|서울특별시 서초구 사평대로 72 (반포동)|전문서비스|선루프.시트수리불가능합니다.|126.9946746|37.4951274
기아오토큐|사직점|027305500|AX9240|서울특별시 종로구 사직로 57-1  사직동|전문서비스|네비게이션,시트,썬루프 관련 수리는 불가합니다.|126.9680278|37.5714722
기아오토큐|서초중부점|025232654|AX2670|서울 서초구 효령로 356 (서초동 1438-1,10,11)|전문서비스|네비게이션업데이트,오디오,시트 관련 수리는 불가능 합니다|127.0247497|37.4837949
기아오토큐|수유북부점|029921210|AX9990|서울특별시 강북구 인수봉로 296  수유동, 기아모터스오토수유북부점|전문서비스|1. 수리불가항목: 오디오,시트,선루프, 유리작업2.토요일 당일예약은 불가합니다.3.네비게이션관련 AS불가능합니다.4. 수리불가항목(엔진등)이 발생할 수 있으니 인터넷 예약후 확인전화 부탁드립니다.|127.01305|37.642408
기아오토큐|신내점|029498272|AX0040|서울특별시 중랑구 숙선옹주로5길 1  묵동|전문서비스|① 수리불가 항목 : 판금도장(보험수리), 오디오, 시트, 썬루프, 유리 작업② 토요일 및 당일 예약은 불가합니다.③ 수리불가항목(엔진 등)이 발생할 수 있으니 인터넷 예약 후 확인전화 부탁드립니다.|127.0827556|37.6118194
기아오토큐|신당중부점|0222388490|AX9250|서울특별시 중구 동호로 198  신당동|전문서비스|① 수리불가 항목 : 판금도장(보험수리), 오디오, 시트, 썬루프, 유리 작업② 토요일 및 당일 예약은 불가합니다.③ 수리불가항목(엔진 등)이 발생할 수 있으니 인터넷 예약 후 확인전화 부탁드립니다.|127.0123028|37.5529528
