##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|XCOORD|YCOORD
티스테이션|강릉강남점|033-643-0061|강원도 강릉시 강변로 374||128.907144|37.755516
티스테이션|고성점|033-681-6240|강원도 고성군 간성읍 간성북로 28||128.472396|38.381224
티스테이션|부곡점|033-535-3313|강원도 동해시 가마골길1||129.103382|37.535509
티스테이션|양양점|033-671-1003|강원도 양양군 양양읍 일출로 506||128.628674|38.079026
티스테이션|유천택지점|033-655-3113|강원도 강릉시 사임당로 61번길 1-10||128.861858|37.750682
티스테이션|근화점|033-254-2963|강원도 춘천시 근화동||127.718918|37.873494
티스테이션|속초조양점|033-633-4605|강원도 속초시 동해대로 4108||128.585073|38.189917
티스테이션|단계점|033-731-6677|강원도 원주시 서원대로 54||127.922667|37.352085
티스테이션|단구점|033-761-0085|강원도 원주시 치악로 1573||127.961376|37.323182
티스테이션|속초점|033-633-0777|강원도 속초시 번영로 145-2||128.589053|38.211873
티스테이션|원주명륜점|033-764-3322|강원도 원주시 남원로 590||127.950113|37.336060
티스테이션|횡성점|033-344-5811|강원도 횡성군 횡성읍 성북동로 7||127.993588|37.491596
티스테이션|인제점|033-461-4866|강원도 인제군 인제읍 인제로 308||128.182344|38.074739
티스테이션|포남안전점|033-652-3773|강원도 강릉시 명륜로 138||128.903877|37.770058
티스테이션|효가점|033-521-0139|강원도 동해시 동해대로||129.110099|37.493909
티스테이션|서원대로점|033-763-4588|강원도 원주시 서원대로 263||127.938811|37.339670
티스테이션|태백점|033-554-3000|강원도 태백시 번영로 235||128.984331|37.164605
티스테이션|홍천점|033-435-4808|강원도 홍천군 홍천읍 구시울1길 16||127.854221|37.672151
티스테이션|경포점|033-651-0028|강원도 강릉시 강릉대로 485||128.914739|37.776156
티스테이션|만천점|033-256-1874|강원도 춘천시 만천로 215번길 23||127.751837|37.887019
티스테이션|삼광점|033-744-5445|강원도 원주시||127.965956|37.344056
티스테이션|우산점|033-748-8212|강원도 원주시||127.9440047|37.3746950
티스테이션|광교신도시점|031-217-8212|경기도 수원시 영통구 월드컵로87번길 16||127.053913|37.273437
티스테이션|금촌점|031-943-0405|경기도 파주시 평화로 126||126.766827|37.768055
티스테이션|남양점|031-356-9095|경기도 화성시 남양읍 남양성지로 77||126.832212|37.208418
티스테이션|도당점|032-682-8114|경기도 부천시 원미구 부천로 267||126.785373|37.507656
티스테이션|동탄석우점|031-8003-5855|경기도 화성시 삼성1로 194||127.076201|37.221277
티스테이션|동탄점|031-372-5190|경기도 화성시 금곡로||127.078323|37.169642
티스테이션|석수점|031-473-6677|경기도 안양시 만안구 안양로 536||126.907256|37.416917
티스테이션|시화점(유일이엔티_안산II)|031-493-0790|경기도 안산시 단원구 정왕대로 422||126.755975|37.334313
티스테이션|안산한양대점|031-415-0301|경기도 안산시 상록구 한양대학로 1||126.843037|37.302046
티스테이션|하남초이점|02-3426-1775|경기도 하남시 초이로||127.171642|37.542301
티스테이션|한세대점|031-429-0913|경기도 의왕시 한밭들길 6||126.963398|37.352013
티스테이션|경복대점|031-571-0758|경기도 남양주시 진접읍 경복대로 463||127.214125|37.736414
티스테이션|금곡점|031-592-1178|경기도 남양주시 경춘로 963||127.208619|37.633686
티스테이션|안중점|031-656-9828|경기도 평택시||126.925503|36.975838
티스테이션|여주점|031-884-2317|경기도 여주시 여주읍 영릉로 26-4||127.632354|37.290439
티스테이션|오산원동점|031-375-6161|경기도 오산시 남부대로||127.073422|37.135477
티스테이션|오산은계점|031-378-1077|경기도 오산시 경기대로||127.069970|37.159980
티스테이션|오포점|031-766-0909|경기도 광주시 오포읍 회안대로 78||127.245121|37.362174
티스테이션|용이점|031-618-0078|경기도 평택시 서동대로 3843||127.134382|36.993321
티스테이션|용인IC점|031-321-9555|경기도 용인시 처인구 백옥대로 1309||127.212105|37.251586
티스테이션|용인마평점|031-338-8111|경기도 용인시 처인구 중부대로 1760||127.239285|37.229175
티스테이션|용인상하점|031-285-8777|경기도 용인시 기흥구 중부대로||127.142800|37.258814
티스테이션|정발산점|031-924-5345|경기도 고양시 일산동구 대산로 15||126.774380|37.669556
티스테이션|칠괴점|031-652-9921|경기도 평택시 삼남로 171||127.098399|37.042128
티스테이션|평촌점|031-424-1289|경기도 안양시 동안구 시민대로 367||126.971024|37.396912
티스테이션|곤지암점|031-764-1818|경기도 광주시 곤지암읍 경충대로 690||127.332928|37.352608
티스테이션|광주경안점|031-761-8002|경기도 광주시 광주대로 94||127.260392|37.414974
티스테이션|동수원사거리점|031-224-6665|경기도 수원시 팔달구 팔달문로 119||127.029093|37.282049
티스테이션|수원정자점|031-241-3800|경기도 수원시 장안구 수성로 275||127.002548|37.290615
티스테이션|시흥스마트허브점|031-8063-3333|경기도 시흥시 정왕1동||126.732560|37.334520
티스테이션|안성공도2호점|031-652-0121|경기도 안성시 공도읍 팔머리길 95||127.162047|36.997707
티스테이션|안양점|031-454-0834|경기도 안양시 동안구 경수대로 615||126.955155|37.377203
티스테이션|양주고읍점|031-848-8048|경기도 양주시 부흥로 2038-13||127.082966|37.803723
티스테이션|양촌점|031-997-2896|경기도 김포시 양촌읍 모산로 8(1,2층)||126.655990|37.650859
티스테이션|연천점|031-833-6665|경기도 연천군 전곡읍||127.069078|38.018123
티스테이션|와동점|031-402-1683|경기도 안산시 단원구 화정로 85||126.821586|37.332209
티스테이션|용인동백점|031-8005-5682|경기도 용인시 기흥구 어정로 108-1||127.141840|37.274815
티스테이션|월곶점|031-319-3855|경기도 시흥시 서해안로 812-1||126.747944|37.388721
티스테이션|의정부신터미널점|031-846-4446|경기도 의정부시 동일로 651||127.054167|37.745863
티스테이션|이천점|031-635-7000|경기도 이천시 중리천로 139||127.449970|37.275027
티스테이션|정왕점|031-498-0790|경기도 시흥시 큰솔로 52번길 1||126.753413|37.341829
티스테이션|조원점|031-273-0181|경기도 수원시 장안구 경수대로 834||127.016143|37.295793
티스테이션|진접점|031-575-3064|경기도 남양주시 진접읍 장현로 190||127.190941|37.723923
티스테이션|청호점|031-668-3181|경기도 오산시 엘지로 240||127.090063|37.129605
티스테이션|호평점|031-591-1490|경기도 남양주시 호평로 68번길 6-1||127.247678|37.655538
티스테이션|LS타워점|031-451-4116|경기도 안양시 동안구 엘에스로 115||126.948674|37.371718
티스테이션|관양점|031-381-0285|경기도 안양시 동안구 관악대로 292||126.955374|37.402342
티스테이션|교문사거리점|031-556-0909|경기도 구리시 동구릉로 50||127.133932|37.604545
티스테이션|덕이점|031-905-9944|경기도 고양시 일산서구 덕이동||126.759148|37.700205
티스테이션|동탄신도시점|031-613-1232|경기도 화성시 10 용사로 452||127.065671|37.196984
티스테이션|송탄서정점|031-666-8542|경기도 평택시 탄현로 174||127.054739|37.068123
티스테이션|수색로점|1666-3117-|경기도 고양시 덕양구 중앙로 186-1||126.869440|37.604299
티스테이션|수원권선점|031-898-9456|경기도 수원시 권선구 권선로 668번길 3||127.024452|37.259445
티스테이션|수원시청점|031-223-3139|경기도 수원시 권선구 장다리로 118||127.022646|37.260527
티스테이션|양평점|031-773-2767|경기도 양평군 양평읍 남북로||127.502327|37.491742
