##NAME|SUBNAME|TELNUM|NEWADDR|SOURCE2|FEAT@@현대기아부품대리점
현대모비스직영점|강릉부품팀|033-652-0320|강원도 강릉시 강변로534번길 9 (입암동)|현대모비스|현대
현대모비스직영점|강릉부품팀|033-653-3878|강원도 강릉시 강변로604번길 11-4|현대모비스|기아
현대모비스직영점|원주부품팀|033-749-5563|강원도 원주시 우산로 233 (우산동)|현대모비스|기아
현대모비스직영점|시화부품팀|031-319-7601|경기도 시흥시 경제로 137 (정왕동, 시화공단2라)|현대모비스|현대
현대모비스직영점|수원부품팀|031-206-6011|경기도 용인시 기흥구 용구대로 2231 (기흥구 신갈동 244) _ 운전면허시험장 옆쪽|현대모비스|현대
현대모비스직영점|수원부품팀|031-216-5971|경기도 용인시 기흥구 중부대로 27 (영덕동)|현대모비스|기아
현대모비스직영점|의왕부품팀|031-445-7162|경기도 의왕시 경수대로 249 (고천동)|현대모비스|기아
현대모비스직영점|서부산부품팀|055-337-7118|경상남도 김해시 김해대로 2736 (지내동)|현대모비스|현대
현대모비스직영점|창원부품팀|055-286-4430|경상남도 창원시 성산구 봉양로 397 (신촌동)|현대모비스|현대
현대모비스직영점|창원부품팀|055-273-8724|경상남도 창원시 의창구 창원대로 486 (대원동)|현대모비스|기아
현대모비스직영점|포항부품팀|054-285-0567|경상북도 포항시 남구 연일읍 철강로 127|현대모비스|현대
현대모비스직영점|포항부품팀|054-240-8590|경상북도 포항시 북구 중앙로 184 (죽도동)|현대모비스|기아
현대모비스직영점|광주부품팀|062-673-0195|광주광역시 남구 송암로76번길 31|현대모비스|현대
현대모비스직영점|광주부품팀|062-371-9470|광주광역시 서구 죽봉대로 36|현대모비스|기아
현대모비스직영점|서대구부품팀|053-359-0201|대구광역시 서구 달서천로 174|현대모비스|기아
현대모비스직영점|서대구부품팀|053-359-0201|대구광역시 서구 달서천로 174|현대모비스|현대
현대모비스직영점|대전부품팀|042-672-9538|대전광역시 대덕구 대화로50번길 89 (대화동)|현대모비스|기아
현대모비스직영점|대전부품팀|042-621-0453|대전광역시 동구 동대전로 271|현대모비스|현대
현대모비스직영점|사상부품팀|051-312-7691|부산광역시 사상구 가야대로 86 (학장동)|현대모비스|현대
현대모비스직영점|부산부품팀|051-863-0280|부산광역시 연제구 중앙대로 1168 (거제동)|현대모비스|현대
현대모비스직영점|강서부품팀|02-2633-1101|서울특별시 강서구 양천로 542 (등촌동)|현대모비스|기아
현대모비스직영점|시흥부품팀|02-3286-9211|서울특별시 금천구 시흥대로51길 20|현대모비스|기아
현대모비스직영점|도봉부품팀|02-3494-1380|서울특별시 도봉구 도봉로180나길 48 (도봉동)|현대모비스|기아
현대모비스직영점|북부부품팀|02-955-0173|서울특별시 도봉구 방학로 76 (방학동)|현대모비스|현대
현대모비스직영점|남부부품팀|02-816-9333|서울특별시 동작구 노량진로 53 (대방동)|현대모비스|현대
현대모비스직영점|동부부품팀|02-462-2502|서울특별시 성동구 성수이로 134 (성수동3가)|현대모비스|현대
현대모비스직영점|성동부품팀|02-498-8581|서울특별시 성동구 성수이로26길 61 (성수동3가)|현대모비스|기아
현대모비스직영점|울산부품팀|052-288-0741|울산광역시 북구 염포로 317 (효문동)|현대모비스|현대
현대모비스직영점|인천부품팀|032-581-8174|인천광역시 미추홀구 경인로 309 (도화동)|현대모비스|기아
현대모비스직영점|인천부품팀|032-583-0906|인천광역시 서구 가좌로83번길 22|현대모비스|현대
현대모비스직영점|순천부품팀|061-723-6123|전라남도 순천시 순광로 197|현대모비스|현대
현대모비스직영점|군산부품팀|063-464-6370|전라북도 군산시 해망로 570 (소룡동)|현대모비스|현대
현대모비스직영점|전주부품팀|063-212-0380|전라북도 전주시 덕진구 여산로 96|현대모비스|현대
현대모비스직영점|전주부품팀|063-214-4430|전라북도 전주시 덕진구 온고을로 246 (팔복동3가)|현대모비스|기아
현대모비스직영점|제주부품팀|064-726-8588|제주특별자치도 제주시 선반로6길 12 (화북일동)|현대모비스|기아
현대모비스직영점|제주부품팀|064-784-8588|제주특별자치도 제주시 조천읍 일주동로 1323|현대모비스|현대
현대모비스직영점|청주부품팀|043-273-1853|충청북도 청주시 흥덕구 사운로 315 (신봉동)|현대모비스|기아
현대모비스직영점|청주부품팀|043-231-6485|충청북도 청주시 흥덕구 직지대로 257|현대모비스|현대
현대모비스대리점|홍길동부품상사|033-643-6901|강원도 강릉시 강변로 526|현대모비스|기아;승용
현대모비스대리점|동진상사|033-652-7054|강원도 강릉시 강변로534번길 86-10|현대모비스|현대;승용
현대모비스대리점|주문진현대상사|033-661-4201|강원도 강릉시 주문진읍 신영길 37|현대모비스|현대;승용
현대모비스대리점|중앙부품|033-652-0651|강원도  강릉시 강변로534번길 58|현대모비스|현대;상용
현대모비스대리점|중앙부품|033-652-0651|강원도  강릉시 강변로534번길 58|현대모비스|기아;상용
현대모비스대리점|우창|033-653-2325|강원도  강릉시 강변로534번길 81|현대모비스|기아;승용
현대모비스대리점|우창|033-653-2325|강원도  강릉시 강변로534번길 81|현대모비스|현대;승용
현대모비스대리점|강원상사|033-645-2065|강원도  강릉시 경포로 82|현대모비스|현대;승용
현대모비스대리점|현대상사|033-648-1435|강원도  강릉시 홍제로 7-5|현대모비스|현대;승용
현대모비스대리점|동해신일상사|033-522-2268|강원도  동해시 강원남부로 4771|현대모비스|현대;상용
현대모비스대리점|동해신일상사|033-522-2268|강원도  동해시 강원남부로 4771|현대모비스|기아;상용
현대모비스대리점|동해상사|033-532-8825|강원도  동해시 발한로 52|현대모비스|현대;승용
