##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@오렌지팩토리
오렌지팩토리|서산점|126.44967020000001|36.7870976|아울렛|041-665-2451|충남 서산시 안견로 242||||||||오렌지팩토리 서산점||||90210
오렌지팩토리|오렌지마켓/광주점|127.23266569999998|37.4050663|아울렛|031-705-8906|경기 광주시 경충대로 1865||||||||오렌지팩토리 오렌지마켓/광주점||||90210
오렌지팩토리|오렌지마켓/하남점|127.17175339999994|37.5164504|아울렛|02-482-5763|경기 하남시 서하남로 252||||||||오렌지팩토리 오렌지마켓/하남점||||90210
오렌지팩토리|오렌지마켓/전주점|127.07136309999999|35.8696102|아울렛|063-214-8650|전북 전주시 덕진구 기린대로 1056||||||||오렌지팩토리 오렌지마켓/전주점||||90210
오렌지팩토리|오렌지마켓/여주이천점|127.53515010000001|37.2154659|아울렛|031-884-9088|경기 여주시 가남읍 경충대로 1472-8||||||||오렌지팩토리 오렌지마켓/여주이천점||||90210
오렌지팩토리|여주/이천점|127.53515010000001|37.2154659|아울렛|031-884-9088|경기 여주시 가남읍 경충대로 1472-8||||||||오렌지팩토리 여주/이천점||||90210
오렌지팩토리|봉암점|128.6017789|35.2189293|아울렛|055-251-9673||경상남도 창원시 마산회원구 봉암동 386-1|||||||오렌지팩토리 봉암점||||90210
오렌지팩토리|송우점|127.13899570000001|37.8321286|아울렛|031.541.2260||경기도 포천시 소흘읍 송우리 728-4|||||||오렌지팩토리 송우점||||90210
오렌지팩토리|창동점|127.03708649999999|37.6429703|아울렛|02.908.2265||서울특별시 도봉구 창2동 593-9|||||||오렌지팩토리 창동점||||90210
오렌지팩토리|메가마트/김해점|128.90080510000007|35.2266474|아울렛|055.328.2267||경상남도 김해시 삼정동 378|||||||오렌지팩토리 메가마트/김해점||||90210
오렌지팩토리|도농점|127.15507019999995|37.6056567|아울렛|031-562-2260||경기도 남양주시 도농동 127-6|||||||오렌지팩토리 도농점||||90210
오렌지팩토리|가양점|126.85952029999999|37.5595349|아울렛|02-3662-2260||서울특별시 강서구 가양동 449-1|||||||오렌지팩토리 가양점||||90210
오렌지팩토리|수원점|126.98620849999998|37.2526219|아울렛|031-294-3995||경기도 수원시 권선구 고색동 29-1|||||||오렌지팩토리 수원점||||90210
오렌지팩토리|선릉점|127.04753490000007|37.5062719|아울렛|02-501-7461||서울특별시 강남구 역삼1동 696-35|||||||오렌지팩토리 선릉점|인포스톰 빌딩 1F|||90210
오렌지팩토리|용인점|127.21842449999997|37.2599701|아울렛|031-338-0371||경기도 용인시 처인구 고림동 944|||||||오렌지팩토리 용인점||||90210
