##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@원할머니보쌈
원할머니보쌈|울산덕신점|||원할머니보쌈|052-237-7766|울산 울주군 온산읍 덕남로 58|울산 울주군 온산읍 덕신리 495|||||||원할머니보쌈 울산덕신점||||81019
원할머니보쌈|울산삼산점|||원할머니보쌈|052-258-3153|울산 남구 삼산중로 84|울산 남구 삼산동 1574-7|||||||원할머니보쌈 울산삼산점|A동 1층;A동 1층|||81019
원할머니보쌈|울산일산점|||원할머니보쌈|052-209-1515|울산 동구 방어진순환도로 652|울산 동구 일산동 945|||||||원할머니보쌈 울산일산점|테라스파크 C동 2층 (201,202호);테라스파크 C동 2층 (201,202호)|||81019
원할머니보쌈|울산천곡점|||원할머니보쌈|052-296-7577|울산 북구 달천로 20|울산 북구 천곡동 (농소3동) 418-18|||||||원할머니보쌈 울산천곡점|2F;2F|||81019
원할머니보쌈|대전가오점|||원할머니보쌈|042-282-5382|대전 동구 대전로448번길 86-22|대전 동구 가오동 548|||||||원할머니보쌈 대전가오점||||81019
원할머니보쌈|대전관평점|||원할머니보쌈|042-933-0053|대전 유성구 테크노중앙로 54|대전 유성구 관평동 943|||||||원할머니보쌈 대전관평점||||81019
원할머니보쌈|대전송촌|||원할머니보쌈|042-622-5382|대전 대덕구 계족산로 81번길 107|대전 대덕구 송촌동 448-3|||||||원할머니보쌈 대전송촌||||81019
원할머니보쌈|/구미산동점|||원할머니보쌈|054-476-1636|경북 구미시 산동면 신당1로4길 14|경북 구미시 산동면 신당리 1420|||||||원할머니보쌈 /구미산동점|2F;2F|||81019
원할머니보쌈|경산진량점|||원할머니보쌈|053-854-6333|경북 진량읍 공단로 460|경북 진량읍 신상리 444-1|||||||원할머니보쌈 경산진량점||||81019
원할머니보쌈|경주황성점|||원할머니보쌈|054-777-5382|경북 경주시 현곡면 용담로 171|경북 경주시 현곡면 금장리 408|||||||원할머니보쌈 경주황성점|상림센트럴파크 111호;상림센트럴파크 111호|||81019
원할머니보쌈|구미인동점|||원할머니보쌈|054-472-6688|경북 구미시 인동북길 101|경북 구미시 인의동 700-9|||||||원할머니보쌈 구미인동점||||81019
원할머니보쌈|구미형곡점|||원할머니보쌈|054-457-5382|경북 구미시 경은로 68|경북 구미시 형곡동 146-1|||||||원할머니보쌈 구미형곡점|CH새로빌 1층 103호;CH새로빌 1층 103호|||81019
원할머니보쌈|김천신음점|||원할머니보쌈|054-435-5382|경북 김천시 시청로 109|경북 김천시 신음동 783-10|||||||원할머니보쌈 김천신음점||||81019
원할머니보쌈|김천혁신도시점|||원할머니보쌈|054-436-6969|경북 김천시 혁신3로 20|경북 김천시 율곡동 778|||||||원할머니보쌈 김천혁신도시점||||81019
원할머니보쌈|영천문외점|||원할머니보쌈|054-337-5354|경북 영천시 시청로 8|경북 영천시 문외동 40-5|||||||원할머니보쌈 영천문외점||||81019
원할머니보쌈|가평점|||원할머니보쌈|031-582-6117|경기 가평군 가평읍 가화로 76|경기 가평군 가평읍 읍내리 362-2호 |||||||원할머니보쌈 가평점||||81019
원할머니보쌈|경기/광주점|||원할머니보쌈|031-797-0885|경기 광주시 중앙로 79|경기 광주시 역동 26-6|||||||원할머니보쌈 경기/광주점||||81019
원할머니보쌈|곤지암점|||원할머니보쌈|031-761-0010|경기 광주시 곤지암읍 평촌길 35-10|경기 광주시 곤지암읍 삼리 106-21|||||||원할머니보쌈 곤지암점|(101호);(101호)|||81019
원할머니보쌈|과천점|||원할머니보쌈|02-504-0194|경기 과천시 별양상가1로 10|경기 과천시 별양동 1-17|||||||원할머니보쌈 과천점||||81019
원할머니보쌈|광명점|||원할머니보쌈|02-2685-1775|경기 광명시 광명로 870|경기 광명시 광명4동 158-769|||||||원할머니보쌈 광명점||||81019
원할머니보쌈|광명하안점|||원할머니보쌈|02-891-9033|경기 광명시 범안로 1043|경기 광명시 하안동 34-9|||||||원할머니보쌈 광명하안점|원촌빌딩 2층;원촌빌딩 2층|||81019
원할머니보쌈|구리수택/배달점|||원할머니보쌈|031-569-5353|경기 구리시 이문안로 93|경기 구리시 수택2동 449-29|||||||원할머니보쌈 구리수택/배달점||||81019
