##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@박물관
(재)중남미문화원병설박물관||126.8956283|37.7037465|박물관|031-962-9291|경기 고양시 덕양구 대양로 285번길 33-15||아트샵; 레스토랑; 카페|하절기(4월~10월) 10:00~18:00 / 동절기(11월~3월) 10:00~17:00|||||(재)중남미문화원병설박물관||||100103
(주)소인국테마파크||126.3223334|33.2907466|박물관|064-793-5400|제주 서귀포시 인덕면 중산간서로 1878||카페; 한식당 뷔페식|하절기 08:30~19:30 / 동절기 08:30~17:30(일몰 1시간 전까지 입장)|||||(주)소인국테마파크||||100103
63씨월드||||박물관|02-780-6382||서울 영등포구 여의도동 60|||||||63씨월드||||100103
63아트||||박물관|02-780-6382|서울시 영등포구 63로 50||아쿠아플라넷63; 63스퀘어|월   일요일 10:00 ~ 22:00 (매표 마감 21:30)|||||63아트|한화생명빌딩 (63빌딩) 60층|||100103
DIMA아트센터/DIMA/ARTCENTER||||박물관|031-670-6938|경기도 안성시 삼죽면 동아예대길 47||카페; 공연장|월~토 9:00 ~ 18:00|||||DIMA아트센터 DIMA ARTCENTER|동아방송예술대학교 엔터테인먼트관 1층|||100103
LIUSEUM/세계민족악기전시관||||박물관|031-580-8015|강원 춘천시 남산면 남이섬길 1||아트샵; 카페; 다목적 공연장; 수유실|09:30~18:00|||||LIUSEUM 세계민족악기전시관||||100103
가산박물관||||박물관|043-733-9129|충북 옥천군 안내회남로 310-5||||||||가산박물관||||100103
가천박물관||126.6575281|37.4183093|박물관|032-833-4747|인천 연수구 청량로 102번길 40-9|||09:00~17:00|||||가천박물관||||100103
가톨릭관동대학교박물관||||박물관|033-649-7851|강원 강릉시 범일로 579번길 24|||09:30~17:00|||||가톨릭관동대학교박물관||||100103
가회민화박물관||||박물관|02-741-0466|서울 종로구 북촌로 52||아트샵|10:00~18:00|||||가회민화박물관||||100103
강릉원주대학교박물관||128.8704278|37.7698058|박물관|033-640-2596|강원 강릉시 죽헌길 7|||09:00~18:00|||||강릉원주대학교박물관||||100103
강릉커피박물관||128.7846215|37.6522741|박물관|033-655-6644|강원 강릉시 왕산면 왕산로 2171-19||아트샵; 카페|09:30~18:30|||||강릉커피박물관||||100103
강원대학교중앙박물관||127.7439720|37.8695364|박물관|033-250-8075~8|강원 춘천시 강원대학길 1||캠퍼스 내 카페; 식당 등|월~금 10:00~17:00|||||강원대학교중앙박물관||||100103
거제박물관||128.6861950|34.8940635|박물관|055-687-6790|경남 거제시 거제대로 3791||아트샵; 카페|09:30~18:00 매주 월요일, 설·추석 당일|||||거제박물관||||100103
건강과성박물관||126.3458546|33.2549814|박물관|064-792-5700|제주 서귀포시 안덕면 일주서로 1611||아트샵; 카페|09:00~20:00|||||건강과성박물관||||100103
건국대학교박물관||127.0755788|37.5423736|박물관|02-450-3880|서울 광진구 능동로 120|||09:30~17:00|||||건국대학교박물관||||100103
경기대학교소성박물관||127.0357536|37.3026287|박물관|031-249-8901|경기 수원시 영통구 광교산로 154-42|||10:00~17:00|||||경기대학교소성박물관||||100103
경기여고경운박물관||127.0660782|37.4878684|박물관|02-3463-1336|서울 강남구 삼성로 29||아트샵; 카페; 강당; 소극장; 하늘공원|10:00~16:00|||||경기여고경운박물관||||100103
경남대학교박물관||128.5523639|35.1826904|박물관|055-249-2924|경남 창원시 마산합포구 경남대학로 7|||학기 중 : 월~금 10:00~17:00 / 방학 중 : 월~금 10:00~15:00|||||경남대학교박물관||||100103
경북과학대학교박물관||128.3463500|35.9831750|박물관|054-972-9796|경북 칠곡군 기산면 지산로 483|||09:00~18:00|||||경북과학대학교박물관||||100103
경북대학교박물관||128.6096509|35.8910793|박물관|053-950-6536~7|대구 북구 대학로 80|||10:00~17:00|||||경북대학교박물관||||100103
경상대학교박물관||||박물관|055-772-0602|경남 진주시 진주대로 501||||||||경상대학교박물관||||100103
경주대학교박물관||||박물관|054-770-5081~2|경북 경주시 태종로 188||||||||경주대학교박물관||||100103
경희대학교자연사박물관||127.0552077|37.5977812|박물관|02-961-0142|서울 동대문구 경희대로 26|||10:00~16:00|||||경희대학교자연사박물관||||100103
경희대학교중앙박물관||127.0527938|37.5969969|박물관|02-961-0141|서울 동대문구 경희대로 26|||10:00~17:00|||||경희대학교중앙박물관||||100103
경희대학교한의학역사박물관||127.0551612|37.5979883|박물관|02-961-2274|서울 동대문구 경희대로 26|||10:00~16:00|||||경희대학교한의학역사박물관|경희대 한의과대학 169호|||100103
경희대학교혜정박물관||127.0795809|37.2408684|박물관|031-201-2011~4|경기 용인시 기흥구 덕영대로 1732||아트샵|10:00~16:00|||||경희대학교혜정박물관||||100103
계룡산자연사박물관||127.2446128|36.3663597|박물관|042-824-4055|충남 공주시 반포면 임금봉길 49-25||아트샵; 레스토랑; 카페|10:00~18:00|||||계룡산자연사박물관||||100103
계명대학교행소박물관||128.4898750|35.8567400|박물관|053-580-6992|대구 달서구 달구벌대로 1095|||10:00~17:00|||||계명대학교행소박물관||||100103
고려대학교박물관||127.0343531|37.5895165|박물관|02-3290-1514|서울 성북구 안암로 145||자료실; 교육실; 옥상정원 등|오전 10시 ~ 오후 5시까지|||||고려대학교박물관||||100103
공군사관학교공군박물관||127.5124570|36.5757665|박물관|043-290-6075|충북 청원군 남일면 단재로 635|||09:00~16:30|||||공군사관학교공군박물관||||100103
공주교육대학교박물관||127.1192530|36.4448772|박물관|041-850-1351|충남 공주시 웅진로 27|||제1전시실 10:00~17:00 / 제2, 3전시실 12:00~16:00|||||공주교육대학교박물관||||100103
공주기독교박물관||||박물관|041-853-7007~9|충남 공주시 제민1길 18||휴게실|화~토요일 : 10:00~17:00 / 일요일 : 13:00~15:00|||||공주기독교박물관||||100103
공주대학교부속박물관||127.1410000|36.4702096|박물관|041-850-8733|충남 공주시 공주대학로 56|||10:00~16:30|||||공주대학교부속박물관||||100103
공주민속극박물관||127.1476720|36.5018185|박물관|041-855-4933|충남 공주시 의당면 돌모루 2길 17-15||아트샵; 레스토랑|10:00~18:00|||||공주민속극박물관||||100103
관문사성보박물관||127.0222310|37.4737010|박물관|02-3460-5300|서울 서초구 바우뫼로 7길 111||초우다실|10:00~17:00|||||관문사성보박물관||||100103
광주교육대학교교육박물관||126.9289000|35.1658740|박물관|062-520-4280|광주 북구 필문대로 55|||10:00~17:00|||||광주교육대학교교육박물관||||100103
교과서박물관||127.3346125|36.5504167|박물관|041-861-3141~5|세종 연동면 청연로 492-14||휴게실|09:30~17:30|||||교과서박물관||||100103
국민대학교박물관||126.9938822|37.6129080|박물관|02-910-4211~2|서울 성북구 정릉로 77||지하매점|10:00~17:00(학기 중)|||||국민대학교박물관||||100103
국제성서박물관||126.6783993|37.4592463|박물관|032-874-0385|인천 미추홀구 경인로 349번길 16||카페|09:30~18:00|||||국제성서박물관||||100103
군산대학교박물관||||박물관|063-469-4191~3|전북 군산시 대학로 558|||월요일~금요일 : 10시~17시|||||군산대학교박물관||||100103
귀족호도박물관||126.9190625|34.6750179|박물관|061-862-9944|전남 장흥군 장흥읍 남부순환로 56-90||아트샵|10:00~17:00|||||귀족호도박물관||||100103
규남박물관||||박물관|070-4233-9060||전남 화순군 이서면 야사리 164|아트샵; 카페|10:00~17:00|||||규남박물관||||100103
그리스신화박물관||126.3573148|33.3472694|박물관|064-773-5800|제주 제주시 한림읍 광산로 942||아트샵; 레스토랑; 카페; 미로공원|09:00~18:00 / 7, 8월 09:00~19:00|||||그리스신화박물관||||100103
근현대디자인박물관||126.9297995|37.5532421|박물관|070-7010-4346|서울 마포구 와우산로 30길 36||아트샵; 카페|10:00~18:00|||||근현대디자인박물관||||100103
금산사성보박물관||127.0533852|35.7231867|박물관|063-548-7844|전북 김제시 금산면 모악15길 1|||10:00~16:00|||||금산사성보박물관||||100103
금오민속박물관||128.2231870|36.2555080|박물관|054-481-9194|경북 구미시 무을면 무이3길 9-3|||09:00~17:00|||||금오민속박물관||||100103
기생충박물관||||박물관|02--2601-3284|서울시 강서구 화곡로 333||시청각실|월~금: 10:00~16:00 토: 10:00~14:00|||||기생충박물관||||100103
김달진미술자료박물관||126.9566102|37.6001030|박물관|02-730-6227|서울 종로구 홍지문 1길 4|||주중 : 10:00~17:00토요일 : 10:00~14:00|||||김달진미술자료박물관||||100103
김포다도박물관||126.5757930|37.7370191|박물관|031-998-1000|경기 김포시 월곶면 애기봉로 275번길 187-51|||하절기 10:00~18:00 / 동절기 10:00~17:00|||||김포다도박물관||||100103
김해한림박물관||||박물관|055-345-1016|경남 김해시 한림면 김해대로 1029-20||ART 전시관|09:00 ~ 18:00|||||김해한림박물관||||100103
