##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@홈플러스익스프레스
홈플러스익스프레스|가산점|126.8940|37.4752|홈플러스익스프레스|02-856-8545|서울특별시 금천구 가산로 106|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스익스프레스 가산점|112|||92105
홈플러스익스프레스|가양점|126.8432993|37.5700489|홈플러스익스프레스|02-3665-8545|서울특별시 강서구 허준로 16-8|||10:00~23:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스익스프레스 가양점||||92105
홈플러스익스프레스|갈현점|126.9096|37.6149|홈플러스익스프레스|02-359-8545|서울특별시 은평구 서오릉로 222|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스익스프레스 갈현점||||92105
홈플러스익스프레스|감삼점|128.5440|35.8451|홈플러스익스프레스|053-553-8545|대구광역시 달서구 당산로 83|||08:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스익스프레스 감삼점||||92105
홈플러스익스프레스|강서점|126.8512405|37.5548059|홈플러스익스프레스|02-2695-8545|서울특별시 강서구 화곡로 347|||10:00~23:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스익스프레스 강서점|101|||92105
홈플러스익스프레스|개롱점|127.1350|37.4974|홈플러스익스프레스|02-2043-8545|서울특별시 송파구 오금로 410|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스익스프레스 개롱점||||92105
홈플러스익스프레스|개봉점|126.8560|37.4976|홈플러스익스프레스|02-2683-8545|서울특별시 구로구 경인로 319|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스익스프레스 개봉점|101|||92105
홈플러스익스프레스|개포2점|127.054267|37.4843872|홈플러스익스프레스|02-529-8544|서울특별시 강남구 언주로 110|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스익스프레스 개포2점||||92105
홈플러스익스프레스|개포점|127.0757139|37.49252384|홈플러스익스프레스|02-3412-8545|서울특별시 강남구 개포로 615|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스익스프레스 개포점||||92105
홈플러스익스프레스|거여점|127.1460|37.4927|홈플러스익스프레스|02-3012-8545|서울특별시 송파구 오금로 512|||10:00~24:00 (단, 매월 2,4번째 일요일 휴점)|||||홈플러스익스프레스 거여점||||92105
