##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@MG손해보험
MG손해보험|수도권장기보상센터|||MG손해보험|02 2206 3132|서울시 영등포구 선유동2로 57||||||||MG손해보험 수도권장기보상센터|이레빌딩 신관 14층|||40708
MG손해보험|영남장기보상센터|||MG손해보험|051 710 7158|부산시 동구 자성로 129||||||||MG손해보험 영남장기보상센터|미래에셋 대우증권빌딩 5층|||40708
MG손해보험|강북자동차보상센터|||MG손해보험|02 2206 3130|서울시 영등포구 선유동2로 57||||||||MG손해보험 강북자동차보상센터|이레빌딩 신관 14층|||40708
MG손해보험|강남자동차보상센터|||MG손해보험|02 2206 3177|서울시 송파구 백제고분로 365||||||||MG손해보험 강남자동차보상센터|(석촌동,태문빌딩) 3층|||40708
MG손해보험|경기자동차보상센터|||MG손해보험|031 8007 3123|경기 수원시 장안구 장안로 135||||||||MG손해보험 경기자동차보상센터|(새마을금고 경기지역본부 4층)|||40708
MG손해보험|강북자동차보상센터(인천파견)|||MG손해보험|032 710 3254|경기도 부천시 원미구 부일로 202||||||||MG손해보험 강북자동차보상센터(인천파견)|광희빌딩 4층 (상동 465-1)|||40708
MG손해보험|경기자동차보상센터(원주파견)|||MG손해보험|033 813 3106|강원 원주시 시청로 10||||||||MG손해보험 경기자동차보상센터(원주파견)|금정타워 404호|||40708
MG손해보험|강남자동차보상센터(춘천파견)|||MG손해보험|033 253 7638|강원 춘천시 금강로 81||||||||MG손해보험 강남자동차보상센터(춘천파견)|신한은행 4층 (운교동)|||40708
MG손해보험|충청자동차보상센터|||MG손해보험|042 710 0853|대전시 서구 문예로 19||||||||MG손해보험 충청자동차보상센터|스카이빌딩 12층 (탄방동)|||40708
MG손해보험|충청자동차보상센터(청주파견)|||MG손해보험|043 715 2102|충북 청주시 청원구 내덕로 16||||||||MG손해보험 충청자동차보상센터(청주파견)|MG새마을금고 중앙회 3층 (우암동)|||40708
MG손해보험|호남자동차보상센터(전주파견)|||MG손해보험|063 715 3207|전북 전주시 완산구 기린대로 213||||||||MG손해보험 호남자동차보상센터(전주파견)|대우빌딩4층 호남보상 전주파견|||40708
