##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@노스페이스
노스페이스|TNF/동해점|||노스페이스|033-535-6800|강원도 동해시 한섬로 113-8||||||||노스페이스 TNF/동해점||||91001
노스페이스|TNF/강릉점|||노스페이스|033-642-8838|강원도 강릉시 문화의길 9||||||||노스페이스 TNF/강릉점||||91001
노스페이스|TNF/춘천점|||노스페이스|033-241-5113|강원도 춘천시 금강로 59||||||||노스페이스 TNF/춘천점||||91001
노스페이스|TNF/홍천점|||노스페이스|033-434-3470|강원도 홍천군 홍천읍 홍천로 396||||||||노스페이스 TNF/홍천점|(1층)|||91001
노스페이스|TNF/속초점|||노스페이스|033-637-8838|강원도 속초시 중앙로 76||||||||노스페이스 TNF/속초점||||91001
노스페이스|TNF/원주점|||노스페이스|033-745-9240|강원도 원주시 원일로 1||||||||노스페이스 TNF/원주점|2층 (중앙동)|||91001
노스페이스|TNF/AK원주점|||노스페이스|033-811-5923|강원도 원주시 봉화로 1||||||||노스페이스 TNF/AK원주점|(단계동) AK플라자 5층|||91001
노스페이스|TNF/(Y)AK원주점|||노스페이스|033-811-5765|강원도 원주시 봉화로 1||||||||노스페이스 TNF/(Y)AK원주점|(단계동) AK플라자 원주점 3층|||91001
노스페이스|TNF/신세계/파주/아울렛점|||노스페이스|031-8071-7546|경기도 파주시 탄현면 법흥리 필승로 200||||||||노스페이스 TNF/신세계/파주/아울렛점||||91001
노스페이스|TNF/롯데/이천/아울렛점|||노스페이스|031-887-4717|경기도 이천시 호법면 프리미엄아울렛로 48-1||||||||노스페이스 TNF/롯데/이천/아울렛점|롯데이천아울렛별관 12층|||91001
노스페이스|TNF/롯데/파주/아울렛점|||노스페이스|031-960-2792|경기도 파주시 문발로 284||||||||노스페이스 TNF/롯데/파주/아울렛점|롯데 파주 아울렛 B블록 2층|||91001
노스페이스|롯데/아울렛/고양터미널점|||노스페이스|031-936-3700|경기도 고양시 일산동구 중앙로 1036||||||||노스페이스 롯데/아울렛/고양터미널점|베스트 고양터미널 2층|||91001
