##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@크리스피크림
크리스피크림|롯데백인천터미널점|||크리스피크림|032-242-2055||||월~일10:30~21:00|||||크리스피크림 롯데백인천터미널점||||80627
크리스피크림|매송휴게소(하)점||.|크리스피크림|None||||월~일08:00~20:00|||||크리스피크림 매송휴게소(하)점||||80627
크리스피크림|대구범어점|128.640303319|35.8584754171|크리스피크림|053-752-1937||||08:00~D23:00|||||크리스피크림 대구범어점||||80627
크리스피크림|대구공항점|128.3940|35.5327|크리스피크림|053-983-0283||||월~일05:30~D22:00|||||크리스피크림 대구공항점||||80627
크리스피크림|남부터미널점|127.015109982|37.4835455264|크리스피크림|02-525-1937||||월~일06:00~23:00|||||크리스피크림 남부터미널점||||80627
크리스피크림|청도휴게소(하)점|||크리스피크림|None|||||||||크리스피크림 청도휴게소(하)점||||80627
크리스피크림|청도휴게소(상)점|||크리스피크림|None|||||||||크리스피크림 청도휴게소(상)점||||80627
크리스피크림|대구스펙트럼점|128.589788263|35.8852264892|크리스피크림|053-352-7711||||월~일08:00~22:00|||||크리스피크림 대구스펙트럼점||||80627
크리스피크림|인천공항T2점|126.427697698|37.4583524165|크리스피크림|032-743-6554||||체크인지역:24H;탑승지역:06:00~COLSE22:00|||||크리스피크림 인천공항T2점||||80627
크리스피크림|횡성휴게소(하)점|||크리스피크림|033-342-4231|||||||||크리스피크림 횡성휴게소(하)점||||80627
크리스피크림|덕평휴게소점|127.389808316|37.2413215302|크리스피크림|031-645-0075||||월~금08:00~20:00;토~일08:00~21:00|||||크리스피크림 덕평휴게소점||||80627
크리스피크림|예산휴게소(상)점|126.840146412|36.622891739|크리스피크림|None||||월~일,08:00~,20:00|||||크리스피크림 예산휴게소(상)점||||80627
크리스피크림|선산휴게소(하)점|128.249270299|36.2752416769|크리스피크림|054-482-0369||||월~일08:00~20:00|||||크리스피크림 선산휴게소(하)점||||80627
크리스피크림|청송휴게소(하)점|129.013291927|36.4555047516|크리스피크림|None||||월~일08:00~20:00|||||크리스피크림 청송휴게소(하)점||||80627
크리스피크림|청송휴게소(상)점|129.012014557|36.4568309472|크리스피크림|None||||월~일08:00~20:00|||||크리스피크림 청송휴게소(상)점||||80627
크리스피크림|김해공항점|128.945799088|35.1728758009|크리스피크림|051-941-0217||||월~일07:00~21:30|||||크리스피크림 김해공항점||||80627
크리스피크림|곡성휴게소(상)점|127.152687576|35.2596580378|크리스피크림|061-362-8300||||8:00~20:00|||||크리스피크림 곡성휴게소(상)점||||80627
크리스피크림|광양LF스퀘어점|127.566310314|34.9626559442|크리스피크림|061-815-4905||||월~일11:00~21:00|||||크리스피크림 광양LF스퀘어점||||80627
크리스피크림|창원팔용점|128.614012097|35.2546636773|크리스피크림|055-297-7785||||월~일09:00~22:00|||||크리스피크림 창원팔용점||||80627
크리스피크림|경남거창점|127.915447679|35.687969803|크리스피크림|055-942-7000||||월~일09:00~22:00|||||크리스피크림 경남거창점||||80627
크리스피크림|홈플러스파주운정점|126.736738224|37.7295831462|크리스피크림|031-943-3239||||월~일10:00~22:00|||||크리스피크림 홈플러스파주운정점||||80627
크리스피크림|서울만남의광장점|127.042625427|37.4596440076|크리스피크림|None||||월~목08:00~20:00;금~일08:00~22:00|||||크리스피크림 서울만남의광장점||||80627
크리스피크림|괴산휴게소(상)점|127.960204334|36.8318227039|크리스피크림|070-8884-3384||||월~일오픈08:00~마감22:00|||||크리스피크림 괴산휴게소(상)점||||80627
크리스피크림|동탄역사점|||크리스피크림|031-372-8271||||월~일06:00~21:30|||||크리스피크림 동탄역사점||||80627
