##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@전자랜드
전자랜드|G7스퀘어점|||전자랜드|054-451-8680|경상북도 구미시 야은로 290-7||||||||전자랜드 G7스퀘어점|(봉곡동) 야은로 296 G7스퀘어몰 지하1층|||90513
전자랜드|강릉점|||전자랜드|033-650-7777||강원도 강릉시 송정동 821-14|||||||전자랜드 강릉점||||90513
전자랜드|검단점|||전자랜드|032-569-6992|인천광역시 서구 서곶로 831||||||||전자랜드 검단점|(당하동)|||90513
전자랜드|경기광주점|||전자랜드|031-798-6990|경기도 광주시 이배재로 24||||||||전자랜드 경기광주점|(탄벌동)|||90513
전자랜드|경산점|||전자랜드|053-818-2200||경상북도 경산시 정평동 203-4|||||||전자랜드 경산점||||90513
전자랜드|경주점|||전자랜드|054-744-9380|경상북도 경주시 산업로 4364||||||||전자랜드 경주점|(용강동)|||90513
전자랜드|고현점|||전자랜드|055-638-0058||경상남도 거제시 고현동 979|||||||전자랜드 고현점||||90513
전자랜드|공주점|||전자랜드|041-858-9393||충청남도 공주시 신관동 586-5|||||||전자랜드 공주점||||90513
전자랜드|광명점|||전자랜드|02-898-9393||경기도 광명시 하안동 302-6|||||||전자랜드 광명점||||90513
전자랜드|광산점|||전자랜드|062-531-6523|광주광역시 광산구 용아로 401||||||||전자랜드 광산점|(하남동)|||90513
전자랜드|광양점|||전자랜드|061-795-9326|전라남도 광양시 금호로 26||||||||전자랜드 광양점|(금호동) 몰오브광양 쇼핑몰 1층|||90513
전자랜드|광주남구청점|||전자랜드|062-652-4400|광주광역시 남구 봉선로 1||||||||전자랜드 광주남구청점|(주월동)|||90513
전자랜드|광주수완하나로점|||전자랜드|062-531-6274|광주광역시 광산구 임방울대로 261||||||||전자랜드 광주수완하나로점|(신가동) 농수산물유통센터 2층|||90513
전자랜드|광평점|||전자랜드|054-453-6500||경상북도 구미시 광평동 481|||||||전자랜드 광평점||||90513
전자랜드|구월점|||전자랜드|032-466-4884||인천광역시 남동구 구월동 1195-6|||||||전자랜드 구월점||||90513
전자랜드|금오본점|||전자랜드|031-841-0103|경기도 의정부시 금오로 1||||||||전자랜드 금오본점|(금오동)|||90513
전자랜드|금정점|||전자랜드|051-583-9800||부산광역시 금정구 부곡동 298-1|||||||전자랜드 금정점||||90513
전자랜드|기장/메가마트점|||전자랜드|051-724-8456||부산광역시 기장군 일광면 삼성리 547-6|||||||전자랜드 기장/메가마트점||||90513
전자랜드|기장점|||전자랜드|051-724-2400||부산광역시 기장군 기장읍 동부리 124|||||||전자랜드 기장점||||90513
전자랜드|길동점|||전자랜드|02-489-6601|서울특별시 강동구 양재대로 1504||||||||전자랜드 길동점|(길동)|||90513
전자랜드|김제점|||전자랜드|063-548-0660||전라북도 김제시 요촌동 71-8|||||||전자랜드 김제점||||90513
전자랜드|김천점|||전자랜드|054-432-3982|경상북도 김천시 자산로 195||||||||전자랜드 김천점|(평화동)|||90513
전자랜드|김해/메가마트점|||전자랜드|055-331-8880||경상남도 김해시 삼정동 378|||||||전자랜드 김해/메가마트점||||90513
전자랜드|김해점|||전자랜드|055-339-7766||경상남도 김해시 전하동 29|||||||전자랜드 김해점||||90513
전자랜드|남악점|||전자랜드|061-285-9571|전라남도 목포시 남악로 22-10||||||||전자랜드 남악점|(옥암동)|||90513
전자랜드|남원점|||전자랜드|063-634-9086|전라북도 남원시 충정로 37||||||||전자랜드 남원점||||90513
전자랜드|남천/메가마트점|||전자랜드|051-612-8896||부산광역시 수영구 남천동 545-2|||||||전자랜드 남천/메가마트점||||90513
전자랜드|내동점|||전자랜드|055-325-7070||경상남도 김해시 내동 1129-4|||||||전자랜드 내동점||||90513
전자랜드|내서점|||전자랜드|055-232-8911|경상남도 창원시 마산회원구 내서읍 함마대로 2785||||||||전자랜드 내서점||||90513
전자랜드|노은점|||전자랜드|042-825-9966||대전광역시 유성구 죽동 597-2|||||||전자랜드 노은점||||90513
전자랜드|논산점|||전자랜드|041-735-3700||충청남도 논산시 취암동 177-13|||||||전자랜드 논산점||||90513
전자랜드|달성하나로점|||전자랜드|053-631-8280|대구광역시 달성군 화원읍 성천로 9||||||||전자랜드 달성하나로점|하나로마트 달성점 內 1층|||90513
전자랜드|대구탑마트|||전자랜드|053-253-8050|대구광역시 중구 중앙대로66길 20||||||||전자랜드 대구탑마트|(남산동,반월당효성해링턴플레이스) 지하1층|||90513
전자랜드|대연점|||전자랜드|051-625-6300||부산광역시 남구 대연동 76-9|||||||전자랜드 대연점||||90513
전자랜드|대전본점|||전자랜드|042-478-5555||대전광역시 서구 둔산동 1366|||||||전자랜드 대전본점||||90513
전자랜드|대전하나로점|||전자랜드|042-581-4216|대전광역시 중구 대둔산로199번길 43||||||||전자랜드 대전하나로점|하나로마트 내|||90513
전자랜드|덕계점|||전자랜드|055-362-5600||경상남도 양산시 덕계동 725-4|||||||전자랜드 덕계점||||90513
전자랜드|덕진점|||전자랜드|063-255-9880|전라북도 전주시 덕진구 기린대로 568||||||||전자랜드 덕진점|(덕진동2가)|||90513
전자랜드|도계점|||전자랜드|055-237-3200||경상남도 창원시 의창구 도계동 333-1|||||||전자랜드 도계점||||90513
전자랜드|도동점|||전자랜드|055-754-9300||경상남도 진주시 상대동 197|||||||전자랜드 도동점|197-1 번지|||90513
전자랜드|동두천점|||전자랜드|031-868-9393||경기도 동두천시 송내동 673-2|||||||전자랜드 동두천점||||90513
전자랜드|동래/메가마트점|||전자랜드|051-554-8801||부산광역시 동래구 명륜동 506-3|||||||전자랜드 동래/메가마트점||||90513
전자랜드|마리오아울렛점|||전자랜드|02-2067-2093|서울특별시 금천구 디지털로9길 23||||||||전자랜드 마리오아울렛점|마리오아울렛 3관 8층|||90513
전자랜드|목포점|||전자랜드|061-283-7200||전라남도 목포시 상동 927-5|||||||전자랜드 목포점||||90513
전자랜드|밀양점|||전자랜드|055-355-8234|경상남도 밀양시 밀양대로 1770||||||||전자랜드 밀양점|전자랜드 밀양점|||90513
전자랜드|발안점|||전자랜드|031-8059-0882|경기도 화성시 향남읍삼천병마로 271||||||||전자랜드 발안점||||90513
전자랜드|범서하나로점|||전자랜드|052-221-7400|울산광역시 울주군 범서읍 장검길 10||||||||전자랜드 범서하나로점||||90513
