##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@박물관
DMZ박물관||128.3827003|38.5763188|박물관|033-681-0625|강원 고성군 현내면 통일전망대로 369||아트샵; 카페|하절기 09:00~18:00 / 동절기 09:00~17:00|||||DMZ박물관||||100101
감귤박물관||126.6073620|33.2716170|박물관|064-760-6400|제주 서귀포시 효돈순환로 441||뮤지엄샵;  족욕체험장; 과즐체험장; 감귤특화카페 꿈나다|09:00~18:00 (7월~9월 09:00~19:00)|||||감귤박물관||||100101
강릉/오죽헌/시립박물관||||박물관|033-660-3301|강원 강릉시 율곡로 3139번길 24||||||||강릉 오죽헌 시립박물관||||100101
강진군다산박물관||||박물관|061-430-3911|전남 강진군 도암면 다산로 766-20||체험장|입장시간 : 09:00~17:30 / 관람시간 : 09:00~18:00|||||강진군다산박물관||||100101
강화역사박물관||126.4357742|37.7736098|박물관|032-930-4608|인천 강화군 하점면 강화대로 994-19||뮤지엄샵(매점)|09:00~18:00|||||강화역사박물관||||100101
강화자연사박물관||126.4345175|37.7747214|박물관|032-933-9500|인천 강화군 하점면 강화대로 994-33|||09:00~17:30|||||강화자연사박물관||||100101
강화전쟁박물관||126.5160548|37.7335693|박물관|032-934-4290|인천 강화군 강화읍 해안동로 1366번길 18|||09:00~18:00|||||강화전쟁박물관||||100101
거제어촌민속전시관||||박물관|055-639-8270|경남 거제시 일운면 지세포해안로 41||4D영상탐험관|09:00 ~ 18:00 (17:00까지 입장)|||||거제어촌민속전시관||||100101
거창박물관||127.9106107|35.6741634|박물관|055-940-8740|경남 거창군 거창읍 수남로 2181|||하절기 09:00~18:00 / 동절기 09:00~17:00|||||거창박물관||||100101
검단선사박물관||126.6986875|37.5944154|박물관|032-440-6790|인천 서구 원당동 고산후로 121번길 7|||09:00~18:00|||||검단선사박물관||||100101
경기도박물관||127.1086791|37.2682803|박물관|031-288-5400|경기 용인시 기흥구 상갈로 6||아트샵; 매점|10:00~18:00|||||경기도박물관||||100101
경기도어린이박물관||127.1096894|37.2674108|박물관|031-270-8601|경기 용인시 기흥구 상갈로 6||아트샵; 레스토랑; 카페; 수유실; 보건실|10:00~18:00 / 7월∼8월 10:00~19:00|||||경기도어린이박물관||||100101
경기도자박물관||||박물관|031-799-1500|경기 광주시 곤지암읍 경충대로 727||공원|09:00 ~ 18:00 (관람 종료 30분 전까지 입장할 수 있습니다.)|||||경기도자박물관||||100101
경산시립박물관||128.7630380|35.8139080|박물관|053-804-7323~4|경북 경산시 박물관로 46|||09:00~18:00|||||경산시립박물관||||100101
