##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@미스터피자
미스터피자|강릉옥천점|479428|573105|미스터피자|033-652-1877|강원도 강릉시 경강로 2129|강원도 강릉시 옥천동 163-1|포장할인;샐러드바;요거트바;주차가능;배달|주중 11:00 22:00;주말 11:00 22:00|||||미스터피자 강릉옥천점|2층 2층;미스터피자 강릉 옥천점|||80504
미스터피자|원주단관점|395761|525344|미스터피자|033-764-0077|강원도 원주시 서원대로 408|강원도 원주시 단구동 1512-2|포장할인;샐러드바;요거트바;배달|주중 11:00 22:00;주말 11:00 22:00|||||미스터피자 원주단관점|2층 /롯데시네마 옆 우리은행 옆 건물 광장빌딩 2층;광장빌딩 2층 미스터피자 원주단관점|||80504
미스터피자|강릉중앙점|479128|572801|미스터피자|0336480074|강원도 강릉시 경강로 2090-1|강원도 강릉시 임당동 126-3|포장할인;샐러드바;요거트바;배달|주중 11:00 22:30;주말 11:00 23:30|||||미스터피자 강릉중앙점|미스터피자 강릉 중앙점|||80504
미스터피자|속초점|451094|622065|미스터피자|033-635-3669|강원도 속초시 중앙로 43|강원도 속초시 교동 658-51|포장할인;샐러드바;요거트바;주차가능;배달|주중 11:00 22:00;주말 11:00 22:00|||||미스터피자 속초점|제1호 2층 /;2층 미스터피자 속초점|||80504
미스터피자|동해점|498711|547076|미스터피자|0335342377|강원도 동해시 중앙로 223|강원도 동해시 천곡동 1022|포장할인;샐러드바;요거트바;주차가능;배달|주중 11:00 22:00;주말 11:00 22:00|||||미스터피자 동해점|201,202호/천곡중앙사거리 농협옆건물/하이마트맞은편 GS칼텍스주유소맞은편 2층;미스터피자 동해점|||80504
미스터피자|삼척점|503324|538616|미스터피자|033-575-1577|강원도 삼척시 척주로 16|강원도 삼척시 남양동 33-1|포장할인;샐러드바;요거트바;배달|주중 11:00 22:00;주말 11:00 22:00|||||미스터피자 삼척점|2층/  삼척우체국방향 국민은행 우체국사이 길건너 안경나라 앞;미스터피자 삼척점|||80504
미스터피자|태백점|488255|508413|미스터피자|033-553-9177|강원도 태백시 황지로 164-1|강원도 태백시 황지동 39-7|포장할인;샐러드바;요거트바;배달|주중 11:00 22:00;주말 11:00 22:00|||||미스터피자 태백점|2층;미스터피자 태백점|||80504
미스터피자|원주터미널점|394110|526873|미스터피자|0337479777|강원도 원주시 서원대로 190|강원도 원주시 단계동 883-2|포장할인;샐러드바;요거트바;주차가능;배달|주중 11:00 22:30;주말 11:00 22:30|||||미스터피자 원주터미널점|원주 시외버스터미널 맞은편(원주 시외버스터미널 맞은편)|||80504
미스터피자|오크밸리(G/V)점|386043|528916|미스터피자|033-730-3737|강원도 원주시 지정면 월송리 오크밸리 1길 70||포장할인|주중 11:00 23:00;주말 11:00 24:00|||||미스터피자 오크밸리(G/V)점|오크밸리 1길 70길;미스터피자 오크밸리 (G/V)점|||80504
미스터피자|하이원리조트|474768|511831|미스터피자|0335912126|강원도 정선군 고한읍 하이원길 500||주차가능;배달|주중 10:00~24:00;주말 10:00~24:00|||||미스터피자 하이원리조트|밸리스키하우스 3층 미스터피자 하이원리조트점|||80504
미스터피자|오산중앙점|317570|505678|미스터피자|0313732343|경기도 오산시 성호대로 77|경기도 오산시 오산동 872-12|포장할인;샐러드바;요거트바;배달|주중 11:00 22:00;주말 11:00 22:00|||||미스터피자 오산중앙점|태원빌딩 2층;태원빌딩,2층 미스터피자 오산중앙점|||80504
미스터피자|야탑점|322968|534755|미스터피자|031-703-7676|경기도 성남시 분당구 야탑로69번길 24-8|경기도 성남시분당구 야탑동 353-5|포장할인;샐러드바;요거트바;배달|주중 11:00 22:00;주말 11:00 22:00|||||미스터피자 야탑점|야탑역 4번출구 야탑역광장 전면에 위치);분당종합상가 2F 미스터피자 야탑점;분당종합상가 212~213호|||80504
미스터피자|신흥점|324751|538038|미스터피자|031-746-6400|경기도 성남시 수정구 산성대로 275|경기도 성남시수정구 신흥동 2511|포장할인;샐러드바;요거트바;배달|주중 11:00 22:00;주말 11:00 22:00|||||미스터피자 신흥점|2F 미스터피자 신흥점|||80504
미스터피자|산본점|305579|529097|미스터피자|0313968891|경기도 군포시 산본로323번길 16-15|경기도 군포시 산본동 1135|포장할인;샐러드바;요거트바;주차가능;배달|주중 11:00 22:00;주말 11:00 22:00|||||미스터피자 산본점|광림프라자 2층/산본로323번길 16-15;광림프라자 2층 미스터피자 산본점|||80504
미스터피자|수원역점|311691|518846|미스터피자|031-241-8544|경기도 수원시 팔달구 매산로 5-1|경기도 수원시팔달구 매산로1가 53-16|포장할인;샐러드바;요거트바;배달|주중 11:00 21:30;주말 11:00 21:30|||||미스터피자 수원역점|올리브영2층;2층 미스터파자 수원역점|||80504
미스터피자|중동점|291833|545059|미스터피자|0323237753|경기도 부천시 중동로254번길 104|경기도 부천시 원미구 중동 1138|포장할인;샐러드바;요거트바;주차가능;배달|주중 11:00 21:30;주말 11:00 21:30|||||미스터피자 중동점|롯데백화점 뒷편 맥도날드 대각선 건물 2층에 위치(1층에 홈스테드커피 있음);호정프라자 2층 205호 미스터피자 중동점|||80504
미스터피자|안산중앙점|296993|524638|미스터피자|0315048009|경기도 안산시 단원구 고잔2길 41|경기도 안산시단원구 고잔동 535-1|포장할인;샐러드바;요거트바;주차가능;배달|주중 11:00 22:00;주말 11:00 22:00|||||미스터피자 안산중앙점|메가넥스 영화관 2층(같은층에 TGI 있슴);신양복합빌딩 2층 미스터피자 안산중앙점|||80504
미스터피자|안산한대점|297147|522745|미스터피자|0314163300|경기도 안산시 상록구 한양대학로 60|경기도 안산시 상록구 사동 1569-4|포장할인;샐러드바;요거트바;주차가능;배달|주중 11:00 22:00;주말 11:00 22:00|||||미스터피자 안산한대점|2층 /한양대학교 정문 맞은편(서울인지,안산인지 꼭 확인);한양타운 201,202호 미스터피자 안산한대점|||80504
