##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@신영증권
신영증권|영업부|||신영증권|02-2004-9000|서울특별시 영등포구 국제금융로8길 16||||||||신영증권 영업부|신영증권빌딩 3F (여의도 34-8)|||40520
신영증권|명동지점|||신영증권|02-773-7000|서울특별시 중구 명동길 60||||||||신영증권 명동지점|T-avenue 6F (명동2가 2-16)|||40520
신영증권|송파지점|||신영증권|02-430-7000|서울특별시 송파구 오금로 306||||||||신영증권 송파지점|스타클래스 2F (가락 8)|||40520
신영증권|압구정지점|||신영증권|02-514-7000|서울특별시 강남구 압구정로 160||||||||신영증권 압구정지점|제성빌딩 2F (신사 579-2)|||40520
신영증권|반포지점|||신영증권|02-534-5691|서울특별시 서초구 잠원로 24||||||||신영증권 반포지점|반포자이플라자 3F (반포 20-1)|||40520
신영증권|광주지점|||신영증권|062-251-6000|광주광역시 남구 봉선로 164||||||||신영증권 광주지점|삼환빌딩 5F (봉선 111-4)|||40520
신영증권|해운대지점|||신영증권|051-753-7878|부산광역시 해운대구 해운대해변로 154||||||||신영증권 해운대지점|마리나센터 2F (우동 1434-1)|||40520
신영증권|대치센터|||신영증권|02-567-0400|서울특별시 강남구 남부순환로 2912||||||||신영증권 대치센터|그랑프리엔 2F (대치 500)|||40520
신영증권|서면지점|||신영증권|051-808-7471|부산광역시 부산진구 가야대로 783-1||||||||신영증권 서면지점|대호빌딩 2층 (부전동 486-20)|||40520
신영증권|부천지점|||신영증권|032-326-2501|경기도 부천시 신흥로 161||||||||신영증권 부천지점|신영증권빌딩 6F (중동 1131-5)|||40520
신영증권|대구지점|||신영증권|053-587-7007|대구광역시 수성구 달구벌대로 2397||||||||신영증권 대구지점|KB손해보험빌딩2F (범어 41-3)|||40520
신영증권|대전지점|||신영증권|042-483-8100|대전광역시 서구 대덕대로 226||||||||신영증권 대전지점|명동프라자 4F (둔산 1362)|||40520
신영증권|분당지점|||신영증권|031-718-1100|경기도 성남시 분당구 정자일로 234||||||||신영증권 분당지점|태남프라자 3F (정자 8-4)|||40520
