##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@회계사
가교회계법인||||회계사|569-9808|서울특별시 강남구 삼성로95길 6||||||||가교회계법인|4층 (삼성동,삼혜빌딩) (우편번호 06157)|||91602
가립회계법인||||회계사|501-1202|서울특별시 강남구 강남대로 542||||||||가립회계법인|7층 (논현동,영풍빌딩) (우편번호 06110)|||91602
가립회계법인|분사무소|||회계사|053-603-6300/9|대구광역시 중구 동덕로 61||||||||가립회계법인 분사무소|3층 (대봉동,선모빌딩) (우편번호 41954)|||91602
가립회계법인|분실|||회계사|501-1849|서울특별시 강남구 역삼로 112||||||||가립회계법인 분실|4층 (역삼동,밀브리지홀) (우편번호 06252)|||91602
가율회계법인||||회계사|3444-3912|서울특별시 강남구 역삼로7길 11||||||||가율회계법인|4층 (역삼동,조선빌딩) (우편번호 06243)|||91602
가율회계법인|분사무소|||회계사|031-237-3079|경기도 화성시 효행로 1056||||||||가율회계법인 분사무소|803호 (병점동,탑프라자) (우편번호 18405)|||91602
가율회계법인|분사무소|||회계사|041-632-3598|충청남도 홍성군 홍성읍 법원로 19||||||||가율회계법인 분사무소|4-5층 (홍성읍,우일빌딩) (우편번호 32226)|||91602
가율회계법인|분사무소|||회계사|041-415-0110|충청남도 천안시 서북구 검은들1길 9||||||||가율회계법인 분사무소|(불당동,명품블라스타),명품블라스타 602호 (우편번호 31163)|||91602
가은회계법인||||회계사|555-4684|서울특별시 서초구 서초대로 253||||||||가은회계법인|(서초동,지천빌딩),5층 (우편번호 06595)|||91602
가은회계법인|분사무소|||회계사|070-8797-7987|서울특별시 송파구 법원로11길 11||||||||가은회계법인 분사무소|13층 1301호,1302호 (문정동,문정현대지식산업센터) (우편번호 05836)|||91602
가은회계법인|분실|||회계사|02-567-8252|서울특별시 강남구 논현로94길 30||||||||가은회계법인 분실|3층 (역삼동,효빌딩) (우편번호 06141)|||91602
가현회계법인||||회계사|6429-7000|서울특별시 강남구 언주로86길 5||||||||가현회계법인|12층 (역삼동,육성빌딩) (우편번호 06210)|||91602
건민회계법인||||회계사|031-436-1114|경기도 군포시 고산로 166||||||||건민회계법인|(당정동,SK 벤티움),SK 벤티움 101동 321호 (우편번호 15850)|||91602
건민회계법인|분실|||회계사|070-7092-0511|경기도 부천시 원미구 중동로254번길 104||||||||건민회계법인 분실|602호 (중동,호정프라자) (우편번호 14548)|||91602
건민회계법인|분사무소|||회계사|041-522-3416|충청남도 천안시 동남구 버들로 123||||||||건민회계법인 분사무소|(원성동,버드타운),3층 (우편번호 31126)|||91602
경신회계법인||||회계사|053-721-7770|대구광역시 달서구 달구벌대로 1680||||||||경신회계법인|(두류동,감삼빌딩),4층 (우편번호 42645)|||91602
경신회계법인|분사무소|||회계사|051-911-3080|부산광역시 해운대구 센텀서로 30||||||||경신회계법인 분사무소|1708호 (우동,KNN방송국빌딩) (우편번호 48058)|||91602
경신회계법인|분실|||회계사|053-526-3334|대구광역시 서구 통학로 53||||||||경신회계법인 분실|(내당동),4층 (우편번호 41861)|||91602
광교회계법인||||회계사|6952-0550|서울특별시 서초구 남부순환로 2145||||||||광교회계법인|(방배동,대화빌딩),5층 (우편번호 06699)|||91602
광교회계법인|분사무소|||회계사|2101-3777|서울특별시 구로구 경인로53길 15||||||||광교회계법인 분사무소|A-407호,305-1호,1002-1 (구로동,중앙유통단지업무) (우편번호 08217)|||91602
