##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@라푸마
라푸마|춘천라푸마점|127.7307166|37.8767326|라푸마|031-255-4052|강원도 춘천시 금강로 100|강원도 춘천시 운교동 169-19|||||||라푸마 춘천라푸마점||||91001
라푸마|동해라푸마점|129.114982|37.5195773|라푸마|033-532-7399|강원도 동해시 중앙로 211|강원도 동해시 천곡동 1017|||||||라푸마 동해라푸마점||||91001
라푸마|강릉라푸마점|128.9023886|37.7595933|라푸마|033-641-9998|강원도 강릉시 경강로 2173|강원도 강릉시 옥천동 204-1|||||||라푸마 강릉라푸마점||||91001
라푸마|AK원주점|127.9275194|37.3457152|라푸마|033-811-5000|강원도 원주시 봉화로 1|강원도 원주시 단계동 1123|||||||라푸마 AK원주점|AK플라자 원주점;AK플라자 원주점|||91001
라푸마|현대판교 라푸마점|127.1120433|37.3927752|라푸마|031-5170-1752|경기도 성남시 분당구 판교역로146번길 20|경기도 성남시 분당구 백현동 541|||||||라푸마 현대판교 라푸마점||||91001
라푸마|현대중동 라푸마점|126.7621692|37.504294|라푸마|032-623-2680|경기도 부천시 원미구 길주로 180|경기도 부천시 원미구 중동 1164|||||||라푸마 현대중동 라푸마점|현대백화점부천중동점|||91001
라푸마|현대중동점|126.7621692|37.504294|라푸마|032-623-2680|경기도 부천시 원미구 길주로 180|경기도 부천시 원미구 중동 1164|||||||라푸마 현대중동점|현대백화점부천중동점|||91001
라푸마|현대일산 킨텍스점|126.7477945|37.6654769|라푸마|031-822-2233|경기도 고양시 일산서구 호수로 817|경기도 고양시 일산서구 대화동 2611|||||||라푸마 현대일산 킨텍스점|현대백화점 일산킨텍스점|||91001
라푸마|일산마두아울렛점|126.7778579|37.6510414|라푸마|031-932-7017|경기도 고양시 일산동구 중앙로 1167|경기 고양시 일산동구 장항동 896|||||||라푸마 일산마두아울렛점||||91001
라푸마|의왕종합아울렛점|126.9629391|37.3511534|라푸마|031-459-0007|경기 의왕시 고산로 75|경기 의왕시 고천동 411-1|||||||라푸마 의왕종합아울렛점||||91001
라푸마|용인라푸마점|127.2090235|37.2364694|라푸마|031-337-0373|경기도 용인시 처인구 백옥대로 1130|경기도 용인시 처인구 김량장동 121-1|||||||라푸마 용인라푸마점|1층;1층|||91001
라푸마|안양물류아울렛점|126.9722278|37.393734|라푸마|031-424-6851|경기도 안양시 동안구 흥안대로439번길 40|경기 안양시 동안구 관양동 934-1|||||||라푸마 안양물류아울렛점||||91001
라푸마|안산사동라푸마점|126.8468557|37.304483|라푸마|031-406-5902|경기도 안산시 상록구 삼리로 62|경기도 안산시 상록구 사동 1539-4|||||||라푸마 안산사동라푸마점||||91001
라푸마|신세계경기점|127.1081442|37.3250073|라푸마|1588-1234|경기도 용인시 수지구 포은대로 536|경기도 용인시 수지구 죽전동 1285|||||||라푸마 신세계경기점|신세계백화점 경기점;신세계백화점 경기점|||91001
라푸마|수원영통라푸마점|127.0751081|37.2662707|라푸마|031-203-5444|경기도 용인시 기흥구 중부대로56번길 10|경기도 용인시 기흥구 영덕동 527-4|||||||라푸마 수원영통라푸마점||||91001
라푸마|서수원아울렛점|126.968355|37.2848384|라푸마|031-273-0007|경기도 수원시 권선구 수인로 321|경기 수원시 권선구 구운동 220|||||||라푸마 서수원아울렛점||||91001
라푸마|롯데중동점|126.7752849|37.5025723|라푸마|032-320-7460|경기도 부천시 원미구 길주로 300|경기도 부천시 원미구 중동 1140|||||||라푸마 롯데중동점|롯데백화점중동점|||91001
라푸마|롯데이천아울렛점|127.3989563|37.2370924|라푸마|031-887-4715|경기도 이천시 프리미엄아울렛로 177-74|경기도 이천시 호법면 단천리 46-1|||||||라푸마 롯데이천아울렛점|롯데 프리미엄 아울렛 백자동|||91001
라푸마|롯데안양라푸마점|126.9191962|37.4062388|라푸마|031-463-2598|경기도 안양시 만안구 만안로 244|경기도 안양시 만안구 안양동 88-1|||||||라푸마 롯데안양라푸마점|롯데백화점|||91001
라푸마|롯데광교아울렛라푸마점|127.0539507|37.2860807|라푸마|031-8064-2214|경기도 수원시 영통구 도청로17번길 10|경기도 수원시 영통구 이의동 1340|||||||라푸마 롯데광교아울렛라푸마점|성희프라자|||91001
라푸마|덕소라푸마아울렛점|127.1967784|37.5936596|라푸마|031-577-9788|경기도 남양주시 경강로 356|경기도 남양주시 삼패동 358-1|||||||라푸마 덕소라푸마아울렛점||||91001
라푸마|갤러리아수원점|127.032212|37.2609626|라푸마|031-223-3443|경기도 수원시 팔달구 효원로 282|경기도 수원시 팔달구 인계동 1125-1|||||||라푸마 갤러리아수원점|갤러리아 수원점;갤러리아 수원점|||91001
라푸마|AK수원점|126.9999741|37.2662336|라푸마|031-240-1000|경기도 수원시 팔달구 덕영대로 924|경기도 수원시 팔달구 매산로1가 18|||||||라푸마 AK수원점|AK플라자 수원점|||91001
라푸마|AK분당점|127.1233481|37.3850526|라푸마|031-779-3300|경기도 성남시 분당구 황새울로360번길 42|경기도 성남시 분당구 서현동 263|||||||라푸마 AK분당점|AK플라자 분당점|||91001
라푸마|창원신월라푸마점|128.6915614|35.2334602|라푸마|055-274-1274|경남 창원시 의창구 상남로 252|경남 창원시 의창구 신월동 3-4|||||||라푸마 창원신월라푸마점||||91001
라푸마|진주도동라푸마점|128.1053644|35.1796596|라푸마|055-756-2220|경남 진주시 동진로 129|경남 진주시 상대동 291-9|||||||라푸마 진주도동라푸마점||||91001
라푸마|양산라푸마점|129.0347304|35.3404991|라푸마|055-366-7844|경남 양산시 서일동1길 26-1|경남 양산시 중부동 605-1|||||||라푸마 양산라푸마점||||91001
라푸마|마산내서라푸마점|128.5040781|35.2342873|라푸마|055-232-3430|경남 창원시 마산회원구 내서읍 경남대로 943|경상남도 창원시 마산회원구 내서읍 삼계리 24-10|||||||라푸마 마산내서라푸마점||||91001
라푸마|김해진영라푸마점|128.7175064|35.3249911|라푸마|055-342-8829|경남 김해시 진영읍 진산대로 254|경남 김해시 진영읍 진영리 674-25|||||||라푸마 김해진영라푸마점||||91001
라푸마|포항육거리라푸마점|129.3658548|36.0402136|라푸마|054-256-2255|경북 포항시 북구 중앙상가길 61-1|경북 포항시 북구 신흥동 811-3|||||||라푸마 포항육거리라푸마점||||91001
라푸마|구미봉곡라푸마점|128.3109284|36.1374805|라푸마|054-451-3900|경북 구미시 송선로 388|경북 구미시 선기동 413-1|||||||라푸마 구미봉곡라푸마점||||91001
라푸마|경북청도라푸마점|128.7290864|35.6494903|라푸마|054-373-0188|경북 청도군 화양읍 청화로 13|경북 청도군 화양읍 범곡리 470-3|||||||라푸마 경북청도라푸마점||||91001
