##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@메가마트
메가마트|동래점|129.081176|35.2042305|메가마트|051-550-6000/051-550-6001|부산시 동래구 충렬대로 197|||오전8시~익일오전3시|||||메가마트 동래점||||90411
메가마트|언양점|129.117599|35.546339|메가마트|052-255-6001|울산시 울주군 삼남면 반구대로 612|||오전9시~오후11시|||||메가마트 언양점||||90411
메가마트|천안점|127.152423|36.861666|메가마트|041-589-6000|충남 천안시 서북구 천안대로 1348|||오전10시~오후11시|||||메가마트 천안점||||90411
메가마트|울산점|129.356447|35.5624068|메가마트|052-219-6000|울산시 북구 진장17길 10|||오전10시~오후11시|||||메가마트 울산점||||90411
메가마트|남천점|129.110993|35.137256|메가마트|051-608-6000|부산시 수영구 황령대로 521|||오전10시~익일오전00시|||||메가마트 남천점||||90411
메가마트|춘천점|127.728275|37.8785239|메가마트|033-248-7000|강원도 춘천시 금강로 68-9|||오전11시~오후9시|||||메가마트 춘천점||||90411
메가마트|기장점|129.221976|35.2545818|메가마트|051-290-6000|부산시 기장군 일광면 기장대로 673|||오전9시~오후11시|||||메가마트 기장점||||90411
메가마트|김해점|128.900805|35.2266216|메가마트|055-371-6000|경남 김해시 김해대로 2492번길 20|||오전10시~오후11시|||||메가마트 김해점||||90411
메가마트|방이점|127.128974|37.5121497|메가마트|02-407-0326|서울시 송파구 양재대로 1178|||오전10시~오후10시|||||메가마트 방이점||||90411
메가마트|양평점|127.501348|37.4899755|메가마트|031-775-0002|경기도 양평군 양평읍 남북로 79-1|||오전9시~오후10시|||||메가마트 양평점||||90411
메가마트|문현점|129.072647|35.1377713|메가마트|051-633-8405|부산시 남구 수영로39번길 2-5|||오전10시~오후10시30분|||||메가마트 문현점||||90411
메가마트|외동점|128.865343|35.2343244|메가마트|055-324-7301|경남 김해시 함박로 101번길 1|||오전10시~오후10시30분|||||메가마트 외동점||||90411
메가마트|덕계점|129.151016|35.3727449|메가마트|055-388-7770|경남 양산시 덕계로 60|||오전10시~오후11시|||||메가마트 덕계점||||90411
메가마트|덕천점|129.022209|35.214184|메가마트|051-241-6000|부산시 북구 기찰로 164|||오전9시~오후10시30분|||||메가마트 덕천점||||90411
메가마트|마리나점|129.145575|35.1602806|메가마트|051-741-8256|부산 해운대구 해운대해변로 117|||오전9시~오후10시|||||메가마트 마리나점||||90411
메가마트|아산점|127.01457|36.7734675|메가마트|041-548-0030|충남 아산시 외암로 1560|||오전10시~오후9시|||||메가마트 아산점||||90411
