##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@한화투자증권
한화투자증권|강서지점|126.86492311965645|37.55167518946901|한화투자증권|02-2606-4712|서울특별시 강서구공항대로 525|서울특별시 강서구 등촌동 648-6|||||||강서지점|비원빌딩 2층;비원빌딩 2층;비원빌딩 2층|||40529
한화투자증권|갤러리아지점|127.04240264654821|37.52694931710733|한화투자증권|02-3445-8700|서울특별시 강남구압구정로 416|서울특별시 강남구 청담동 79|||||||갤러리아지점|The트리니티빌딩 7층;The트리니티빌딩 7층;The트리니티빌딩 7층|||40529
한화투자증권|거창지점|127.90816855352672|35.68922179103399|한화투자증권|055-943-3000|경상남도 거창군거창읍 거열로 131|경상남도 거창군 거창읍 상림리 27-11|||||||거창지점|현대빌딩 4층;현대빌딩 4층;현대빌딩 4층|||40529
한화투자증권|공주지점|127.14074807746394|36.47395932232403|한화투자증권|041-856-7233|충청남도 공주시번영1로 120|충청남도 공주시 신관동 29-1|||||||공주지점|29-1번지 은우빌딩 3층;은우빌딩 3층;은우빌딩 3층|||40529
한화투자증권|과천지점|126.99155684564172|37.427166321338|한화투자증권|02-507-7070|경기도 과천시별양상가1로 13|경기도 과천시 별양동 1-16|||||||과천지점|교보빌딩 2층;교보빌딩 2층;교보빌딩 2층|||40529
한화투자증권|광주지점|126.9175948066611|35.1482963450647|한화투자증권|062-713-5700|광주광역시 동구금남로 238||||||||광주지점|무등빌딩1층;무등빌딩 1층|||40529
한화투자증권|군산지점|126.7008939341203|35.96218235294333|한화투자증권|063-730-8400|전라북도 군산시하나운로 38|전라북도 군산시 나운동 107-8|||||||군산지점|나운프라자2층;나운프라자 2층;나운프라자2층|||40529
한화투자증권|노원지점|127.05821395116179|37.6540635658878|한화투자증권|02-931-2711|서울특별시 노원구노해로 451|서울 노원구 상계동 705-2|||||||노원지점|청산빌딩 3층;청산빌딩 3층;청산빌딩 3층|||40529
한화투자증권|대치센트럴지점|127.05866670558349|37.49284046427454|한화투자증권|02-553-0008|서울특별시 강남구남부순환로 2913|서울특별시 강남구 대치동 630|||||||대치센트럴지점|동하빌딩 2층;동하빌딩 2층;동하빌딩 2층|||40529
한화투자증권|동울산지점|129.430320|35.511810|한화투자증권|052-233-9229|울산광역시 동구방어진순환도로 785|울산광역시 동구 전하동 621-2|||||||동울산지점|5층;5층;5층|||40529
한화투자증권|리더스라운지/강남지점|127.03100277400902|37.4981973117823|한화투자증권|02-6975-2000|서울특별시 강남구테헤란로8길 8|서울특별시 강남구 역삼동 824-24|||||||리더스라운지 강남지점|동주빌딩 1층;동주빌딩 1층;동주빌딩 1층|||40529
한화투자증권|마린시티지점|129.14847763202388|35.15790156297153|한화투자증권|051-751-8321|부산광역시 해운대구해운대해변로 154|부산광역시 해운대구 우1동 1434-1|||||||마린시티지점|마리나센터2층;마리나센터 2층;마리나센터2층|||40529
한화투자증권|목동지점|126.87038373198122|37.525995183503525|한화투자증권|02-2654-2300|서울특별시 양천구오목로 299|서울특별시 양천구 목1동 962|||||||목동지점|962번지 목동트라팰리스 웨스턴에비뉴 3층;목동트라펠리스 웨스턴에비뉴 3층;목동트라팰리스 웨스턴에비뉴 3층|||40529
한화투자증권|문경지점|128.1990574246306|36.594122210386146|한화투자증권|054-550-3500|경상북도 문경시영신로 6|경상북도 문경시 점촌동 275-3|||||||문경지점|KT빌딩 2층;KT빌딩 2층;KT빌딩 2층|||40529
한화투자증권|반포지점|127.00823375143453|37.507531006831016|한화투자증권|02-6918-2400|서울특별시 서초구신반포로 219|서울특별시 서초구 잠원동 69-22|||||||반포지점|반포쇼핑타운 8동 2층;반포쇼핑타운 8동 2층;반포쇼핑타운 8동 2층|||40529
한화투자증권|범어지점|128.62438539457756|35.85954391804352|한화투자증권|053-741-3211|대구광역시 수성구달구벌대로 2393|대구광역시 수성구 범어동 42-8|||||||범어지점|요아킴빌딩4층;요아킴빌딩 4층;요아킴빌딩4층|||40529
한화투자증권|부산지점|129.05881679051853|35.156190476992386|한화투자증권|051-465-7533|부산광역시 부산진구중앙대로 709|부산광역시 부산진구 부전동 255-33|||||||부산지점|서면금융프라자빌딩 2층;서면금융프라자빌딩 2층;서면금융프라자빌딩 2층|||40529
한화투자증권|부천지점|126.77598097811739|37.5018969948957|한화투자증권|032-322-0909|경기도 부천시원미구 신흥로 205|경기도 부천시 원미구 중동 1140-2|||||||부천지점|트리플타워 A동2층;트리플타워A동 2층;트리플타워 A동2층|||40529
