##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@드롭탑
카페드롭탑|서전주CGV|||드롭탑||||신규매장;주차가능;무선인터넷가능;극장||||||카페드롭탑 서전주CGV||||80719
카페드롭탑|전남구례점|||드롭탑|||전남 구례군 봉남리 222-3|신규매장;무선인터넷가능||||||카페드롭탑 전남구례점||||80719
카페드롭탑|홈플러스대구동촌점|||드롭탑|053-981-1217|||신규매장;주차가능;무선인터넷가능||||||카페드롭탑 홈플러스대구동촌점||||80719
카페드롭탑|대전신성점|||드롭탑|042-863-8744||대전 유성구 신성동 카페드롭탑 |신규매장;주차가능;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 대전신성점||||80719
카페드롭탑|전주혁신도시점|||드롭탑|063-222-7483||전북 전주시 덕진구 중동 783-1|신규매장;주차가능;무선인터넷가능||||||카페드롭탑 전주혁신도시점||||80719
카페드롭탑|순천성가롤로점|||드롭탑|061-724-3718||전남 순천시 해룡면 복성리 596-2|운영중;주차가능;무선인터넷가능||||||카페드롭탑 순천성가롤로점|1층|||80719
카페드롭탑|전남대의대점|||드롭탑|062-227-3535||광주 동구 학동 5|신규매장;무선인터넷가능;지하철근접||||||카페드롭탑 전남대의대점|전남대학교 학동캠퍼스 제3학생회관 카페 드롭탑|||80719
카페드롭탑|부산연산역점|||드롭탑|051-987-7495||부산 연제구 연산동 729-14|신규매장;무선인터넷가능;흡연시설 보유;지하철근접||||||카페드롭탑 부산연산역점|2층|||80719
카페드롭탑|포항대잠점|||드롭탑|070-7704-7788||경북 포항시 남구 대잠동 938|운영중;무선인터넷가능;싱글오리진 판매매장||||||카페드롭탑 포항대잠점|코아루타워오피스텔 상가 106호|||80719
카페드롭탑|광주패밀리랜드점|||드롭탑|062-607-8000||광주 북구 생용동 649|운영중;주차가능;무선인터넷가능;리조트||||||카페드롭탑 광주패밀리랜드점|광주 패밀리랜드|||80719
