##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@일반장례식장
뉴타운장례식장||127.0303943|37.6075681|일반장례식장|02-909-4444|서울특별시 성북구 종암로 199||직영||||||뉴타운장례식장|(하월곡동)|||91904
태능성심장례식장||127.0749016|37.6178737|일반장례식장|02-976-8811|서울특별시 노원구 화랑로 425-8||직영||||||태능성심장례식장|(공릉동)|||91904
은평장례식장||126.9194384|37.6265016|일반장례식장|02-388-4444|서울특별시 은평구 통일로 935||임대||||||은평장례식장|(갈현동)|||91904
신화장례식장||126.9059758|37.525046|일반장례식장|02-2679-1122|서울특별시 영등포구 영중로 100||임대||||||신화장례식장|(영등포동7가,신화요양병원)|||91904
국민장례식장||126.8899123|37.5229778|일반장례식장|02-2676-4444|서울특별시 영등포구 선유로 101||임대||||||국민장례식장|(양평동1가)|||91904
한독장례식장||126.9091719|37.4913857|일반장례식장|02-844-0444|서울특별시 동작구 시흥대로 670||임대||||||한독장례식장|(신대방동)|||91904
복지장례문화원||126.8980447|37.493308|일반장례식장|02-846-4444|서울특별시 영등포구 도림로 142||직영||||||복지장례문화원|(대림동)|||91904
우신장례식장||126.9028025|37.4838535|일반장례식장|02-838-4444|서울특별시 관악구 시흥대로 572||임대||||||우신장례식장|(신림동,한성빌딩)|||91904
독산장례식장||126.89854|37.4680446|일반장례식장|02-858-4444|서울특별시 금천구 시흥대로116길 5||임대||||||독산장례식장|(독산동)|||91904
쉴낙원/서울장례식장||126.874568|37.484646|일반장례식장|02-2683-4444|서울특별시 금천구 서부샛길 732||직영||||||쉴낙원 서울장례식장|(가산동,서울장례식장)|||91904
강서장례식장||126.8396624|37.5417128|일반장례식장|02-2691-4414|서울특별시 강서구 화곡로 163||직영||||||강서장례식장|(화곡동)|||91904
강서중앙장례식장||126.8094054|37.5622172|일반장례식장|02-2664-6668|서울특별시 강서구 방화동로 12||직영||||||강서중앙장례식장|(공항동)|||91904
원당장례식장||126.8354645|37.6552559|일반장례식장|031-965-4444|경기도 고양시 덕양구 고양대로 1359-5||임대||||||원당장례식장|(성사동)|||91904
하남시마루공원||127.2181776|37.522912|일반장례식장|031-795-2222|경기도 하남시 하남대로545번길 22-30||직영||||||하남시마루공원|(천현동)|||91904
석수장례식장||126.9184487|37.4154297|일반장례식장|031-473-2929|경기도 안양시 만안구 경수대로 1166||직영||||||석수장례식장|(안양동)|||91904
남양주장례식장||127.2066916|37.6760609|일반장례식장|031-528-4444|경기도 남양주시 진건읍 진건오남로 458||직영||||||남양주장례식장|(송능리)|||91904
보람의정부장례식장||127.0806914|37.7522267|일반장례식장|031-851-4444|경기도 의정부시 추동로 253||직영||||||보람의정부장례식장|지하1층 (신곡동)|||91904
의정부장례예식장||127.0322644|37.7600403|일반장례식장|031-871-4444|경기도 의정부시 체육로 113-18||임대||||||의정부장례예식장|(녹양동)|||91904
부천장례식장||126.7931189|37.5014839|일반장례식장|032-651-0444|경기도 부천시 원미구 원미로 213||직영||||||부천장례식장|(춘의동)|||91904
안양장례식장||126.9416539|37.379719|일반장례식장|031-456-5555|경기도 안양시 동안구 엘에스로144번길 190||직영||||||안양장례식장|(호계동)|||91904
세일장례식장||126.7832874|37.4892975|일반장례식장|032-666-4440|경기도 부천시 원미구 장말로372번길 15||임대||||||세일장례식장|(심곡동)|||91904
성남시장례협동조합||127.1829931|37.4204626|일반장례식장|031-752-0404|경기도 성남시 중원구 순암로 800||임대||||||성남시장례협동조합|(갈현동)|||91904
다니엘병원장례식장||126.7694774|37.5122452|일반장례식장|032-678-4242|경기도 부천시 원미구 중동로 361||직영||||||다니엘병원장례식장|(약대동)|||91904
계양청기와장례식장||126.755423|37.5264305|일반장례식장|032-546-4444|인천광역시 계양구 아나지로 559||직영||||||계양청기와장례식장|(서운동)|||91904
쉴낙원/인천장례식장||126.754059|37.524726|일반장례식장|032-548-1009|인천광역시 계양구 아나지로 554-1||직영||||||쉴낙원 인천장례식장|(서운동)|||91904
일산장례식장||126.7624266|37.644348|일반장례식장|031-923-7000|경기도 고양시 일산동구 백마로 62||임대||||||일산장례식장|(장항동 540-1번지)|||91904
새천년장례식장||126.7529027|37.5264805|일반장례식장|032-552-3100|인천광역시 계양구 아나지로 541||직영||||||새천년장례식장|(서운동)|||91904
강남병원장례식장||126.7889252|37.4384334|일반장례식장|031-404-4444|경기도 시흥시 수인로3325번길 5||직영||||||강남병원장례식장|(신천동,강남병원)|||91904
신천제일병원장례식장||126.7843347|37.441394|일반장례식장|031-318-9444|경기도 시흥시 호현로10번길 7-1||임대||||||신천제일병원장례식장|(신천동)|||91904
베스트장례식장||126.7601217|37.6903488|일반장례식장|031-924-4444|경기도 고양시 일산서구 경의로 816-1||임대||||||베스트장례식장|(덕이동)|||91904
큰길장례문화원||126.9951858|37.8100787|일반장례식장|031-872-4444|경기도 양주시 광적면 부흥로 955-13||직영||||||큰길장례문화원|(가납리)|||91904
쉴낙원/김포장례식장||126.715728|37.606842|일반장례식장|031-449-1009|경기도 김포시 승가로 58번길7쉴낙원김포장례식장 (풍무동) ||직영||||||쉴낙원 김포장례식장||||91904
양주장례문화원||127.0446712|37.8125537|일반장례식장|031-863-4444|경기도 양주시 평화로1357번길 8||직영||||||양주장례문화원|(덕계동)|||91904
광적장례식장||126.9899598|37.8135578|일반장례식장|031-876-4449|경기도 양주시 광적면 부흥로 887||임대||||||광적장례식장|(가납리)|||91904
양서농협장례문화원||127.3185492|37.5420948|일반장례식장|031-771-1900|경기도 양평군 양서면 두물머리길 24양서농협장례문화원 (양수리 , 양수장례식장) ||직영||||||양서농협장례문화원||||91904
경안장례식장||127.2451516|37.4015685|일반장례식장|031-769-0444|경기도 광주시 경충대로 1744||직영||||||경안장례식장|(역동)|||91904
오포장례식장||127.1665665|37.3510874|일반장례식장|031-797-0444|경기도 광주시 오포읍 오포로 225-7||직영||||||오포장례식장|(능평리)|||91904
회천농협장례문화원||127.0527518|37.8333031|일반장례식장|031-864-4444|경기도 양주시 평화로 1861||직영||||||회천농협장례문화원|(회정동)|||91904
보정장례식장||127.1059975|37.3192311|일반장례식장|031-276-4001|경기도 용인시 기흥구 용구대로2469번길 136||임대||||||보정장례식장|(보정동)|||91904
삼육병원장례식장||127.2871091|37.4192954|일반장례식장|031-760-3644|경기도 광주시 초월읍 경수길 25||임대||||||삼육병원장례식장|(지월리)|||91904
파주시민장례식장||126.7760497|37.7611867|일반장례식장|031-949-7444|경기도 파주시 중앙로 285||임대||||||파주시민장례식장|(아동동)|||91904
동안산병원장례식장||126.8530106|37.335877|일반장례식장|031-486-4444|경기도 안산시 상록구 월피로 88||임대||||||동안산병원장례식장|(월피동)|||91904
