##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@HMC투자증권
현대차증권|강남지점|127.0316056904|37.5279288247|HMC투자증권|02-3448-5300|서울 강남구 압구정로36길 7||||||||현대차증권 강남지점|1층 (신사동,가남빌딩)|||40521
현대차증권|경인지점|126.9537277222|37.3916091919|HMC투자증권|031-446-7001|경기 안양시 동안구 시민대로 206||||||||현대차증권 경인지점|3층 (호계동,인탑스빌딩)|||40521
현대차증권|광주지점|126.8768|35.16|HMC투자증권|062-447-2000|광주 서구 화운로 233||||||||현대차증권 광주지점|1층 (내방동,기아광주교육센터)|||40521
현대차증권|남양브랜치|126.8135022192|37.1594001296|HMC투자증권|031-368-1770|경기 화성시 남양읍 현대연구소로 150||||||||현대차증권 남양브랜치|(장덕리)|||40521
현대차증권|당진지점|126.6438863555|36.8906627125|HMC투자증권|041-353-4230|충남 당진시 시청1로 33||||||||현대차증권 당진지점|1층 (수청동,상야빌딩)|||40521
현대차증권|대구지점|128.6240844727|35.8588523865|HMC투자증권|053-745-1582|대구 수성구 달구벌대로 2392||||||||현대차증권 대구지점|3층 (범어동,범우빌딩)|||40521
현대차증권|문화회관브랜치|129.3882|35.5382|HMC투자증권|052-289-7337|울산 북구 염포로 599||||||||현대차증권 문화회관브랜치|(양정동,현대자동차사택)|||40521
현대차증권|부산지점|129.0833906857|35.2012704495|HMC투자증권|051-744-6700|부산 동래구 명륜로 83||||||||현대차증권 부산지점|2층 (수안동,대붕빌딩)|||40521
현대차증권|서초지점|127.0158081055|37.4940185547|HMC투자증권|02-587-5600|서울 서초구 서초대로 314||||||||현대차증권 서초지점|3층 (서초동,정보통신공제조합빌딩)|||40521
현대차증권|양재지점|127.0426025391|37.4640731812|HMC투자증권|02-3464-7800|서울 서초구 헌릉로 12||||||||현대차증권 양재지점|1층 (양재동,현대기아차빌딩)|||40521
현대차증권|영업부|126.92447565|37.5239509434|HMC투자증권|02-3787-2401|서울 영등포구 국제금융로2길 28||||||||현대차증권 영업부|2층 (여의도동)|||40521
현대차증권|울산중앙지점|129.3447723389|35.5684013367|HMC투자증권|052-294-2055|울산 중구 번영로 574||||||||현대차증권 울산중앙지점|2층 (남외동,동천빌딩)|||40521
현대차증권|울산지점|129.3265|35.5369|HMC투자증권|052-221-4100|울산 남구 삼산로 176||||||||현대차증권 울산지점|3층 (달동,디딤빌딩)|||40521
현대차증권|인천브랜치|126.6384745|37.4893124314|HMC투자증권|032-764-2672|인천 동구 중봉대로 63||||||||현대차증권 인천브랜치|3층 현대제철 인천공장 한마음관 (송현동,현대제철 (주))|||40521
현대차증권|전주지점|127.1197814941|35.8341331482|HMC투자증권|063-276-1300|전북 전주시 완산구 온고을로 28||||||||현대차증권 전주지점|301호 (서신동,호진빌딩)|||40521
현대차증권|종로지점|126.9863319796|37.5746742718|HMC투자증권|02-776-8260|서울 종로구 삼일대로 451||||||||현대차증권 종로지점|라이온스회관 1층|||40521
현대차증권|창원지점|128.6796271653|35.2244882052|HMC투자증권|055-275-0015|경남 창원시 성산구 중앙대로 107||||||||현대차증권 창원지점|2층 (중앙동,교원공제회관)|||40521
현대차증권|천안아산지점|127.1087907031|36.8152408177|HMC투자증권|041-902-4000|경기 평택시 포승읍 평택항로 268번길 69||||||||현대차증권 천안아산지점|2층 (도곡리,포승프라자)|||40521
현대차증권|포항브랜치|129.3650644491|36.0329344267|HMC투자증권|054-284-3341|경북 포항시 북구 죽도로 42||||||||현대차증권 포항브랜치|1층 (죽도동,제일은행)|||40521
현대차증권|현대차브랜치|129.3841|35.5447|HMC투자증권|052-283-4900|울산 북구 염포로 700||||||||현대차증권 현대차브랜치|현대자동차 (양정동)|||40521
현대차증권|화성브랜치|126.7869|37.034|HMC투자증권|031-351-6100|경기 화성시 우정읍 기아자동차로 95||||||||현대차증권 화성브랜치|1층 (매향리,신복지동)|||40521
