##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@BBQ
BBQ|비발디점|127.670843|37.61748|BBQ|033-436-9282|강원도 홍천군 서면 한서로 2125||||||||BBQ 비발디점||||80609
BBQ|문막점|127.829574|37.323364|BBQ|033-734-1100||강원 원주시 문막읍 동화리 1541|||||||BBQ 문막점||||80609
BBQ|춘천온의점|127.715378|37.869169|BBQ|033-251-9285||강원 춘천시 온의동 65-30|||||||BBQ 춘천온의점||||80609
BBQ|애니메이션박물관점|127.692011|37.893285|BBQ|033-245-6473|강원도 춘천시 서면 박사로 854||||||||BBQ 애니메이션박물관점|(춘천애니메이션박물관)|||80609
BBQ|춘천퇴계점|127.725998|37.861688|BBQ|033-256-1817|강원도 춘천시 행촌로 59||||||||BBQ 춘천퇴계점|(퇴계동) 1층|||80609
BBQ|춘천석사점|127.734939|37.859519|BBQ|033-262-3696||강원 춘천시 퇴계동 971-2|||||||BBQ 춘천석사점|1층|||80609
BBQ|원주기업도시점(올리브카페)|127.875922|37.374749|BBQ|033-747-9281|강원도 원주시 지정면 신지정로 197||||||||BBQ 원주기업도시점(올리브카페)|1층|||80609
BBQ|춘천봄내행운점|127.74311|37.856401|BBQ|0332619289|강원도 춘천시 퇴계로 221||||||||BBQ 춘천봄내행운점|(석사동)|||80609
BBQ|춘천거두점|127.752588|37.852853|BBQ|033-262-7800|강원도 춘천시 동내면 거두택지길 10||||||||BBQ 춘천거두점|1층|||80609
BBQ|춘천애막골점|127.754757|37.866932|BBQ|033-263-9280|강원도 춘천시 우석로85번길 20-6||||||||BBQ 춘천애막골점|(석사동)|||80609
BBQ|춘천후평시장점|127.746038|37.880762|BBQ|033-242-8892|강원도 춘천시 춘천로296번길 6||||||||BBQ 춘천후평시장점|(후평동)|||80609
BBQ|춘천강북점|127.729922|37.898585|BBQ|033-243-9285|강원도 춘천시 충열로16번길 21-20||||||||BBQ 춘천강북점|(우두동) 1층|||80609
BBQ|강원홍천점|127.880371|37.689772|BBQ|033-434-7444|강원도 홍천군 홍천읍 홍천로3길 15||||||||BBQ 강원홍천점||||80609
BBQ|춘천장학지구점|127.753916|37.894349|BBQ|033-262-9282|강원도 춘천시 동면 춘천로449번길 20-2||||||||BBQ 춘천장학지구점||||80609
BBQ|원주무실점|127.92012|37.338201|BBQ|033-744-9282||강원 원주시 무실동 1714|||||||BBQ 원주무실점|103호|||80609
BBQ|원주단계점|127.927016|37.349569|BBQ|033-744-9285|강원도 원주시 백간공원길 16-2||||||||BBQ 원주단계점|(단계동) 1층|||80609
BBQ|화천사내점|127.521748|38.069135|BBQ|033-441-9215|강원도 화천군 사내면 사내로 27-1||||||||BBQ 화천사내점|(BBQ한마리반치킨)|||80609
BBQ|원주우산점|127.936346|37.36829|BBQ|033-746-7282|강원도 원주시 우산로 45||||||||BBQ 원주우산점|(우산동) 지상1층|||80609
BBQ|원주무실스타점|127.929459|37.331692|BBQ|033-731-5858|강원도 원주시 봉바위길 60||||||||BBQ 원주무실스타점|1층 (무실동)|||80609
BBQ|원주흥업점|127.919952|37.303743|BBQ|033-765-9982|강원도 원주시 흥업면 남원로 85||||||||BBQ 원주흥업점||||80609
BBQ|원주태장점|127.950384|37.380317|BBQ|033-748-9242|강원도 원주시 흥양로18번길 35||||||||BBQ 원주태장점|(태장동) 1층 101호|||80609
BBQ|원주일산점|127.943676|37.350109|BBQ|033-732-0669|강원도 원주시 천사로 175||||||||BBQ 원주일산점|(일산동,1층)|||80609
BBQ|원주명륜점|127.943397|37.329501|BBQ|033-765-9243||강원 원주시 명륜동 824-4|||||||BBQ 원주명륜점||||80609
BBQ|원주구곡점|127.950702|37.324088|BBQ|033-765-9249|강원도 원주시 늘품로 45||||||||BBQ 원주구곡점|늘품로 46|||80609
BBQ|원주개운점|127.953856|37.332425|BBQ|033-762-8669|강원도 원주시 단구로 243||||||||BBQ 원주개운점|(단구동)|||80609
BBQ|원주봉산점|127.961851|37.344286|BBQ|033-742-5621|강원도 원주시 우물시장길 64-7||||||||BBQ 원주봉산점|(봉산동)|||80609
BBQ|소양댐점|127.78773|37.930455|BBQ|033-242-9595|강원도 춘천시 신북읍 신샘밭로 701||||||||BBQ 소양댐점|2층|||80609
BBQ|원주단관점|127.957891|37.319847|BBQ|033-764-9285|강원도 원주시 단관길 110-10||||||||BBQ 원주단관점|1층 (단구동)|||80609
BBQ|횡성점|127.987258|37.489837|BBQ|033-345-9282||강원 횡성군 횡성읍 읍상리 292-5|||||||BBQ 횡성점||||80609
BBQ|원주혁신도시점|127.980964|37.326512|BBQ|033-764-9282|강원도 원주시 입춘로 73||||||||BBQ 원주혁신도시점|지상 1층 108호 (반곡동,채움빌딩)|||80609
BBQ|철원동송점|127.218759|38.20767|BBQ|033-455-8835||강원 철원군 동송읍 이평리 683-24|||||||BBQ 철원동송점||||80609
BBQ|치악산길카페점|128.010508|37.344715|BBQ|0331234567||강원 원주시 행구동 207-11|||||||BBQ 치악산길카페점||||80609
BBQ|횡성우천점|128.064785|37.46002|BBQ|033-343-8100|강원도 횡성군 우천면 수남로 349||||||||BBQ 횡성우천점||||80609
BBQ|화천점|127.706151|38.103562|BBQ|033-442-2740||강원 화천군 화천읍 하리 50-5|||||||BBQ 화천점|3/3|||80609
BBQ|와수점|127.437058|38.238659|BBQ|033-458-9991||강원 철원군 서면 와수리 1141-1|||||||BBQ 와수점||||80609
BBQ|화천간동점|127.816827|38.055708|BBQ|033-442-5772||강원 화천군 간동면 오음리 634-6|||||||BBQ 화천간동점||||80609
BBQ|횡성둔내점|128.218206|37.511449|BBQ|033-345-7292||강원 횡성군 둔내면 자포곡리 414-10|||||||BBQ 횡성둔내점||||80609
BBQ|강원양구점|127.989466|38.106854|BBQ|033-482-1318||강원 양구군 양구읍 상리 273-3|||||||BBQ 강원양구점||||80609
BBQ|휘닉스파크|128.321292|37.588057|BBQ|033-333-9282|강원도 평창군 봉평면 태기로 89||||||||BBQ 휘닉스파크||||80609
BBQ|강원인제점|128.171458|38.068471|BBQ|033-463-9288||강원 인제군 인제읍 상동리 347-1|||||||BBQ 강원인제점||||80609
BBQ|인제원통점|128.203887|38.123145|BBQ|033-461-3133|강원도 인제군 북면 원통로 179-1||||||||BBQ 인제원통점||||80609
BBQ|영월점|128.462418|37.181704|BBQ|033-374-1782|강원도 영월군 영월읍 하송로 72||||||||BBQ 영월점||||80609
BBQ|서화천도리점|128.209104|38.251841|BBQ|033-462-1104|강원도 인제군 서화면 금강로 1759-1||||||||BBQ 서화천도리점||||80609
