##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@변호사
법무법인/현창||||변호사|02-852-2644|서울 서초구 반포대로 100||||||||법무법인 현창|4층 (서초동,하성빌딩)|||91604
법무법인/장한||||변호사|055-275-3685|경남 창원시 성산구 창이대로689번길 4-24||||||||법무법인 장한|(사파동)|||91604
법무법인/케이앤오||||변호사|02-6953-6345|서울 서초구 서초중앙로 119||||||||법무법인 케이앤오|6층 (서초동,전자부품연구원 빌딩)|||91604
법무법인/히포크라테스||||변호사|02-3477-5225|서울 서초구 서초중앙로 154||||||||법무법인 히포크라테스|1002호 (서초동,화평빌딩)|||91604
법무법인/가로수||||변호사|02-6925-2222|서울 강남구 도산대로13길 5||||||||법무법인 가로수|6층 (신사동,CJ가로수타운)|||91604
법무법인/길벗||||변호사|02-591-1107|서울 서초구 서초중앙로24길 11||||||||법무법인 길벗|5층 (서초동,요셉빌딩)|||91604
법무법인/송인||||변호사|032-872-0086|인천 미추홀구 학익소로 62||||||||법무법인 송인|803호 (학익동,정동빌딩)|||91604
법무법인/해랑||||변호사|02-521-1801|서울 서초구 서초대로46길 9||||||||법무법인 해랑|6층 (서초동,빌딩SM)|||91604
법무법인/운율||||변호사|031-548-1737|경기 용인시 수지구 광교중앙로 301||||||||법무법인 운율|602호 603호 (상현동,드림타워)|||91604
법무법인/이랑||||변호사|02-6275-1026|서울 강남구 선릉로 522||||||||법무법인 이랑|402호 (삼성동,현대시트빌딩)|||91604
법무법인/게이트||||변호사|02-593-2102|서울 서초구 서초대로41길 14||||||||법무법인 게이트|5층 (서초동,성암빌딩)|||91604
법무법인/이루다||||변호사|02-6013-4422|서울 서초구 반포대로 100||||||||법무법인 이루다|4층 1호 (서초동,하성빌딩)|||91604
법무법인/고운||||변호사|031-302-5522|경기 수원시 영통구 월드컵로 89||||||||법무법인 고운|(원천동)|||91604
법무법인/다래||||변호사|02-3475-7700|서울 강남구 테헤란로 132||||||||법무법인 다래|9층 (역삼동,한독약품빌딩)|||91604
