##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@필라
필라|건대스타시티점|127.0730552|37.5385628|필라|02-2024-1405|서울특별시 광진구 아차산로 272||||||||필라 건대스타시티점|(자양동,더샵스타시티) 1층|||91001
필라|동대문두타점|127.0087794|37.5688942|필라|02-3398-4989|서울특별시 중구 장충단로 275||||||||필라 동대문두타점|(을지로6가,두산타워빌딩)|||91001
필라|롯데건대스타시티점|127.071138517167|37.53878907228991|필라|02-2218-3820||서울 광진구 자양동 227-342|||||||필라 롯데건대스타시티점||||91001
필라|롯데관악점|126.92504913571761|37.490539768993145|필라|02-3289-8554||서울 관악구 봉천동 729-22|||||||필라 롯데관악점||||91001
필라|롯데김포공항점|126.8029717367205|37.56503092398012|필라|02-6116-3459||서울 강서구 방화동 886|||||||필라 롯데김포공항점||||91001
필라|롯데노원점|127.06107737210255|37.655145098868935|필라|02-950-2638||서울 노원구 상계2동 롯데백 713|||||||필라 롯데노원점||||91001
필라|롯데미아점|127.03052647207869|37.61421618027741|필라|02-944-2339||서울 강북구 미아동 70-6|||||||필라 롯데미아점||||91001
필라|롯데본점|126.98108862857354|37.564811792915776|필라|02-772-3695||서울 중구 소공동 1|||||||필라 롯데본점||||91001
필라|롯데영등포점|126.9074826384578|37.51548516715239|필라|02-2164-5418||서울 영등포구 영등포동 618-496|||||||필라 롯데영등포점||||91001
필라|롯데월드몰점|127.102919|37.513993|필라|02-3213-4333|서울특별시 송파구 올림픽로 300||||||||필라 롯데월드몰점|(신천동) 롯데월드몰 3층|||91001
필라|롯데잠실점|127.09794129499537|37.511285720783654|필라|02-2143-7562||서울 송파구 잠실동 롯데백화점 |||||||필라 롯데잠실점||||91001
필라|롯데청량리점|127.04699203318967|37.58097861589464|필라|02-3707-1618||서울 동대문구 전농동 591-53|||||||필라 롯데청량리점||||91001
필라|명동점|126.9841878|37.5627362|필라|02-318-7784|서울특별시 중구 명동6길 14||||||||필라 명동점|(명동2가)|||91001
필라|신세계강남점|127.00361907848227|37.50436330401388|필라|02-3479-1950||서울 서초구 반포1동 19-3|||||||필라 신세계강남점||||91001
필라|신세계본점|126.98087246861112|37.560274339483755|필라|02-310-1573||서울 중구 충무로1가 신세계 8층 FILA매장 52-5|||||||필라 신세계본점||||91001
