##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@미니스톱
미니스톱|뉴서초방배점|||미니스톱|1577-9621|서울 서초구 청두곶2길 3||소프트크림||||||미니스톱 뉴서초방배점|1층|||90706
미니스톱|화곡재성점|||미니스톱|1577-9621|서울 강서구 월정로20길 25||소프트크림||||||미니스톱 화곡재성점|1층|||90706
미니스톱|용산후암점|||미니스톱|1577-9621|서울 용산구 두텁바위로37길 7-3||소프트크림||||||미니스톱 용산후암점|1층|||90706
미니스톱|장안본점|||미니스톱|1577-9621|서울 동대문구 장한로31길 20||소프트크림||||||미니스톱 장안본점||||90706
미니스톱|강동영광점|||미니스톱|1577-9621|서울 강동구 상암로21길 12||소프트크림||||||미니스톱 강동영광점||||90706
미니스톱|아차산생태공원점|||미니스톱|1577-9621|서울 광진구 워커힐로 127||소프트크림||||||미니스톱 아차산생태공원점|만남의광장|||90706
미니스톱|정릉타운점|||미니스톱|1577-9621|서울 성북구 서경로18길 6||소프트크림||||||미니스톱 정릉타운점|B1|||90706
미니스톱|한강난지1점|||미니스톱|1577-9621|서울 마포구 마포나루길 316||소프트크림||||||미니스톱 한강난지1점|난지1호점|||90706
미니스톱|강동둔촌점|||미니스톱|1577-9621|서울 강동구 풍성로63길 47||소프트크림||||||미니스톱 강동둔촌점||||90706
미니스톱|한강난지2점|||미니스톱|1577-9621|서울 마포구 마포나루길 316||소프트크림||||||미니스톱 한강난지2점|난지2호점|||90706
미니스톱|낙성대본점|||미니스톱|1577-9621|서울 관악구 인헌길 35||소프트크림||||||미니스톱 낙성대본점||||90706
미니스톱|대조타운점|||미니스톱|1577-9621|서울 은평구 역말로 131||소프트크림||||||미니스톱 대조타운점|1층|||90706
미니스톱|신월에이스점|||미니스톱|1577-9621|서울 양천구 화곡로3길 23||소프트크림||||||미니스톱 신월에이스점|1층|||90706
미니스톱|이태원본점|||미니스톱|1577-9621|서울 용산구 우사단로 34||소프트크림||||||미니스톱 이태원본점||||90706
미니스톱|창동상아점|||미니스톱|1577-9621|서울 도봉구 해등로16다길 14||소프트크림||||||미니스톱 창동상아점||||90706
미니스톱|한양대원룸점|||미니스톱|1577-9621|서울 성동구 마조로14길 2||소프트크림||||||미니스톱 한양대원룸점||||90706
