##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@아트박스
아트박스|가로수길점|127.0237111|37.5182127|아트박스|02-549-6776|서울특별시 강남구 도산대로 139|||11:00~22:30|||||아트박스 가로수길점|B동 지하1층3호 (신사동,제이타워)|||90908
아트박스|강남점|127.026969|37.5003556|아트박스|02-553-0789|서울특별시 강남구 강남대로 422|||11:00~22:30|||||아트박스 강남점|(역삼동) 1층|||90908
아트박스|강서홈플러스점|126.8547981|37.5584359|아트박스|02-3663-0789|서울시 강서구 화곡로 398|||10:00~22:00|||||아트박스 강서홈플러스점|1층|||90908
아트박스|건대스타시티점|127.0726183|37.5376127|아트박스|02-452-0789|서울특별시 광진구 아차산로 262|||10:30~22:00|||||아트박스 건대스타시티점|(자양동)스타시티몰 시티존 1층|||90908
아트박스|건대점|127.0713004|37.5421481|아트박스|02-3409-0788|서울 광진구 능동로 125|||11:30~22:30|||||아트박스 건대점||||90908
아트박스|교보문고/강남점|||아트박스|02-534-9961||서울특별시 서초구 서초4동 1303-22||09:30~22:00|||||아트박스 교보문고/강남점|교보타워 지하2층|||90908
아트박스|교보문고/광화문점|||아트박스|02-732-9961||서울특별시 종로구 종로1가 1|||||||아트박스 교보문고/광화문점|교보생명빌딩 지하1층|||90908
아트박스|교보문고/목동점|||아트박스|02-2645-9961||서울특별시 양천구 목동 917-1||11:00~21:30|||||아트박스 교보문고/목동점|CBS 지하1층|||90908
아트박스|교보문고/잠실점|127.1005715|37.5143367|아트박스|02-417-9961||서울특별시 송파구 신천동 7-18|||||||아트박스 교보문고/잠실점|잠실롯데캐슬골드 지하1층|||90908
아트박스|구로AK점|126.8824261|37.5013912|아트박스|02-6923-2464|서울특별시 구로구 구로중앙로 152|||10:30~20:00|||||아트박스 구로AK점|AK플라자 구로본점 4층|||90908
아트박스|노량진점|126.9439876|37.5128063|아트박스|02-816-2345||서울특별시 동작구 노량진동 116-2||11:00~22:00|||||아트박스 노량진점||||90908
아트박스|대치점|127.0601237|37.4982762|아트박스|02-556-0789|서울특별시 강남구 도곡로 454|||11:30~23:00|||||아트박스 대치점|(대치동)|||90908
아트박스|대학로점|127.0003524|37.5834599|아트박스|02-745-7776||서울특별시 종로구 명륜2가 34||11:00~22:30|||||아트박스 대학로점|35|||90908
아트박스|명동1호점|126.9854318|37.5622105|아트박스|02-777-3202||서울특별시 중구 명동2가 31-4||10:30~22:30|||||아트박스 명동1호점||||90908
아트박스|명동2호점|126.9838771|37.5611212|아트박스|02-779-0789|서울특별시 중구 명동8나길 19|||11:00~22:30|||||아트박스 명동2호점|(충무로1가)|||90908
아트박스|반디앤루니스/센트럴시티점|127.0030692|37.5041299|아트박스|02-530-0700|서울특별시 서초구 신반포로 176|||10:00~22:00|||||아트박스 반디앤루니스/센트럴시티점|(반포동) 센트럴시티 지하1층|||90908
아트박스|북스리브로/상봉점|127.0921777|37.5974066|아트박스|070-4726-7775|서울특별시 중랑구 상봉로 131|||10:00~22:00|||||아트박스 북스리브로/상봉점|지하1층 북스리브로 내 아트박스|||90908
아트박스|서교동점|126.9204125|37.5539599|아트박스|010-9126-8753|서울시 마포구 홍익로 19|||11:00~22:30|||||아트박스 서교동점|(서교동)|||90908
아트박스|서울대입구점|126.9522392|37.4806692|아트박스|02-3285-0789|서울특별시 관악구 관악로 173|||09:00~23:00|||||아트박스 서울대입구점|(봉천동) 1층|||90908
아트박스|성신여대점|127.0182425|37.5914742|아트박스|02-925-6008||서울특별시 성북구 동선동1가 85-99||11:00~22:30|||||아트박스 성신여대점||||90908
아트박스|신촌점|126.9378529|37.5581509|아트박스|02-313-1001||서울특별시 서대문구 창천동 31-80||11:30~23:00|||||아트박스 신촌점||||90908
아트박스|엔터식스강남점|127.0027238|37.5047778|아트박스|02-6321-6101|서울특별시 서초구 신반포로 지하188|||10:00~22:00|||||아트박스 엔터식스강남점||||90908
아트박스|연신내점|126.9193043|37.6177712|아트박스|02-355-0789||서울특별시 은평구 갈현동 456-27||11:30~23:00|||||아트박스 연신내점||||90908
아트박스|영등포점|126.9033332|37.5170517|아트박스|02-2678-4827||서울특별시 영등포구 영등포동4가 442||10:30~22:00|||||아트박스 영등포점|타임스퀘어 지하1층|||90908
아트박스|영등포홈플러스점|126.8959225|37.5182343|아트박스|02-2069-0788||서울특별시 영등포구 문래동3가 55-3||10:00~22:00|||||아트박스 영등포홈플러스점|홈플러스영등포점|||90908
아트박스|영풍문고/김포점|126.8025118|37.5667733|아트박스|032-422-5900|서울특별시 강서구 하늘길 38|||10:30~22:00|||||아트박스 영풍문고/김포점|롯데몰 지하1층|||90908
아트박스|왕십리역점|127.0379421|37.5621482|아트박스|02-2200-1405|서울특별시 성동구 왕십리광장로 17|||11:30~23:00|||||아트박스 왕십리역점|(행당동)|||90908
