##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@교보문고
교보문고|광화문점|||교보문고|1544-1900|서울특별시 종로구 종로 1|||9:30 ~ 22:00|||||교보문고 광화문점|교보생명 B/D 지하1층|||90803
교보문고|가든파이브/바로드림센터|||교보문고|02-2157-3401|서울시 송파구 충민로 66|||월~목   10:30 ~ 21:00 / 금~일   10:30 ~ 22:00|||||교보문고 가든파이브/바로드림센터|가든파이브 라이프 리빙관 현대시티몰 4층|||90803
교보문고|강남점|||교보문고|1544-1900|서울특별시 서초구 강남대로 465|||9:30 ~ 22:00|||||교보문고 강남점|교보타워 지하1.2층|||90803
교보문고|동대문/바로드림센터|||교보문고|02-2283-2131|서울특별시 중구 장충단로 13길 20|||11:00 ~ 22:30|||||교보문고 동대문/바로드림센터|지하1층 (을지로6가,현대시티아울렛)|||90803
교보문고|디큐브시티/바로드림센터|||교보문고|1544-1900|서울특별시 구로구 경인로 662|||월,화,수,목   11:00 ~ 21:30 / 금,토   11:00 ~ 22:00 / 일   11:00 ~ 21:30|||||교보문고 디큐브시티/바로드림센터|현대백화점 지하1층 (신도림동,디큐브시티점)|||90803
교보문고|목동점|||교보문고|1544-1900|서울특별시 양천구 목동서로 159-1|||11:00 ~ 21:30|||||교보문고 목동점|CBS지하 1층|||90803
교보문고|서울대/교내서점|||교보문고|02-880-8581|서울특별시 관악구 관악로 1|||평일 8:30~19:00 / 토요일 10:00 ~ 17:00|||||교보문고 서울대/교내서점|서울대학교 학생회관 구내서점|||90803
교보문고|수유/바로드림센터|||교보문고|02-999-3501|서울특별시 강북구 도봉로 348|||10:30 ~ 21:30|||||교보문고 수유/바로드림센터|교보생명빌딩 B1 (번동)|||90803
교보문고|영등포점|||교보문고|1544-1900|서울특별시 영등포구 영중로 15|||10:30 ~ 22:00 / 설(당일),추석(당일) 13:00 ~ 22:00|||||교보문고 영등포점|타임스퀘어 멀티플렉스 4층|||90803
교보문고|은평/바로드림센터|||교보문고|1544-1900|서울특별시 은평구 통일로 1050|||10:30 ~ 22:00|||||교보문고 은평/바로드림센터|롯데몰 3층|||90803
