##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@가르텐비어
가르텐비어|공주대점|||가르텐비어|041-858-7357|충청남도 공주시 충청남도 공주시 번영3로 60||||||||가르텐비어 공주대점|(신관동)|||80220
가르텐비어|인천/신현점|||가르텐비어|032-583-8229||인천광역시 서구 인천 서구 신현동 302-1|||||||가르텐비어 인천/신현점|신현 이편한세상 상가 3층|||80220
가르텐비어|경기/금정점|||가르텐비어|031-391-4408|경기도 군포시 경기도 군포시 군포로735번길 15-10||||||||가르텐비어 경기/금정점|1층|||80220
가르텐비어|강원화천점|||가르텐비어|033-442-2766|강원도 화천군 강원도 화천군 화천읍 중앙로 2길17 ||||||||가르텐비어 강원화천점||||80220
가르텐비어|인천아시아드점|||가르텐비어|032-468-3355|인천광역시 남동구 선수촌공원로 23번길 6-21||||||||가르텐비어 인천아시아드점|301호 (구월동,B&S빌딩)|||80220
가르텐비어|서산코아루점|||가르텐비어|041-681-9122|충청남도 서산시 충남 서산시 고운로 275-14||||||||가르텐비어 서산코아루점|코아루 상가 206호|||80220
가르텐비어|평택소사벌점|||가르텐비어|031-655-1636||경기도 평택시 비전동 1013|||||||가르텐비어 평택소사벌점|태성B/D 205호|||80220
가르텐비어|세종/도담점|||가르텐비어|044-867-1553|세종 세종시 보듬3로 8-13||||||||가르텐비어 세종/도담점|2층 202호 (도담동,황금빌딩)|||80220
가르텐비어|울산굴화점|||가르텐비어|052-249-7713|울산광역시 북구 울주군 범서읍 굴화2길 7||||||||가르텐비어 울산굴화점||||80220
가르텐비어|춘천퇴계점|||가르텐비어|010-5362-1216|강원도 춘천시 행촌로 39||||||||가르텐비어 춘천퇴계점|(퇴계동,1층)|||80220
가르텐비어|춘천장학점|||가르텐비어|010-6772-7362||강원도 춘천시 동면 장학리 997-3|||||||가르텐비어 춘천장학점||||80220
가르텐비어|파주/교하점|||가르텐비어|031-946-7704|경기도 파주시 청석로 268||||||||가르텐비어 파주/교하점|2층 (동패동,미소시티)|||80220
가르텐비어|곤지암점|||가르텐비어|031-761-2599||경기도 광주시 곤지암읍 삼리 106-21|||||||가르텐비어 곤지암점||||80220
가르텐비어|순천/조례점|||가르텐비어|061-723-7773|전라남도 순천시 봉화2길 79||||||||가르텐비어 순천/조례점|(조례동)|||80220
가르텐비어|제주/서홍점|||가르텐비어|064-762-6655||제주도 서귀포시 서홍동 305-2|||||||가르텐비어 제주/서홍점||||80220
가르텐비어|안양/명학점|||가르텐비어|031-448-3868||경기도 안양시 안양동 532-10|||||||가르텐비어 안양/명학점|2층|||80220
가르텐비어|당진/대덕점|||가르텐비어|041-354-9966||충청남도 당진군 대덕동 1517|||||||가르텐비어 당진/대덕점||||80220
가르텐비어|대전/중리점|||가르텐비어|042-623-6732||대전광역시 대덕구 중리동 165-23|||||||가르텐비어 대전/중리점||||80220
가르텐비어|제주/동홍점|||가르텐비어|064-763-2226||제주도 서귀포시 남원읍 위미리 1911-2|||||||가르텐비어 제주/동홍점||||80220
가르텐비어|제주/노형점|||가르텐비어|064-744-3800||제주도 제주시 제주시 노형동 1054-3|||||||가르텐비어 제주/노형점||||80220
가르텐비어|강원/양구점|||가르텐비어|033-482-0880||강원도 양구군 양구음 상리 214-1|||||||가르텐비어 강원/양구점||||80220
가르텐비어|남해점|||가르텐비어|055-864-3005|경상남도 남해군 남해읍 화전로 78번길 7가 2층 ||||||||가르텐비어 남해점||||80220
가르텐비어|대전/만년점|||가르텐비어|042-471-1357||대전광역시 서구 만년동 322|||||||가르텐비어 대전/만년점||||80220
가르텐비어|서산/예천점|||가르텐비어|041-669-0028||충청남도 서산시 예천동 498-1|||||||가르텐비어 서산/예천점||||80220
가르텐비어|평택/장당점|||가르텐비어|031-666-8934||경기도 평택시 이충동 613-2|||||||가르텐비어 평택/장당점||||80220
가르텐비어|여주/중앙점|||가르텐비어|031-886-3989||경기도 여주군 여주읍 창리 148-14|||||||가르텐비어 여주/중앙점||||80220
가르텐비어|당진/유곡점|||가르텐비어|041-352-3561||충청남도 당진군 송산면 유곡리 230|||||||가르텐비어 당진/유곡점||||80220
가르텐비어|구의광장점|||가르텐비어|02-453-6007||서울특별시 광진구 구의3동 212-2|||||||가르텐비어 구의광장점|2층|||80220
가르텐비어|안산/성포점|||가르텐비어|031-486-7733||경기도 안산시 상록구 성포동 583|||||||가르텐비어 안산/성포점|예술프라자 2층|||80220
가르텐비어|화성/진안점|||가르텐비어|031-226-6788||경기도 화성시 진안동 880-7|||||||가르텐비어 화성/진안점|2층|||80220
가르텐비어|강원/횡성점|||가르텐비어|033-343-3662||강원도 횡성군 횡성읍 읍하리 507-1|||||||가르텐비어 강원/횡성점||||80220
가르텐비어|경남/함양점|||가르텐비어|055-964-4477||경상남도 함양군 함양읍 용평리 628-7|||||||가르텐비어 경남/함양점|2층|||80220
가르텐비어|평택/평택대점|||가르텐비어|031-654-4289||경기도 안성시 공도읍 진사리 22-61|||||||가르텐비어 평택/평택대점||||80220
가르텐비어|충남/홍성점|||가르텐비어|041-633-5214||충청남도 홍성군 홍성읍 월산리 846-10|||||||가르텐비어 충남/홍성점||||80220
가르텐비어|대전/법원점|||가르텐비어|042-488-8497||대전광역시 서구 둔산동 1469|||||||가르텐비어 대전/법원점|104호 (1층)|||80220
가르텐비어|광명/사거리점|||가르텐비어|02-2681-2111||경기도 광명시 광명4동 158-799|||||||가르텐비어 광명/사거리점|4층|||80220
가르텐비어|광주/경안점|||가르텐비어|031-763-8848||경기도 광주시 경안동 20-110|||||||가르텐비어 광주/경안점||||80220
가르텐비어|광명/하안점|||가르텐비어|02-897-2552||경기도 광명시 하안동 52-1|||||||가르텐비어 광명/하안점||||80220
