##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@던킨도너츠
던킨도너츠|강릉역사점|||던킨도너츠|070-8802-1800|강원 강릉시 용지로 176||해피포인트;주차;해피오더;케이터링|주중07&#58:00~22&#58:00;주말07&#58:00~22&#58:00|||||던킨도너츠 강릉역사점|(교동,강릉역)|||80602
던킨도너츠|동해천곡점|||던킨도너츠|033-533-5800|강원 동해시 중앙로 249||해피포인트;WIFI;휴대폰충전서비스;단체석|주중08:00~22:00;주말08:00~22:00|||||던킨도너츠 동해천곡점|(천곡동,이옥찬내과) 103호|||80602
던킨도너츠|삼척중앙점|||던킨도너츠|033-575-7658||강원 삼척시 남양동 32-44|해피포인트;WIFI;휴대폰충전서비스;단체석;주차|주중07:00~23:00;주말07:00~22:00|||||던킨도너츠 삼척중앙점||||80602
던킨도너츠|양양쏠비치점|||던킨도너츠|033-670-3598|강원 양양군 손양면 선사유적로 678||해피포인트;WIFI;주차|주중AM8:00~21&#58:00;주말AM8:00~21&#58:00|||||던킨도너츠 양양쏠비치점|1층|||80602
던킨도너츠|원주단계점|||던킨도너츠|033-745-5758|강원 원주시 서원대로 181||해피포인트;WIFI;휴대폰충전서비스;단체석|주중07:00~23:00;주말07:00~23:00|||||던킨도너츠 원주단계점|(단계동,고속버스터미널) 1층|||80602
던킨도너츠|원주혁신하나로마트점|||던킨도너츠|033-744-8066|강원 원주시 양지로 26||해피포인트;WIFI;휴대폰충전서비스;주차;해피오더;케이터링|주중10&#58:00~20&#58:00;주말10&#58:00~20&#58:00|||||던킨도너츠 원주혁신하나로마트점|(반곡동) 703호 지하1층|||80602
던킨도너츠|강원인제점|||던킨도너츠|033-463-3933|강원 인제군 인제읍 비봉로 43||해피포인트;WIFI;휴대폰충전서비스;단체석;주차|주중08:40~22:00;주말08:00~22:00|||||던킨도너츠 강원인제점|(상동리,하늘내린호텔) 110,111호|||80602
던킨도너츠|강원철원점|||던킨도너츠|033-455-9928|강원 철원군 동송읍 금학로 205||해피포인트;WIFI;휴대폰충전서비스;단체석;주차|주중08:00~22:00;주말08:00~22:00|||||던킨도너츠 강원철원점|(이평리)|||80602
던킨도너츠|춘천롯데마트점|||던킨도너츠|033-251-7740|강원 춘천시 방송길 84||해피포인트;WIFI;주차|주중10:00~22:00;주말10:00~22:00|||||던킨도너츠 춘천롯데마트점|(온의동,롯데마트)|||80602
던킨도너츠|춘천역점|||던킨도너츠||강원 춘천시 평화로 1||WIFI;휴대폰충전서비스;단체석;주차;케이터링|주중07&#58:00~23&#58:00;주말07&#58:00~23&#58:00|||||던킨도너츠 춘천역점|3층 (근화동,춘천역)|||80602
던킨도너츠|태백황지점|||던킨도너츠|033-552-3001||강원 태백시 황지동 39|해피포인트;WIFI;휴대폰충전서비스;단체석|주중09:00~21:00;주말10:00~21:00|||||던킨도너츠 태백황지점||||80602
던킨도너츠|한화평창점|||던킨도너츠||강원 평창군 봉평면 태기로 174|||주중08:00~21:00;주말08:00~21:00|||||던킨도너츠 한화평창점|(면온리,보광휘닉스파크) 1층 로비|||80602
던킨도너츠|평창휴게소(하)점|||던킨도너츠|||강원 평창군 용평면 이목정리 775|주차|주중07:30~23:30;주말07:30~23:30|||||던킨도너츠 평창휴게소(하)점||||80602
던킨도너츠|홍천비발디파크점|||던킨도너츠|033-435-2020||강원 홍천군 서면 팔봉리 1290-14|해피포인트;WIFI;휴대폰충전서비스;단체석;주차;해피오더|주중08&#58:00~22&#58:00;주말08&#58:00~22&#58:00|||||던킨도너츠 홍천비발디파크점||||80602
던킨도너츠|강원화천점|||던킨도너츠|033-442-0700|강원 화천군 화천읍 상승로 41||해피포인트;WIFI;휴대폰충전서비스;단체석;주차|주중08&#58:00~22&#58:00;주말08&#58:00~22&#58:00|||||던킨도너츠 강원화천점||||80602
