##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@고시원
피렌체하우스|잠실점|||고시원|010-3833-2693||서울 송파구 잠실동 189-15|||||||피렌체하우스 잠실점||||70205
잠실/무지개/원룸텔||||고시원|010-4623-7711||서울 송파구 방이동 68-3|||||||잠실 무지개 원룸텔||||70205
연신빌/고시텔||||고시원|02-382-1163||서울 은평구 갈현동 401-15|||||||연신빌 고시텔||||70205
렌탈하우스/쉼||||고시원|051-806-8686||부산 부산진구 부전2동 168-154|||||||렌탈하우스 쉼|제이타워|||70205
코지리빙텔|한양대점|||고시원|02-2296-3335||서울시 성동구 행당동 229-4|왕십리역점||||||코지리빙텔 한양대점||||70205
자이리빙텔||||고시원|02-845-3088||서울 영등포구 대림2동 858-37|||||||자이리빙텔|새봄빌딩 2층 자이리빙텔|||70205
두리웰빙고시텔||||고시원|031-898-6920||경기도 수원시 팔달구 인계동 1038-16|||||||두리웰빙고시텔||||70205
상동고시텔||||고시원|032-322-5890||경기도 부천시 원미구 상동 532-17|||||||상동고시텔|중앙프라자 8층|||70205
드림빌/원룸텔||||고시원|031-402-2400||경기도 안산시 고잔동 727-2|||||||드림빌 원룸텔|현대타운 3층|||70205
파랑새정원||||고시원|02-796-3119||서울 특별시 용산구 남영동 5-1|||||||파랑새정원|(구) 성일고시원|||70205
더샵고시텔||||고시원|032-655-9797||경기도 부천시 원미 심곡동 381-1|||||||더샵고시텔||||70205
메르디앙리빙텔|죽전점|||고시원|031-305-5999||경기도 용인시 수지구 죽전동 1260-1|||||||메르디앙리빙텔 죽전점||||70205
애뉴빌/하우스||||고시원|010-2259-7055||서울 광진구 화양동 508-2|||||||애뉴빌 하우스|3층|||70205
드림하우스빌||||고시원|032-326-7997||경기도 부천시 원미구 상동 532-16|||||||드림하우스빌|세진프라자|||70205
소호리빙텔|면목점|||고시원|02-435-6655||서울 중랑구 면목1동 502-33|||||||소호리빙텔 면목점|4층 소호리빙텔 면목점 고시원|||70205
미래를꿈꾸는사람들||||고시원|054-975-6050||경북 칠곡군 동명면 기성리 124|||||||미래를꿈꾸는사람들|(대구시)|||70205
리빙하우스||||고시원|02-2678-3200||서울시 영등포구 당산동 4가 32-107|||||||리빙하우스||||70205
멀티하우스|연대점|||고시원|02-3147-1013||서울 서대문구 창천동 31-21|||||||멀티하우스 연대점|1,2,3,4,층 전건물|||70205
메트로레지던스|면목점|||고시원|02-433-6789||서울시 중랑구 면목동 359-15|||||||메트로레지던스 면목점|2층|||70205
성창원룸텔||||고시원|02-886-1210||서울 관악구 봉천동 47-2|||||||성창원룸텔||||70205
한빛고시텔||||고시원|02-3275-2313||서울시 용산구 원효로1가 48-16|||||||한빛고시텔||||70205
로하스위드텔||||고시원|031-563-9121||경기도 구리시 수택동 849-1|||||||로하스위드텔||||70205
클린하우스||||고시원|02-2051-2701||서울시 강남구 역삼동 620-12|||||||클린하우스||||70205
이화고시텔||||고시원|02-392-7775||서울시 서대문구 대현동 56-75.|여성전용||||||이화고시텔|이화고시텔. (우편번호: 120-808)|||70205
도곡레지던스||||고시원|02-571-2580||서울시 강남구 도곡동 947-17|||||||도곡레지던스||||70205
아이원/원룸텔&고시텔||||고시원|031-701-1160||경기도 성남시 분당 야탑동 (장미마을) 366-5|||||||아이원 원룸텔&고시텔|시그마호텔 2층|||70205
코코리빙텔역삼점||||고시원|02-554-5515||서울 강남구 역삼2동 722-7|||||||코코리빙텔역삼점||||70205
메르디앙리빙텔||||고시원|02-812-5552||서울 동작구 노량진1동 50-2|신설||||||메르디앙리빙텔||||70205
ceo원룸고시텔||||고시원|02-501-8142||서울 강남구 삼성동 166-6|||||||ceo원룸고시텔|4층|||70205
베스텔고시원||||고시원|02-6081-5589||서울 강남구 신사동 664-3|||||||베스텔고시원|재향빌딩3층/압구정로데오거리|||70205
한림고시원||||고시원|032-328-5570||경기도 부천시 원미 상동 545-9|||||||한림고시원||||70205
동산원룸하우스||||고시원|031-408-2828||경기도 안산시 이동 715-1|||||||동산원룸하우스|세종프라자 3층 전관|||70205
게스트하우스||||고시원|02-832-4136||서울시 영등포구 신길1동 95-152|||||||게스트하우스||||70205
리빙파크원룸텔|답십리점|||고시원|02-2214-1190||서울 성동구 용답동 225-14|||||||리빙파크원룸텔 답십리점||||70205
노블원룸텔||||고시원|02-392-4154||서울 서대문구 충정로2가 26|||||||노블원룸텔||||70205
클린원룸텔||||고시원|02-521-3317||서울특별시 서초구 서초동 1668-6|||||||클린원룸텔|2-4층 클린원룸텔|||70205
보보레지던스|개포점|||고시원|02-579-0015||서울 강남구 개포2동 171-14|||||||보보레지던스 개포점|(강남구 개포동)|||70205
파크원룸텔||||고시원|02-3431-8006||서울시 송파구 방이2동 71|||||||파크원룸텔|호수빌딩 3층|||70205
e~고시텔||||고시원|02-2068-6779||서울 영등포구 영등포동6가 67-1-윤성타워3층 |||||||e~고시텔||||70205
골든벨/리빙텔||||고시원|02-815-1509||서울 동작구 대방동 389-10|||||||골든벨 리빙텔||||70205
싱글하우스|한성대점|||고시원|02-764-0167||서울 성북구 삼선동1가 130|||||||싱글하우스 한성대점|3,4층 싱글하우스 한성대점|||70205
BEST/HOUSE|숭실대점|||고시원|02-821-2205||서울 동작구 상도동 506-75|||||||BEST HOUSE 숭실대점||||70205
마이홈리빙텔||||고시원|02-2068-6600||서울시 영등포구 영등포동 3가 1-2|||||||마이홈리빙텔||||70205
CU리빙텔||||고시원|010-5689-0980||부산 사상구 괘법동 523-7|||||||CU리빙텔||||70205
형설고시원||||고시원|02-826-8154||서울 동작구 노량진동 247-4|||||||형설고시원|형설고시원|||70205
오렌지원룸텔||||고시원|031-262-0322||경기도 용인시 수지구 풍덕천동 710-2|||||||오렌지원룸텔|(풍덕천로139번길 10-6)|||70205
다은/웰빙텔||||고시원|031-491-0318||경기도 시흥시 거모동 1659-20|||||||다은 웰빙텔||||70205
아톰빌리지||||고시원|02-364-3232||서울시 마포구 아현동 282-1|남성전용||||||아톰빌리지|새한빌딩 2층|||70205
유진시티빌/여성고시원||||고시원|02-923-3200||서울 성북구 동선동3가 190-3|||||||유진시티빌 여성고시원|5통4반|||70205
웰빙텔|건대점|||고시원|02-461-9297||서울 광진구 화양동 18-3|||||||웰빙텔 건대점||||70205
늘푸른고시원||||고시원|02-841-8946||서울 영등포구 신길6동 1572|||||||늘푸른고시원||||70205
쉐르빌리빙텔|죽전점|||고시원|031-889-3331||경기도 용인시 수지구 죽전동 1189-4|단대점||||||쉐르빌리빙텔 죽전점|테마V샤르망 5층|||70205
비버하우스||||고시원|02-543-2055||서울 강남구 논현동 242-50|||||||비버하우스|비버하우스|||70205
심플하우스|산본역점|||고시원|031-392-3301||경기도 군포시 산본동 1140|||||||심플하우스 산본역점|동원프라자 6층|||70205
우리들고시텔||||고시원|032-345-9238||경기도 부천시 소사구 괴안동 126-1|||||||우리들고시텔||||70205
우리원룸텔||||고시원|010-2629-3303||서울시 중구 을지로4가 광덕빌딩 302-1|||||||우리원룸텔|3층|||70205
소호리빙텔|노량진점|||고시원|02-826-5006||서울 동작구 노량진동 231-111|||||||소호리빙텔 노량진점||||70205
구로한샘고시원||||고시원|02-858-7500||서울시 구로구 구로3동 1126-16|||||||구로한샘고시원|구로디지털단지 6번출구|||70205
풀하우스리빙텔|연대서강대점|||고시원|02-333-3325||서울 마포구 노고산동 54-1|||||||풀하우스리빙텔 연대서강대점||||70205
현대/사이버고시원||||고시원|032-885-5008||인천시 남구 도화2동 80-97|||||||현대 사이버고시원|새한빌딩 3,4층 현대사이버고시원|||70205
삼성고시텔||||고시원|031-366-2522||경기도 화성시 향남읍 행정리 487-2|||||||삼성고시텔|삼성프라자빌딩 6층|||70205
리치하우스/원룸텔||||고시원|02-822-0888||서울 동작구 대방동 23-147|||||||리치하우스 원룸텔||||70205
이삭고시원||||고시원|02-498-4666||서울 광진구 화양동 111-161|||||||이삭고시원|3층 이삭고시원|||70205
세종원룸텔||||고시원|02-461-1128||서울시 광진구 군자동 346-22|||||||세종원룸텔|장안빌딩 4층|||70205
싱글하우스|건대,성수점|||고시원|02-464-0101||서울시 성동구 성수2가 3동 279-42|||||||싱글하우스 건대,성수점||||70205
하이빌원룸텔||||고시원|02-470-8522||서울시 강동구 성내3동 417-2|||||||하이빌원룸텔|(도로명 : 풍성로 204)|||70205
심플하우스|강남뱅뱅사거리점|||고시원|02-521-2230||서울 서초구 서초동 1341-2|||||||심플하우스 강남뱅뱅사거리점||||70205
비버하우스화곡점||||고시원|02-2601-6888||서울 강서구 화곡동 346-2|신설||||||비버하우스화곡점|형제빌딩3층|||70205
오투원룸텔|회기역점|||고시원|02-963-6778||서울시 동대문구 휘경동 183-143|||||||오투원룸텔 회기역점||||70205
오투리빙텔||||고시원|02-988-4415||서울 강북구 미아동 791-563|||||||오투리빙텔|4층 오투리빙텔|||70205
상록고시원||||고시원|02-2603-9443||서울시 양천구 신정동 880-8|||||||상록고시원||||70205
파인하우스|양재점|||고시원|02-572-8959||서울시 강남구 도곡동 951-15|||||||파인하우스 양재점||||70205
디지털레지던스||||고시원|02-852-8300||서울 구로구 구로3동 1130-8호 디지털레지던스 |||||||디지털레지던스||||70205
신풍고시텔||||고시원|02-833-2818||서울시 영등포구 신길5동 424-3|||||||신풍고시텔||||70205
다라원룸텔||||고시원|02-461-2114||서울 광진구 중곡1동 648-23|||||||다라원룸텔|다라오피스텔|||70205
코쿤하우스|아현점|||고시원|02-363-0350||서울시 서대문구 북아현1동 121-21|||||||코쿤하우스 아현점||||70205
삼성탑/고시원&독서실||||고시원|02-511-8099||서울시 강남구 삼성동 삼성탑 빌딩 2~5층 |||||||삼성탑 고시원&독서실||||70205
심플하우스|미아역점|||고시원|02-945-1034||서울 강북구 미아동 322-1|||||||심플하우스 미아역점||||70205
코코고시텔||||고시원|031-565-4242||경기도 구리시 수택동 377-8|||||||코코고시텔|(안골로57번길 28)|||70205
리빙캐슬|신당역점|||고시원|02-2231-1335||서울 중구 신당동 133-34|||||||리빙캐슬 신당역점|2~3층|||70205
하이리빙텔||||고시원|02-2672-1254||서울시 영등포구 영등포동3가 23-9|||||||하이리빙텔||||70205
휴레지던스|이대점|||고시원|02-362-0848||서울시 서대문구 대현동 104-48|여성전용||||||휴레지던스 이대점|301호|||70205
비바레지던스||||고시원|02-489-1030||서울 송파구 풍납동 402-3|||||||비바레지던스|J빌딩 5층|||70205
프리첼고시원||||고시원|02-821-2038||서울시 동작구 신대방 2동 351-5|신대방삼거리역||||||프리첼고시원|3층|||70205
동명고시텔||||고시원|02-903-4988||서울 강북구 수유3동 2-5호 |||||||동명고시텔||||70205
리더스고시텔||||고시원|02-995-0705||서울 강북구 수유동 2-4|||||||리더스고시텔|수유역 5번출구 2분|||70205
오렌지레지던스||||고시원|02-323-3181||서울시 마포구 서교동 374-10|||||||오렌지레지던스|(양화로 99)|||70205
휴앤아이암사점||||고시원|02-481-9001||서울시 강동구 암사동 504-37|||||||휴앤아이암사점||||70205
아이비하우스||||고시원|02-308-0363||서울시 서대문구 북가좌동 333-8|||||||아이비하우스||||70205
21세기원룸텔고시원||||고시원|02-521-7521||서울 서초구 방배동 982-2|||||||21세기원룸텔고시원|2층 나호|||70205
보보멤버스텔|서초점|||고시원|02-523-9926||서울특별시 서초구 서초3동 1462-1|||||||보보멤버스텔 서초점||||70205
코오롱/고시텔||||고시원|02-953-5454||서울 성북구 삼선동4가 코오롱아파트 코오롱상가 3층 |||||||코오롱 고시텔||||70205
산호웰빙텔||||고시원|02-921-2177||서울 성북구 동선동4가 294|||||||산호웰빙텔|4~5+옥상층|||70205
안암빌고시텔||||고시원|02-922-1114||서울 성북구 성북동 안암동5가 134-2|||||||안암빌고시텔||||70205
비전원룸텔|명동점|||고시원|02-752-1015||서울시 중구 남산동3가 19-3|||||||비전원룸텔 명동점|(퇴계로22길 11-8)|||70205
모던리빙텔|창동역점|||고시원|02-990-1009|||||||||모던리빙텔 창동역점||||70205
