##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@밀레
밀레|제주중앙점|||밀레|064-756-4172|제주도 제주시 중앙로 44||||||||밀레 제주중앙점|중앙로 44|||91001
밀레|용인블루키점|||밀레|031-679-0371|경기도 용인시 기흥구 동백죽전대로 444||||||||밀레 용인블루키점|용인블루키점 1층 밀레|||91001
밀레|뉴코아인천점|||밀레||인천광역시 남동구 인하로 485||||||||밀레 뉴코아인천점|(구월동)|||91001
밀레|경북상주점|||밀레|054-534-0564|경상북도 상주시 삼백로 145||신규대리점||||||밀레 경북상주점|밀레|||91001
밀레|천안모다점|||밀레|041-900-7770|충청남도 천안시 서북구 공원로 196||||||||밀레 천안모다점|모다아울렛 2층 밀레|||91001
밀레|대전패션아일랜드점|||밀레|042-272-1350|대전광역시 동구 은어송로 72||||||||밀레 대전패션아일랜드점|패션아일랜드 밀레|||91001
밀레|NC안산고잔점|||밀레|031-436-4153|경기도 안산시 단원구 광덕대로 194||||||||밀레 NC안산고잔점|(고잔동 스타맥스타워)|||91001
밀레|진주모다점|||밀레|055-923-1799|경상남도 진주시 정촌면 삼일로95번길 28||신규대리점||||||밀레 진주모다점|모다아울렛 밀레|||91001
밀레|수유점|||밀레|02-905-8450|서울특별시 강북구 도봉로 351||||||||밀레 수유점|서울 강북구 도봉로 351,1층 (수유동)|||91001
밀레|강릉점|||밀레|033-648-0517|강원도 강릉시 문화의길 15||신규대리점||||||밀레 강릉점|밀레|||91001
밀레|광주세정아울렛점|||밀레|062-384-1212|광주광역시 서구 상무대로 773||||||||밀레 광주세정아울렛점|2층 262호 세정아울렛|||91001
밀레|광주용봉점|||밀레|062-528-8812|광주광역시 북구 설죽로 175번길 4||신규대리점||||||밀레 광주용봉점|1.2층 (용봉동)|||91001
밀레|순천모다점|||밀레|061-902-8015|전라남도 순천시 해룡면 상성길 70||신규대리점||||||밀레 순천모다점|B1층 밀레|||91001
밀레|충북진천점|||밀레|010-2423-3554|충청북도 진천군 진천읍 상산로 79-1||원스톱||||||밀레 충북진천점|밀레|||91001
밀레|김천모다점|||밀레|054-910-5017|경상북도 김천시 아포읍 아포대로 1417||신규대리점||||||밀레 김천모다점|2층 밀레|||91001
밀레|롯데인천터미널점|||밀레|032-242-2460|인천광역시 미추홀구 연남로 35||||||||밀레 롯데인천터미널점|(관교동)|||91001
밀레|오산모다점|||밀레|031-8043-2222|경기도 오산시 경기대로 822-30||신규대리점||||||밀레 오산모다점|A동 1층 밀레|||91001
밀레|구리남양주모다점|||밀레|031-514-8210|경기도 구리시 경춘북로 230||||||||밀레 구리남양주모다점|밀레구리남양주모다점|||91001
밀레|롯데아울렛기흥점|||밀레|031-8036-3176||경기도 용인시 기흥구 고매동 산38-1|||||||밀레 롯데아울렛기흥점|밀레|||91001
밀레|세이브존전주점|||밀레|063-282-7526|전라북도 전주시 완산구 팔달로 262-6||||||||밀레 세이브존전주점|(서노송동) 밀레|||91001
밀레|세이브존부천상동점|||밀레|070-7797-0290|경기도 부천시 길주로 105||||||||밀레 세이브존부천상동점|세이브존백화점 밀레|||91001
밀레|대성리점|||밀레|031-585-4765|경기도 가평군 청평면 경춘로 89-1||||||||밀레 대성리점|대성리 패션타운 밀레|||91001
밀레|강원횡성점|||밀레|033-345-0050|강원도 횡성군 횡성읍 문정로19번길 12||원스톱||||||밀레 강원횡성점|밀레|||91001
밀레|목포중앙점|||밀레|061-244-4807|전라남도 목포시 영산로87번길 4||원스톱||||||밀레 목포중앙점|밀레|||91001
밀레|아트몰링장안점|||밀레|02-2115-1250|서울특별시 동대문구 답십리로 288||||||||밀레 아트몰링장안점|2층 밀레|||91001
밀레|원주단구점|||밀레|033-766-8140|강원도 원주시 서원대로 500||원스톱||||||밀레 원주단구점|1층 110호 밀레|||91001
밀레|부산하단점|||밀레|051-203-0204|부산광역시 사하구 낙동대로 419||||||||밀레 부산하단점|밀레|||91001
밀레|경기죽전점|||밀레|031-266-2622|경기도 용인시 수지구 용구대로 2725-1||원스톱||||||밀레 경기죽전점|1층 12호|||91001
밀레|시흥신천직영점|||밀레|031-314-7033|경기도 시흥시 삼미시장1길 55||||||||밀레 시흥신천직영점|밀레|||91001
밀레|목동로데오점|||밀레|02-2601-7705|서울특별시 양천구 목동로25길 19||||||||밀레 목동로데오점|밀레|||91001
밀레|장호원점|||밀레|031-641-4611|경기도 이천시 장호원읍 샘재로 153-1||원스톱||||||밀레 장호원점|밀레|||91001
밀레|경북울진점|||밀레|054-783-0943|경상북도 울진군 울진읍 울진중앙로 114||원스톱||||||밀레 경북울진점|밀레|||91001
밀레|전주송천점|||밀레|063-253-0905|전라북도 전주시 덕진구 동부대로 1210||||||||밀레 전주송천점|밀레|||91001
밀레|포천송우점|||밀레|031-543-2888|경기도 포천시 소흘읍 호국로 445||신규대리점||||||밀레 포천송우점|1층 2호 밀레|||91001
밀레|현대아울렛가산점|||밀레|02-2136-9864|서울특별시 금천구 디지털로10길 9||||||||밀레 현대아울렛가산점|1동 4층 밀레|||91001
밀레|천안쌍용점|||밀레|041-579-8998|충청남도 천안시 동남구 쌍용대로 66||||||||밀레 천안쌍용점|A동 6,7호 밀레|||91001
밀레|롯데아울렛군산점|||밀레|063-447-0264||전라북도 군산시 조촌동 450-21|||||||밀레 롯데아울렛군산점|(조촌로 130)|||91001
밀레|롯데마산점|||밀레|055-240-5411|경상남도 창원시 마산합포구 동서동로 18||||||||밀레 롯데마산점|롯데백화점 마산점|||91001
밀레|안산한대점|||밀레|031-416-0255|경기도 안산시 상록구 삼리로 45||||||||밀레 안산한대점|1층 122~123호 밀레|||91001
밀레|대구팔공산점|||밀레|053-986-8767|대구광역시 동구 팔공로 330||||||||밀레 대구팔공산점|1층|||91001
밀레|수원봉담점|||밀레|031-297-1894|경기도 화성시 봉담읍 삼천병마로 1047-12||||||||밀레 수원봉담점|트래보시티 아울렛 2층|||91001
밀레|경남사천점|||밀레|055-855-7373|경상남도 사천시 사천읍 읍내로 18||원스톱||||||밀레 경남사천점|밀레|||91001
밀레|NC부천점|||밀레|032-624-7522||경기도 부천시 원미구 상동 539-1|||||||밀레 NC부천점|소풍뉴코아아울렛 5층 밀레|||91001
밀레|안양예술공원점|||밀레|031-472-7669|경기도 안양시 만안구 예술공원로 208||||||||밀레 안양예술공원점|1층 밀레|||91001
밀레|인천모다점|||밀레|032-288-7745|인천광역시 서구 북항로32번안길 50||||||||밀레 인천모다점|1층 밀레|||91001
밀레|경남함양점|||밀레|055-962-9966|경상남도 함양군 함양읍 함양로 1122-1||||||||밀레 경남함양점|밀레|||91001
밀레|충북옥천점|||밀레|043-731-8300|충청북도 옥천군 옥천읍 중앙로 52||||||||밀레 충북옥천점|밀레|||91001
밀레|경북김천점|||밀레|054-437-1288|경상북도 김천시 김천로 140||원스톱||||||밀레 경북김천점|밀레|||91001
밀레|경남남해점|||밀레|055-863-2600|경상남도 남해군 남해읍 화전로 95||원스톱||||||밀레 경남남해점|밀레|||91001
밀레|서울신당점|||밀레|02-2238-8058|서울특별시 중구 퇴계로 426-3||원스톱||||||밀레 서울신당점|1층 밀레|||91001
밀레|전남영광점|||밀레|061-351-3038|전라남도 영광군 영광읍 중앙로 173-1||원스톱||||||밀레 전남영광점|1층 밀레|||91001
밀레|광주무등산점|||밀레|062-229-7077|광주광역시 동구 증심사길30번길 16||||||||밀레 광주무등산점|밀레|||91001
밀레|인천연수점|||밀레|032-717-0650|인천광역시 연수구 청능대로23번길 11||||||||밀레 인천연수점|밀레|||91001
밀레|전남고흥점|||밀레|061-834-5553|전라남도 고흥군 고흥읍 고흥로 1739-1||원스톱||||||밀레 전남고흥점|밀레|||91001
밀레|경남합천점|||밀레|055-933-1442|경상남도 합천군 합천읍 동서로 91||원스톱||||||밀레 경남합천점|밀레|||91001
밀레|충북증평점|||밀레|043-838-0224|충청북도 증평군 증평읍 중앙로 148||원스톱||||||밀레 충북증평점|대성빌딩1 층 밀레|||91001
밀레|강원양구점|||밀레|033-481-6600|강원도 양구군 양구읍 중앙길 52||원스톱||||||밀레 강원양구점|밀레|||91001
밀레|뉴코아평촌점|||밀레|031-478-5083|경기도 안양시 동안구 동안로 119||||||||밀레 뉴코아평촌점|(호계동)|||91001
밀레|NC야탑점|||밀레|031-780-3870|경기도 성남시 분당구 야탑로 81번길 11||||||||밀레 NC야탑점|(야탑동)|||91001
밀레|NC강서점|||밀레|02-2667-9735|서울특별시 강서구 강서로 56길 17||||||||밀레 NC강서점||||91001
밀레|울산모다점|||밀레|052-935-0754|울산광역시 북구 진장유통로 78-6||||||||밀레 울산모다점|1층 밀레|||91001
밀레|신세계고양점|||밀레||경기도 고양시 덕양구 고양대로 1955||||||||밀레 신세계고양점|2층 밀레|||91001
밀레|서전주점|||밀레|063-225-3818|전라북도 전주시 완산구 유연로 14||신규대리점||||||밀레 서전주점|밀레|||91001
밀레|강원춘천점|||밀레|033-252-9229|강원도 춘천시 금강로 82-1||원스톱||||||밀레 강원춘천점|밀레|||91001
밀레|강원홍천점|||밀레|033-432-9509|강원도 홍천군 홍천읍 꽃뫼로 75||원스톱||||||밀레 강원홍천점|밀레|||91001
밀레|부평아이즈빌점|||밀레|032-505-1773|인천광역시 부평구 마장로 489||||||||밀레 부평아이즈빌점|7동 1층 1740~1741호|||91001
밀레|익산파크아울렛점|||밀레|063-838-6300|전라북도 익산시 무왕로38길 3||||||||밀레 익산파크아울렛점|밀레|||91001
밀레|현대아울렛/가든파이브점|||밀레|02-2673-2351|서울시 송파구 충민로 66||||||||밀레 현대아울렛/가든파이브점|문정동,가든파이브 라이프동|||91001
밀레|경북영주점|||밀레|054-633-6969|경상북도 영주시 중앙로83번길 10||||||||밀레 경북영주점|밀레|||91001
밀레|강원인제점|||밀레|033-463-7200|강원도 인제군 인제읍 비봉로 8-1||원스톱||||||밀레 강원인제점|밀레|||91001
밀레|충북영동점|||밀레|043-745-2727|충청북도 영동군 영동읍 중앙로1길 4||원스톱||||||밀레 충북영동점|밀레|||91001
밀레|강원철원점|||밀레|033-455-0355|강원도 철원군 동송읍 금학로 223||원스톱||||||밀레 강원철원점|밀레|||91001
밀레|서수원점|||밀레|031-298-1921|경기도 수원시 권선구 수인로331번길 12||||||||밀레 서수원점|밀레|||91001
밀레|전남강진점|||밀레|061-432-9116|전라남도 강진군 강진읍 중앙로 105||원스톱||||||밀레 전남강진점|밀레|||91001
밀레|아산배방점|||밀레|041-534-0588|충청남도 아산시 배방읍 모산로 95||원스톱||||||밀레 아산배방점|밀레|||91001
밀레|경남함안점|||밀레|055-585-0307|경상남도 함안군 가야읍 가야로 54||원스톱||||||밀레 경남함안점|밀레|||91001
밀레|사상애플점|||밀레|051-559-6207|부산광역시 사상구 사상로 201||||||||밀레 사상애플점|아웃도어관 2층 밀레|||91001
밀레|전북고창점|||밀레|063-561-4111|전라북도 고창군 중앙로 228-1||원스톱||||||밀레 전북고창점|밀레|||91001
밀레|롯데아울렛남악점|||밀레|061-801-2201||전라남도 무안군 삼향읍 남악리 2622|||||||밀레 롯데아울렛남악점|롯데아울렛 남악점 밀레|||91001
밀레|경남하동점|||밀레|055-884-0009|경상남도 하동군 중앙로 48-1||원스톱||||||밀레 경남하동점|48-1밀레|||91001
밀레|롯데아울렛진주점|||밀레|055-791-2355||경상남도 진주시 충무공동 35|||||||밀레 롯데아울렛진주점|롯데아울렛진주 밀레|||91001
밀레|신세계하남점|||밀레|031-8072-1935||경기도 하남시 신장동 616|||||||밀레 신세계하남점|신세계하남점 밀레|||91001
밀레|남양주덕소점|||밀레|031-577-3551|경기도 남양주시 경강로 354||||||||밀레 남양주덕소점|(삼패동) 358-1|||91001
밀레|대전모다점|||밀레|042-541-1340|대전광역시 유성구 대정로 5||||||||밀레 대전모다점|1층 밀레|||91001
밀레|대구성서점|||밀레|053-565-3232|대구광역시 달서구 달서대로 441||||||||밀레 대구성서점||||91001
밀레|신세계김해점|||밀레|055-272-1879|경상남도 김해시 전하로304번길 24||||||||밀레 신세계김해점|신세계백화점 김해점 3층|||91001
밀레|현대프리미엄아울렛송도점|||밀레|032-727-2462|인천광역시 연수구 송도 송도동 국제대로 123||||||||밀레 현대프리미엄아울렛송도점|현대프리미엄아울렛 송도점 B1 462호|||91001
밀레|현대아울렛시티동대문점|||밀레|02-2283-2713|서울특별시 중구 장충단로13길 20||||||||밀레 현대아울렛시티동대문점|현대아울렛시티동대문점 7층|||91001
밀레|광주아울렛점|||밀레|062-385-5555|광주광역시 서구 상무대로 635||||||||밀레 광주아울렛점||||91001
밀레|롯데팩토리아울렛가산점|||밀레|02-2623-2213|서울특별시 금천구 벚꽃로 278||||||||밀레 롯데팩토리아울렛가산점||||91001
밀레|울산신선도원점|||밀레|052-916-0121|울산광역시 북구 진장17길 10||||||||밀레 울산신선도원점|밀레|||91001
밀레|경북안동점|||밀레|054-853-9933|경상북도 안동시 대안로 154-1||||||||밀레 경북안동점||||91001
밀레|대전유성점|||밀레|042-826-1350|대전광역시 유성구 유성대로 805||||||||밀레 대전유성점||||91001
밀레|행담도모다점|||밀레|041-970-2201|충청남도 당진시 서해안고속도로 275||||||||밀레 행담도모다점|모다아울렛행담도점|||91001
밀레|롯데아울렛광교점|||밀레|031-8064-2218||경기도 수원시 이의동 1338|||||||밀레 롯데아울렛광교점|롯데아울렛광교점|||91001
밀레|양산점|||밀레|055-387-1547|경상남도 양산시 서일동1길 22||||||||밀레 양산점||||91001
밀레|음성금왕점|||밀레|043-878-0770|충청북도 음성군 대금로 819-12||||||||밀레 음성금왕점||||91001
밀레|현대판교점|||밀레|031-5170-1747||경기도 성남시 분당구 백현동 541|||||||밀레 현대판교점|판교역로146번길 20|||91001
