##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@카파
카파|목포중앙점|126.38476509999998|34.7914699|카파|061-245-0222||전남 목포시 대안동 15-1|||||||카파 목포중앙점||||91001
카파|익산중앙점|126.94857419999994|35.9406681|카파|063-851-0652||전북 익산시 창인동 1가 70-1|||||||카파 익산중앙점||||91001
카파|강릉점|128.89601889999994|37.7532133|카파|033-643-1441||강원 강릉시 금학동 76|||||||카파 강릉점||||91001
카파|여수점|127.73486230000003|34.7408099|카파|061-666-7600||전남 여수시 교동 328|||||||카파 여수점||||91001
카파|거제점|128.61642099999994|34.8911104|카파|055-680-0580||경남 거제시 신현읍 고현리 958-15|||||||카파 거제점|디큐브백화점 5층|||91001
카파|뉴코아부천점|126.75643960000002|37.50416970000001|카파|032-624-8470||경기 부천시 원미구 상동 539-1|||||||카파 뉴코아부천점|뉴코아부천 아울렛|||91001
카파|장안점|127.07234649999998|37.5718718|카파|02-2115-1239||서울 동대문구 장안동 368-1|||||||카파 장안점|바우하우스 2층|||91001
카파|제천점|128.20980510000004|37.1371846|카파|043-645-5982||충북 제천시 명동 2-13|||||||카파 제천점||||91001
카파|현대미아점|127.02876259999993|37.6083223|카파|02-2117-1639||서울 성북구 길음3동 20-1|||||||카파 현대미아점|현대백화점 6층|||91001
카파|현대중동점|126.76202490000003|37.50427699999999|카파|032-623-2649||경기 부천시 원미구 중동 1164|||||||카파 현대중동점|현대백화점 6층|||91001
카파|현대목동점|126.87497819999998|37.5268253|카파|02-2163-3575||서울 양천구 목1동 916|||||||카파 현대목동점|스포츠관 1층|||91001
카파|전주평화점|127.12330509999992|35.7929813|카파|063-231-1268||전북 전주시 완산구 평화동2가 568-31|||||||카파 전주평화점|(1층) 버즈아울렛|||91001
카파|부산사상점|128.98332010000001|35.1634975|카파|051-559-6302||부산 사상구 괘법동 534-1|||||||카파 부산사상점|본관 1층|||91001
카파|시화점|126.73589190000007|37.3443112|카파|031-319-0151||경기 시흥시 정왕동 1742-5|||||||카파 시화점|월드프라자 101-102|||91001
카파|일산그랜드점|126.76046040000005|37.674073|카파|031-910-2089||경기도 고양시 일산서구 주엽2동 22|||||||카파 일산그랜드점|그랜드백화점 6층|||91001
카파|롯데광주점|126.91226770000003|35.1545115|카파|062-221-1581||광주 동구 대인동 7-1|||||||카파 롯데광주점|롯데백화점 5층|||91001
카파|롯데부산점|129.05664660000002|35.1568526|카파|051-810-3522||부산광역시 부산진구 부전동 503-15|||||||카파 롯데부산점|롯데백화점 5층|||91001
카파|롯데상인점|128.55077630000005|35.8143995|카파|053-258-3566||대구 달서구 상인동 |||||||카파 롯데상인점||||91001
카파|갤러리아센터시티점|127.16339010000001|36.824764|카파|041-412-9687||충남 천안시 신부동 갤러리아 백화점 |||||||카파 갤러리아센터시티점||||91001
카파|롯데잠실점|127.09802739999998|37.5112348|카파|02-2143-7709||서울 송파구 잠실동 40-1|||||||카파 롯데잠실점|7층|||91001
카파|롯데동래점|129.0776055|35.2114828|카파|051-668-4551||부산 동래구 온천2동 502-3|||||||카파 롯데동래점|롯데백화점 동래점 5층|||91001
카파|대전세이점|127.40896939999993|36.3209817|카파|042-242-0319||대전광역시 중구 문화동 1-16|||||||카파 대전세이점|세이백화점 신관 2층|||91001
카파|대백본점|128.59594019999997|35.869303|카파|053-425-2238|대구 중구 동성로 2가 174||||||||카파 대백본점|대구백화점 5층|||91001
카파|부산아시아드점|129.06428700000003|35.1913249|카파|051-505-8820||부산 연제구 거제동 1208|||||||카파 부산아시아드점|홈플러스 지하2층|||91001
카파|롯데파주아울렛점|126.69291900000007|37.718454|카파|031-960-2907|경기 파주시 문발동 회동길 390||||||||카파 롯데파주아울렛점|롯데프리미엄아울렛 D 블록 1층|||91001
카파|여천점|127.66888119999998|34.7608419|카파|061-683-7711||전남 여수시 신기동 108-3|||||||카파 여천점||||91001
카파|부산연산홈플러스점|129.08904099999995|35.1915763|카파|051-867-2683||부산 연제구 연산동 105-1|||||||카파 부산연산홈플러스점|(1층)|||91001
카파|롯데광주월드컵점|126.87557289999995|35.1329733|카파|062-606-2948||광주 서구 풍암동 423-2|||||||카파 롯데광주월드컵점|(2층)|||91001
카파|롯데창원점|128.68183190000002|35.2245588|카파|055-279-3450||경남 창원시 성산구 상남동 79|||||||카파 롯데창원점||||91001
카파|롯데광주수완아울렛점|126.8209779|35.1902505|카파|062-616-2212||광주 광산구 장덕동 1678|||||||카파 롯데광주수완아울렛점||||91001
카파|롯데대전점|127.38928669999995|36.3408418|카파|042-601-2773||대전 서구 괴정동 423-1|||||||카파 롯데대전점||||91001
카파|조치원점|127.29863169999999|36.6011043|카파|044-865-2074||충남 연기군 조치원읍 원리 7-1|||||||카파 조치원점||||91001
카파|현대충청점|127.42483130000005|36.6440331|카파|043-909-4810||충북 청주시 흥덕구 복대동 3379|||||||카파 현대충청점|현대백화점 B1층|||91001
카파|천안모다아울렛점|127.10627799999997|36.8083197|카파|041-904-6985||충남 서북구 불당동 1289|||||||카파 천안모다아울렛점|- 1 펜타포트 모다아울렛 3층|||91001
카파|롯데장유아울렛점|128.82471399999997|35.1878629|카파|055-900-2742||경남 김해시 장유면 신문리 롯데백화점 2층 |||||||카파 롯데장유아울렛점||||91001
카파|롯데율하아울렛점|128.69340020000004|35.86846|카파|053-960-2627||대구 동구 율하동 1117|||||||카파 롯데율하아울렛점|2층|||91001
카파|롯데부여아울렛점|126.90177990000007|36.3070242|카파|041-435-2716||충청남도 부여군 규암면 합정리 172|||||||카파 롯데부여아울렛점||||91001
카파|롯데이천아울렛점|127.42479839999998|37.22309389999999|카파|031-887-4723|경기도 이천시 호법면 프리미엄아울렛로 177-74||||||||카파 롯데이천아울렛점|1층|||91001
카파|경주모다아울렛점|129.24112880000007|35.9085492|카파|054-620-7223|경상북도 경주시 천북면 산업로 4930||||||||카파 경주모다아울렛점|카파매장|||91001
