##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@감탄떡볶이
감탄떡볶이|전주에코시티점|35.8731342016834|127.13568247467062|감탄떡볶이|063-276-9995||전북 전주시 덕진구 송천동2가 1343||AM10:30 ~ 21:00 (일요일)|||||감탄떡볶이 전주에코시티점|에코시티 데시앙7BL 상가 109호|||81026
감탄떡볶이|구일점|||감탄떡볶이|02-852-5954|서울 구로구 구일로 10길 27|||11:00 ~ 21:30 (매주 일요일)|||||감탄떡볶이 구일점|B동 109호|||81026
감탄떡볶이|청도휴게소상행선점|||감탄떡볶이||경상북도 청도군 청도읍 하지길 59-50|||AM07:00 ~ PM09:00 ()|||||감탄떡볶이 청도휴게소상행선점||||81026
감탄떡볶이|롯데마트/신갈점|||감탄떡볶이|17064|경기도 용인시 기흥구 중부대로 375|||10:00~22:00 (오더마감 20:30) (2,4째주 일요일)|||||감탄떡볶이 롯데마트/신갈점|롯데마트 신갈점 내 B1|||81026
감탄떡볶이|세종/도담점|||감탄떡볶이|044-867-8838|세종 보듬4로 9|||()|||||감탄떡볶이 세종/도담점|(카림에비뉴 1층)|||81026
감탄떡볶이|광주봉선점|||감탄떡볶이|062-651-5114||광주광역시 남구 봉선동 114-3||(매주 월요일)|||||감탄떡볶이 광주봉선점|107호|||81026
감탄떡볶이|용인상현점|||감탄떡볶이|031-264-6410||경기도 용인시 수지구 상현동 66-9||AM11:00 ~ PM09:00 ()|||||감탄떡볶이 용인상현점|상현종합상가 105호|||81026
감탄떡볶이|홈플러스부천소사점|||감탄떡볶이|||경기도 부천시 괴안동 129-1||(2,4째주 일요일)|||||감탄떡볶이 홈플러스부천소사점|홈플러스 부천소사점|||81026
감탄떡볶이|홈플러스_신내점|37.61581188595155|127.09373792505448|감탄떡볶이||서울특별시 중랑구 신내로 201|||(매월 2번째 ,4번째 일요일 휴점)|||||감탄떡볶이 홈플러스_신내점|홈플러스 신내점 내 1층|||81026
감탄떡볶이|신곡점|||감탄떡볶이|031-837-7778||경기도 의정부시 신곡동 719-2||()|||||감탄떡볶이 신곡점|백상플라자 107호|||81026
감탄떡볶이|롯데마트고양점|||감탄떡볶이||경기 고양시 덕양구 충장로 150|||(2,4째주 수요일)|||||감탄떡볶이 롯데마트고양점|롯데마트|||81026
감탄떡볶이|롯데마트/이천점|||감탄떡볶이|||경기도 이천시 안흥동 274-19||10:00~21:00 (2,4째주 일요일)|||||감탄떡볶이 롯데마트/이천점|롯데마트 지하1층|||81026
감탄떡볶이|홈플러스_울산남구|||감탄떡볶이||울산광역시 남구 수암로 148|||(매월 2번째 수요일,4번째 일요일 휴점)|||||감탄떡볶이 홈플러스_울산남구|홈플러스 울산남구점 1층 푸드코트 내|||81026
감탄떡볶이|홈플러스/유성점|||감탄떡볶이||대전광역시 유성구 한밭대로 502|||()|||||감탄떡볶이 홈플러스/유성점|홈플러스 유성점|||81026
감탄떡볶이|부천/옥길점|||감탄떡볶이|032)346-0834||경기도 부천시 옥길동 726-3||11:00 ~ 22:00 (일요일)|||||감탄떡볶이 부천/옥길점||||81026
감탄떡볶이|발안만세시장점|126.90914528|37.1313437412|감탄떡볶이|031-353-7578|경기도 화성시 향남읍 평3길 12|||11:00~21:00 (무)|||||감탄떡볶이 발안만세시장점||||81026
감탄떡볶이|홈플러스안산점|||감탄떡볶이||경기도 안산시 상록구 충장로 432.|||()|||||감탄떡볶이 홈플러스안산점|홈플러스안산점 내 1층|||81026
감탄떡볶이|-롯데마트금천점|||감탄떡볶이||서울특별시 금천구 시흥대로 315|||(2,4째주 일요일)|||||감탄떡볶이 -롯데마트금천점|롯데마트 지하1층|||81026
감탄떡볶이|화성휴게소하행선점|||감탄떡볶이||경기도 화성시 팔탄면 서해안고속도로 301|||()|||||감탄떡볶이 화성휴게소하행선점|화성휴게소 하행선 내|||81026
감탄떡볶이|롯데마트강변점|||감탄떡볶이||서울특별시 광진구 광나루로56길 85|||()|||||감탄떡볶이 롯데마트강변점|테크노마트|||81026
감탄떡볶이|다산점|127.157151494|37.6282141302|감탄떡볶이|031-553-6939|경기 남양주시 다산중앙로172번길 44|||AM11:00~PM9:00 (매주 목요일)|||||감탄떡볶이 다산점|(다산동)|||81026
감탄떡볶이|홈플러스_북수원|127.009208394|37.3021414723|감탄떡볶이|031-259-8000||경기 수원시 장안구 조원동 898-1||AM10:00~PM10:00 (매월 둘째,넷째 일요일)|||||감탄떡볶이 홈플러스_북수원||||81026
감탄떡볶이|홈플러스_김포점|||감탄떡볶이||경기 김포시 중봉로 14|||AM10:00~PM10:00 (2,4 수요일)|||||감탄떡볶이 홈플러스_김포점|(감정동) 홈플러스 지상 2층 푸드코트|||81026
감탄떡볶이|홈플러스_분당오리점|||감탄떡볶이||경기도 성남시 분당구 탄천상로151번길 20|||AM10:00~PM10:00 (2,4 주차 일요일)|||||감탄떡볶이 홈플러스_분당오리점|B1|||81026
감탄떡볶이|양주옥정점|||감탄떡볶이|031-868-9200|경기도 양주시 옥정로 226|||AM10:00 ~ PM10:00 (일요일)|||||감탄떡볶이 양주옥정점|(103호)|||81026
감탄떡볶이|향남2지구점|||감탄떡볶이|031-354-5202|경기도 화성시 향남읍 상신하길로298번길 11|||AM11:00 ~ PM10:00 (월요일)|||||감탄떡볶이 향남2지구점|(103-1호)|||81026
감탄떡볶이|서산휴게소하행선점|126.565019676|36.7429050349|감탄떡볶이||충남 서산시 해미면 서해안고속도로 241|||()|||||감탄떡볶이 서산휴게소하행선점|(삼송리)|||81026
감탄떡볶이|롯데마트/경기양평점|127.502651807|37.4894690157|감탄떡볶이||경기 양평군 양평읍 남북로 76|||AM10:00 ~ PM10:00 (2,4 일요일)|||||감탄떡볶이 롯데마트/경기양평점||||81026
감탄떡볶이|군산휴게소상행선점|||감탄떡볶이||전라북도 군산시 나포면 서해안고속도로 3182|||()|||||감탄떡볶이 군산휴게소상행선점|(군산휴게소 상행선)|||81026
감탄떡볶이|안양상떼빌점|126.916883039|37.394323959|감탄떡볶이|031-444-3512|경기 안양시 만안구 장내로 72|||AM10:00~PM22:00 (매주 일요일)|||||감탄떡볶이 안양상떼빌점|(안양동,수리산성원상떼빌1차 상가동)|||81026
감탄떡볶이|양평휴게소상행선점|127.723393275|37.3986240585|감탄떡볶이||경기 양평군 양동면 여양3로 384-27|||()|||||감탄떡볶이 양평휴게소상행선점||||81026
감탄떡볶이|광교웰빙점|||감탄떡볶이|031-211-0648||경기 수원시 영통구 이의동 1202||AM10:00~PM09:00 (일요일)|||||감탄떡볶이 광교웰빙점|(101호)|||81026
감탄떡볶이|롯데마트김포한강점|126.67857987|37.639492857|감탄떡볶이||경기 김포시 김포한강4로 8|||AM10:00~PM10:00 (2, 4째 수요일)|||||감탄떡볶이 롯데마트김포한강점|(장기동)|||81026
감탄떡볶이|송산점|||감탄떡볶이|031-366-8717|경기도 화성시 송산면 삼일공원로 122|||am10:00~pm10:00 (일요일)|||||감탄떡볶이 송산점||||81026
감탄떡볶이|간석점|126.689844767|37.4662184975|감탄떡볶이|070-8117-4779||인천 남동구 간석동 616-78||am10:00~pm10:00 (매주 일요일)|||||감탄떡볶이 간석점||||81026
감탄떡볶이|오창2산단점|||감탄떡볶이|043-218-2456||충북 청주시 청원구 오창읍 주성리 328||am10:00~pm10:00 (2,4주 일요일)|||||감탄떡볶이 오창2산단점|104호|||81026
감탄떡볶이|롯데마트/청량리점|||감탄떡볶이||서울시 동대문구 왕산로 214|||am10:00~pm22:00 (2,4째주 일요일)|||||감탄떡볶이 롯데마트/청량리점||||81026
감탄떡볶이|상동프라자점|128.633212809|34.8604266643|감탄떡볶이|055-635-5354||경남 거제시 상동동 931-19||am10:00~pm10:00 ()|||||감탄떡볶이 상동프라자점|상동프라자 제1층 제108호|||81026
감탄떡볶이|롯데마트시흥배곧점|126.731325054|37.3688950208|감탄떡볶이||경기 시흥시 서울대학로278번길 67|||am10:00~pm22:00 (둘째,넷째 일요일 휴무)|||||감탄떡볶이 롯데마트시흥배곧점||||81026
감탄떡볶이|장당점|127.058000101|37.051533317|감탄떡볶이|031-666-0629||경기 평택시 이충동 614-4||AM10:00~PM10:00 (무휴)|||||감탄떡볶이 장당점||||81026
감탄떡볶이|화성시청점/[우수가맹점]|126.826261614|37.20271218|감탄떡볶이|031-355-3236|경기도 화성시 남양읍 역골로49번길 13-1|||am10:00~pm10:00 (일요일)|||||감탄떡볶이 화성시청점/[우수가맹점]||||81026
감탄떡볶이|평촌점|126.959490953|37.3832528358|감탄떡볶이|031-384-4088||경기도 안양시 동안구 호계동 1065||am10:30~pm24:00 (매주 월요일)|||||감탄떡볶이 평촌점|중앙상가 제1층 102호|||81026
감탄떡볶이|롯데마트구미점|||감탄떡볶이||경북 구미시 구미대로 22길 11|||am10:00~pm22:00 (매월 둘째,넷째 수요일)|||||감탄떡볶이 롯데마트구미점||||81026
감탄떡볶이|롯데마트석사점|127.7591484|37.8667794292|감탄떡볶이||강원도 춘천시 세실로 108|||am10:00~pm10:00 (매월 둘째,넷째 일요일)|||||감탄떡볶이 롯데마트석사점|(석사동 27-2,롯데마트 석사점)|||81026
감탄떡볶이|창원경상대병원점|128.707807239|35.1992129842|감탄떡볶이|055-214-1935|경상남도 창원시 성산구 삼정자로 11|||am10:00~pm10:00 ()|||||감탄떡볶이 창원경상대병원점|(성주동 146-1,창원경상대학교병원)|||81026
감탄떡볶이|롯데마트/의정부점|127.084272056|37.7427921145|감탄떡볶이||경기도 의정부시 산단로76번길 116|||am10:00~pm10:00 (2/4주 일요일)|||||감탄떡볶이 롯데마트/의정부점||||81026
감탄떡볶이|롯데마트포항점|129.324315244|36.0283724128|감탄떡볶이||경상북도 포항시 남구 지곡로 247|||am10:00~pm10:00 ()|||||감탄떡볶이 롯데마트포항점|(지곡동 481)|||81026
감탄떡볶이|롯데마트원주점/[우수가맹점]|127.927643961|37.3456791389|감탄떡볶이||강원도 원주시 봉화로 1|||am10:00~pm10:00 (2, 4째 수요일)|||||감탄떡볶이 롯데마트원주점/[우수가맹점]||||81026
감탄떡볶이|롯데마트양덕점|128.585479013|35.2249939168|감탄떡볶이|||경남 창원시 마산회원구 양덕동 222-3||am10:00~pm10:00 ()|||||감탄떡볶이 롯데마트양덕점||||81026
감탄떡볶이|롯데마트정읍점|||감탄떡볶이||전북 정읍시 벚꽃로 85|||am10:00~pm10:00 (2,4째주 일요일)|||||감탄떡볶이 롯데마트정읍점||||81026
감탄떡볶이|롯데마트노은점|||감탄떡볶이||대전시 유성구 북유성대로 206|||AM10:00~PM10:00 ()|||||감탄떡볶이 롯데마트노은점||||81026
감탄떡볶이|강동역점|127.133117181|37.5366055081|감탄떡볶이|02-475-2231|서울특별시 강동구 천호대로 1089|||AM10:00~PM10:00 ()|||||감탄떡볶이 강동역점|(천호동 447-17,강동 헤르셔)|||81026
감탄떡볶이|롯데마트송도점/[우수가맹점]|126.643326285|37.3883154373|감탄떡볶이||인천광역시 연수구 컨벤시아대로 177|||am10:00~pm10:00 (2/4주 일요일)|||||감탄떡볶이 롯데마트송도점/[우수가맹점]|(송도동 6-11,롯데마트)|||81026
감탄떡볶이|롯데마트연수점|126.675171796|37.4151205616|감탄떡볶이||인천시 연수구 청능대로 87|||am10:00~pm10:00 (2/4주 일요일)|||||감탄떡볶이 롯데마트연수점||||81026
감탄떡볶이|롯데마트통영점|128.428238796|34.8605774077|감탄떡볶이||경남 통영시 무전대로 65|||am10:00~pm10:00 ()|||||감탄떡볶이 롯데마트통영점|(무전동 1069,롯데마트)|||81026
감탄떡볶이|우두점|127.728917928|37.9003733223|감탄떡볶이|033-241-8244||강원도 춘천시 우두동 1067-1||am10:00~pm10:00 (일요일)|||||감탄떡볶이 우두점||||81026
감탄떡볶이|롯데마트진장점|129.359025224|35.5760054657|감탄떡볶이||울산광역시 북구 진장유통로 64|||AM10:00~PM10:00 ()|||||감탄떡볶이 롯데마트진장점|(진장동 283-1,롯데마트)|||81026
감탄떡볶이|롯데마트울산점|129.315908886|35.5339767485|감탄떡볶이||울산광역시 남구 삼산로 74|||(2,4째주 일요일)|||||감탄떡볶이 롯데마트울산점|(달동 830-1,롯데마트울산점)|||81026
감탄떡볶이|롯데마트서산점|||감탄떡볶이||충청남도 서산시 충의로 27|||(2/4주 일요일)|||||감탄떡볶이 롯데마트서산점|(예천동 508-10)|||81026
감탄떡볶이|롯데마트마산점|128.560731093|35.1813422844|감탄떡볶이|||경남 창원시 마산합포구 창포동 3가 8-1||am10:~pm10:00 ()|||||감탄떡볶이 롯데마트마산점||||81026
감탄떡볶이|롯데마트장유점|128.801297619|35.1930383535|감탄떡볶이||경남 김해시 번화1로56번길 15|||am10:00~pm10:00 ()|||||감탄떡볶이 롯데마트장유점|(대청동 300,롯데마트)|||81026
감탄떡볶이|롯데마트부산점|||감탄떡볶이|||부산시 부산진구 부암동 257||am10:00~pm10:00 ()|||||감탄떡볶이 롯데마트부산점||||81026
감탄떡볶이|롯데마트상무점|||감탄떡볶이||광주광역시 서구 시청로 40|||am10:00~pm10:00 (2,4주 일요일)|||||감탄떡볶이 롯데마트상무점||||81026
감탄떡볶이|롯데마트월드컵점|||감탄떡볶이|||광주광역시 서구 풍암동 423-2||am10:00~pm10:00 ()|||||감탄떡볶이 롯데마트월드컵점||||81026
감탄떡볶이|롯데마트여수점|||감탄떡볶이|||전남 여수시 국동 37-100||am10:00~pm10:00 ()|||||감탄떡볶이 롯데마트여수점||||81026
감탄떡볶이|롯데마트대덕밸리점|127.386816822|36.4268326765|감탄떡볶이|||대전시 유성구 관평동 887||am10:00~pm10:00 ()|||||감탄떡볶이 롯데마트대덕밸리점||||81026
감탄떡볶이|롯데마트사상점|||감탄떡볶이|||부산시 사상구 엄궁동 690||am10:00~pm10:00 ()|||||감탄떡볶이 롯데마트사상점||||81026
감탄떡볶이|롯데마트서청주점|||감탄떡볶이|||충북 청주시 흥덕구 비하동 811||am10:30~pm09:30 (주말 pm22:00) (2/4주 일요일)|||||감탄떡볶이 롯데마트서청주점||||81026
감탄떡볶이|롯데마트검단점|126.664424644|37.5945195578|감탄떡볶이|||인천 서구 마전동 626-7||am10:00~pm10:00 (2,4 일요일)|||||감탄떡볶이 롯데마트검단점||||81026
감탄떡볶이|롯데마트여천점|||감탄떡볶이|||전남 여수시 선원동 1268-2||am10:00~pm10:00 (2,4째주 일요일)|||||감탄떡볶이 롯데마트여천점||||81026
감탄떡볶이|롯데마트삼산점|126.732044675|37.5078833062|감탄떡볶이|||인천광역시 부평구 삼산동 465-1||(2,4째주 일요일)|||||감탄떡볶이 롯데마트삼산점||||81026
