##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@병원장례식장
국립중앙의료원||127.0059029|37.5674232|병원장례식장|02-2262-4800|서울특별시 중구 을지로 245||직영||||||국립중앙의료원|(을지로6가,국립중앙의료원)|||91903
서울대학교병원장례식장||126.9983979|37.5792598|병원장례식장|02-2072-2020|서울특별시 종로구 대학로 101||직영||||||서울대학교병원장례식장|서울대학교병원 (연건동)|||91903
서울백병원장례식장||126.9887525|37.5649096|병원장례식장|02-2277-4440|서울특별시 중구 마른내로 9||임대||||||서울백병원장례식장|(저동2가)|||91903
고려대학교안암병원장례식장||127.0318586|37.5900117|병원장례식장|02-923-4442|서울특별시 성북구 인촌로 99-14||직영||||||고려대학교안암병원장례식장|(안암동5가)|||91903
가톨릭대학교/은평성모장례식장||127.0434762|37.579203|병원장례식장|02-2030-4444|서울특별시 은평구 통일로 1021||직영||||||가톨릭대학교 은평성모장례식장|은평성모장례식장 (진관동)|||91903
한양대학병원장례식장||127.0440888|37.5570532|병원장례식장|02-2290-9442|서울특별시 성동구 왕십리로 222-1||임대||||||한양대학병원장례식장|(사근동,한양대학부속병원)|||91903
서울적십자병원장례식장||126.9670566|37.5671402|병원장례식장|02-2002-8444|서울특별시 종로구 새문안로 9||직영||||||서울적십자병원장례식장|(평동,적십자병원)|||91903
경희의료원장례식장||127.0527612|37.5953632|병원장례식장|02-958-9721|서울특별시 동대문구 경희대로 23||직영||||||경희의료원장례식장|경희의료원장례식장 (회기동,경희의료원)|||91903
순천향대학병원장례식장||127.0043336|37.5339355|병원장례식장|02-797-4444|서울특별시 용산구 대사관로 59||임대||||||순천향대학병원장례식장|(한남동,순천향대학교병원)|||91903
삼육서울병원/추모관||127.0645418|37.5892778|병원장례식장|02-2215-4444|서울특별시 동대문구 망우로 82||직영||||||삼육서울병원 추모관|(휘경동)|||91903
코리아병원장례식장||127.0714858|37.5731698|병원장례식장|02-2244-0330|서울특별시 동대문구 장한로 143||임대||||||코리아병원장례식장|(장안동)|||91903
서울좋은병원장례식장||127.0293815|37.6192633|병원장례식장|02-984-5000|서울특별시 강북구 도봉로 114||임대||||||서울좋은병원장례식장|(미아동)|||91903
프라임병원장례식장||127.0648871|37.5443681|병원장례식장|02-469-4448|서울특별시 성동구 동일로 133||임대||||||프라임병원장례식장|(성수동2가)|||91903
건국대학교병원장례식장||127.0722209|37.5408245|병원장례식장|02-2030-7900|서울특별시 광진구 능동로 120-1||직영||||||건국대학교병원장례식장|(화양동)|||91903
더조은요양병원장례식장||127.0636303|37.6148474|병원장례식장|02-941-4444|서울특별시 노원구 화랑로 323||임대||||||더조은요양병원장례식장|(월계동)|||91903
주식회사영재장례식장||127.0861511|37.5835002|병원장례식장|02-493-4444|서울특별시 중랑구 사가정로49길 53||임대||||||주식회사영재장례식장|(면목동)|||91903
연세대학교/세브란스병원/연세장례식장||126.9389809|37.564089|병원장례식장|02-2227-7500|서울특별시 서대문구 연세로 50-1||직영||||||연세대학교 세브란스병원 연세장례식장|(신촌동,연세의료원)|||91903
동신병원장례식장||126.9365265|37.5811559|병원장례식장|02-395-1024|서울특별시 서대문구 연희로 272||직영||||||동신병원장례식장|(홍은동)|||91903
대한병원장례식장||127.0228853|37.6353498|병원장례식장|02-992-4444|서울특별시 강북구 도봉로 301||임대||||||대한병원장례식장|(수유동)|||91903
혜민병원장례식장||127.0833838|37.53519|병원장례식장|02-444-1552|서울특별시 광진구 자양로 85||직영||||||혜민병원장례식장|(자양동)|||91903
서울성모장례식장||127.0051811|37.500612|병원장례식장|02-2258-5940|서울특별시 서초구 반포대로 222||직영||||||서울성모장례식장|(반포동,가톨릭대학교성의교정)|||91903
서울의료원/강남분원||127.06628|37.51271|병원장례식장|02-3430-0226|서울특별시 강남구 봉은사로114길 43||직영||||||서울의료원 강남분원|(삼성동,서울의료원강남분원)|||91903
한일병원장례식장||127.0285789|37.6458568|병원장례식장|02-901-3440|서울특별시 도봉구 우이천로 308||임대||||||한일병원장례식장|한일병원장례식장 (쌍문동)|||91903
을지병원장례식장||127.0697068|37.6363293|병원장례식장|02-970-8444|서울특별시 노원구 한글비석로 68||직영||||||을지병원장례식장|(하계동,을지병원)|||91903
서울특별시/서울의료원/장례식장||127.0984134|37.613036|병원장례식장|02-2276-7671|서울특별시 중랑구 신내로 156||직영||||||서울특별시 서울의료원 장례식장|(신내동,서울의료원)|||91903
원자력병원장례식장||127.0826468|37.6294332|병원장례식장|02-970-1288|서울특별시 노원구 노원로 75||직영||||||원자력병원장례식장|(공릉동,한국원자력의학원)|||91903
여의도성모장례식장||126.936089|37.5179713|병원장례식장|02-3779-1526|서울특별시 영등포구 63로 10||직영||||||여의도성모장례식장|(여의도동,여의도성모병원)|||91903
연세대학교/강남장례식장||127.0462661|37.492736|병원장례식장|02-2019-4000|서울특별시 강남구 언주로 211||직영||||||연세대학교 강남장례식장|(도곡동,강남세브란스병원)|||91903
인제대학교상계백병원장례식장||127.0630785|37.6486101|병원장례식장|02-938-5320|서울특별시 노원구 동일로 1342||임대||||||인제대학교상계백병원장례식장|(상계동,상계백병원)|||91903
서울아산병원/장례식장||127.1084185|37.5254548|병원장례식장|02-3010-2000|서울특별시 송파구 올림픽로43길 88||직영||||||서울아산병원 장례식장|(풍납동,서울아산병원)|||91903
청구성심병원장례식장||126.9194449|37.6207324|병원장례식장|02-352-4445|서울특별시 은평구 통일로 873||임대||||||청구성심병원장례식장|(갈현동,청구성심병원)|||91903
서울현대요양병원장례식장||127.1253107|37.5422911|병원장례식장|02-486-4444|서울특별시 강동구 올림픽로 684||임대||||||서울현대요양병원장례식장|(천호동,친구병원)|||91903
동작경희장례식장||126.9358514|37.5024424|병원장례식장|02-814-4444|서울특별시 동작구 상도로 146||임대||||||동작경희장례식장|(상도동)|||91903
성애장례식장||126.92274|37.51206|병원장례식장|02-844-4444|서울특별시 영등포구 여의대방로53길 22||임대||||||성애장례식장|(신길동,성애병원)|||91903
한강성심병원장례식장||126.9096815|37.523134|병원장례식장|02-2633-4455|서울특별시 영등포구 버드나루로7길 12||임대||||||한강성심병원장례식장|(영등포동7가)|||91903
원진녹색병원장례식장||127.1339736|37.6060922|병원장례식장|031-552-5119|경기도 구리시 동구릉로 65||임대||||||원진녹색병원장례식장|(인창동)|||91903
동주병원장례식장||127.1331985|37.5342371|병원장례식장|02-471-4444|서울특별시 강동구 천호대로170길 19||임대||||||동주병원장례식장|(성내동)|||91903
삼성서울병원장례식장||127.0876424|37.4889432|병원장례식장|02-3410-3151|서울특별시 강남구 일원로 81||직영||||||삼성서울병원장례식장|(일원동,삼성의료원)|||91903
강동성심병원장례식장||127.1353505|37.5361|병원장례식장|02-470-1692|서울특별시 강동구 성안로 150||직영||||||강동성심병원장례식장|(길동,강동성심병원)|||91903
영등포장례식장||126.8959163|37.5268013|병원장례식장|02-2679-4444|서울특별시 영등포구 당산로31길 6||임대||||||영등포장례식장|(당산동3가,영등포병원)|||91903
서울특별시보라매병원장례식장||126.92406|37.49385|병원장례식장|02-836-6900|서울특별시 동작구 보라매로5길 20||직영||||||서울특별시보라매병원장례식장|(신대방동,서울특별시보라매병원)|||91903
이대목동병원장례식장||126.8864324|37.5363794|병원장례식장|02-2650-5121|서울특별시 양천구 안양천로 1071||직영||||||이대목동병원장례식장|(목동,이화여대목동병원)|||91903
한국보훈복지의료공단중앙보훈병원||127.147848|37.527957|병원장례식장|02-2225-1004|서울특별시 강동구 진황도로61길 53||직영||||||한국보훈복지의료공단중앙보훈병원|(둔촌동,중앙보훈병원)|||91903
강동경희대학교병원장례식장||127.1571983|37.5528301|병원장례식장|02-440-8800|서울특별시 강동구 동남로 892||직영||||||강동경희대학교병원장례식장|(상일동,강동경희대학교병원)|||91903
경찰병원장례식장||127.1233624|37.4964365|병원장례식장|02-431-4400|서울특별시 송파구 송이로 123||직영||||||경찰병원장례식장|(가락동,국립경찰병원)|||91903
대림성모병원장례식장||126.9071846|37.4906357|병원장례식장|02-842-4444|서울특별시 영등포구 시흥대로 657||임대||||||대림성모병원장례식장|(대림동)|||91903
홍익병원장례식장||126.8641205|37.5319114|병원장례식장|02-2600-1444|서울특별시 양천구 등촌로 22||직영||||||홍익병원장례식장|(목동)|||91903
고려대구로병원장례식장||126.885373|37.492751|병원장례식장|02-857-0444|서울특별시 구로구 구로동로 148||직영||||||고려대구로병원장례식장|(구로동,고려대부속구로병원)|||91903
양천효병원장례식장||126.8511281|37.5242639|병원장례식장|02-2692-4443|서울특별시 양천구 오목로 121||임대||||||양천효병원장례식장|(신정동)|||91903
구로성심병원장례식장||126.866356|37.4996208|병원장례식장|02-2067-1544|서울특별시 구로구 경인로 427||임대||||||구로성심병원장례식장|(고척동)|||91903
광명성애병원장례식장||126.8718849|37.4732445|병원장례식장|02-2684-4444|경기도 광명시 디지털로 36||임대||||||광명성애병원장례식장|(철산동)|||91903
예지원장례식장||126.8523502|37.4744478|병원장례식장|02-2060-4444|경기도 광명시 광명로 844지하1층 (광명동) ||임대||||||예지원장례식장||||91903
주식회사/헤븐앤어스||126.8307789|37.6441641|병원장례식장|031-810-5444|경기도 고양시 덕양구 화수로14번길 55||임대||||||주식회사 헤븐앤어스|명지병원지하 (화정동,명지병원)|||91903
강서개화장례식장||126.8076185|37.5729862|병원장례식장|02-2661-4444|서울특별시 강서구 양천로 35||임대||||||강서개화장례식장|(방화동)|||91903
원당연세장례식장||126.8353271|37.655059|병원장례식장|031-966-4444|경기도 고양시 덕양구 고양대로 1359||임대||||||원당연세장례식장|(성사동)|||91903
경기도의료원/의정부병원장례식장||127.0425242|37.7410385|병원장례식장|031-828-5444|경기도 의정부시 흥선로 142||직영||||||경기도의료원 의정부병원장례식장|(의정부동,경기도도립의료원의정부병원)|||91903
중앙병원장례식장||127.0454424|37.7461664|병원장례식장|031-847-4444|경기도 의정부시 평화로 609||임대||||||중앙병원장례식장|(의정부동)|||91903
백병원장례식장||127.0620467|37.7452366|병원장례식장|031-844-4450|경기도 의정부시 금신로 322||임대||||||백병원장례식장|(신곡동)|||91903
분당차병원장례식장||127.1254597|37.4102789|병원장례식장|031-780-6170|경기도 성남시 분당구 야탑로 59||임대||||||분당차병원장례식장|(야탑동,분당차병원)|||91903
한림대성심병원장례식장||126.9617537|37.3914308|병원장례식장|031-382-5004|경기도 안양시 동안구 관평로170번길 22||임대||||||한림대성심병원장례식장|(평촌동,한림대학교성심병원)|||91903
국민건강보험공단일산병원장례식장||126.7929091|37.6454297|병원장례식장|031-900-0444|경기도 고양시 일산동구 일산로 100||직영||||||국민건강보험공단일산병원장례식장|(백석동,국민건강보험공단일산병원)|||91903
샘안양병원장례식장||126.9245371|37.3934995|병원장례식장|031-467-9114|경기도 안양시 만안구 삼덕로 9||직영||||||샘안양병원장례식장|613-8 (안양동,안양샘병원)|||91903
현대병원장례식장||127.179653|37.7155114|병원장례식장|031-575-4004|경기도 남양주시 진접읍 봉현로 21||임대||||||현대병원장례식장|(장현리,남양주현대병원)|||91903
남양주우리병원장례식장||127.2012883|37.6978727|병원장례식장|031-574-4442|경기도 남양주시 오남읍 진건오남로797번길 9||임대||||||남양주우리병원장례식장|(양지리,남양주우리병원)|||91903
동국대학교일산병원장례식장||126.8067038|37.6763007|병원장례식장|031-961-9400|경기도 고양시 일산동구 동국로 27||직영||||||동국대학교일산병원장례식장|(식사동,동국대학교일산병원)|||91903
부천성모병원장례식장||126.7925731|37.4869907|병원장례식장|032-340-7300|경기도 부천시 원미구 소사로 327||직영||||||부천성모병원장례식장|(소사동,가톨릭대학교부천성모병원)|||91903
분당제생병원장례식장||127.1217664|37.3881717|병원장례식장|031-708-4444|경기도 성남시 분당구 서현로180번길 20||임대||||||분당제생병원장례식장|(서현동,분당제생병원)|||91903
안양메트로병원장례식장||126.9353587|37.3783848|병원장례식장|031-449-9000|경기도 안양시 만안구 명학로33번길 8||임대||||||안양메트로병원장례식장|(안양동,메트로병원)|||91903
휴앤유병원장례식장||126.7725187|37.4828969|병원장례식장|032-662-1024|경기도 부천시 소사구 심곡로10번길 63||임대||||||휴앤유병원장례식장|(송내동)|||91903
백련장장례식장||127.2618371|37.6529532|병원장례식장|031-594-4444|경기도 남양주시 마치로 90||직영||||||백련장장례식장|(호평동)|||91903
순천향부천장례식장||126.7627444|37.4978251|병원장례식장|032-327-3060|경기도 부천시 원미구 조마루로 170||직영||||||순천향부천장례식장|(중동,순천향대학교부천병원)|||91903
일산복음병원장례식장||126.7799777|37.6817198|병원장례식장|031-977-6000|경기도 고양시 일산동구 고양대로 760||직영||||||일산복음병원장례식장|나동지하1층 (중산동,일산복음병원)|||91903
신천연합병원장례식장||126.789516|37.4445521|병원장례식장|031-310-6500|경기도 시흥시 복지로 57||직영||||||신천연합병원장례식장|(대야동)|||91903
지샘병원장례식장||126.9472959|37.3586521|병원장례식장|031-389-3000|경기도 군포시 군포로 591||직영||||||지샘병원장례식장|(당동)|||91903
학교법인영산학원/산본장례식장||126.9335943|37.3593764|병원장례식장|031-395-4438|경기도 군포시 산본로 321||임대||||||학교법인영산학원 산본장례식장|(산본동,원광대산본병원)|||91903
세종병원장례식장||126.736677|37.531882|병원장례식장|032-240-8444|인천광역시 계양구 계양문화로 20||임대||||||세종병원장례식장|(작전동,Mediplex세종병원)|||91903
한림병원장례식장||126.7343382|37.5322598|병원장례식장|032-543-2444|인천광역시 계양구 장제로 722||임대||||||한림병원장례식장|신관지하2층한림병원장례식장 (작전동,한림병원)|||91903
근로복지공단/인천병원장례식장||126.7539528|37.4761818|병원장례식장|032-524-4444|인천광역시 부평구 무네미로 446||임대||||||근로복지공단 인천병원장례식장|(구산동)|||91903
일산백장례서비스||126.750367|37.6742288|병원장례식장|031-910-7444|경기도 고양시 일산서구 주화로 170||임대||||||일산백장례서비스|지하2층 (대화동,인제대학교일산백병원)|||91903
분당서울대학교병원/장례식장||127.1244617|37.3504033|병원장례식장|031-787-1500|경기도 성남시 분당구 구미로173번길 82||직영||||||분당서울대학교병원 장례식장|(구미동,분당서울대학교병원)|||91903
세림병원장례식장||126.7200557|37.5067625|병원장례식장|032-523-8844|인천광역시 부평구 부평대로 175||임대||||||세림병원장례식장|(청천동,부평세림병원)|||91903
원병원장례식장||127.3043556|37.6518762|병원장례식장|031-511-9944|경기도 남양주시 화도읍 경춘로 1943-16||임대||||||원병원장례식장||||91903
양수삼성장례식장||127.3194068|37.5441793|병원장례식장|031-771-4447|경기도 양평군 양서면 양수로 149-2||임대||||||양수삼성장례식장|(양수리,양수삼성의원)|||91903
가톨릭대학교인천성모병원장례식장||126.72497|37.4846|병원장례식장|032-517-0710|인천광역시 부평구 동수로 56||직영||||||가톨릭대학교인천성모병원장례식장|(부평동,가톨릭대학교인천성모병원)|||91903
검단탑병원장례식장||126.7036801|37.5863452|병원장례식장|032-565-4444|인천광역시 서구 청마로19번길 5||임대||||||검단탑병원장례식장|(당하동)|||91903
우리병원장례예식장||126.7106672|37.6322319|병원장례식장|031-999-1444|경기도 김포시 감암로 11||임대||||||우리병원장례예식장|(걸포동)|||91903
효병원장례식장||126.7063649|37.6269067|병원장례식장|031-982-4448|경기도 김포시 봉화로130번길 50||직영||||||효병원장례식장|(북변동)|||91903
경기도의료원/파주병원장례식장||126.7797744|37.7549004|병원장례식장|031-940-9370|경기도 파주시 중앙로 207||직영||||||경기도의료원 파주병원장례식장|(금촌동)|||91903
국제성모병원장례식장||126.6836|37.54237|병원장례식장|032-290-3501|인천광역시 서구 심곡로100번길 25||직영||||||국제성모병원장례식장|(심곡동,인천국제성모병원)|||91903
양주소망장례식장||127.0541183|37.844293|병원장례식장|031-866-4444|경기도 양주시 평화로 1741||임대||||||양주소망장례식장|(회정동)|||91903
나은병원장례식장||126.6797793|37.4890123|병원장례식장|032-584-4444|인천광역시 서구 원적로 23||임대||||||나은병원장례식장|(가좌동,나은병원)|||91903
안산온누리병원장례식장||126.8174982|37.3418275|병원장례식장|031-487-4444|경기도 안산시 단원구 선부로 201||직영||||||안산온누리병원장례식장|(선부동)|||91903
국화향기||126.8743722|37.3166128|병원장례식장|031-501-4646|경기도 안산시 상록구 구룡로 87||임대||||||국화향기|(일동)|||91903
경기도의료원/수원병원장례식장||126.996646|37.2920141|병원장례식장|031-888-0114|경기도 수원시 장안구 수성로245번길 69||직영||||||경기도의료원 수원병원장례식장|(정자동)|||91903
인천사랑병원장례식장||126.6807682|37.4620945|병원장례식장|032-441-0404|인천광역시 남구 미추홀대로 726||직영||||||인천사랑병원장례식장|(주안동)|||91903
뉴고려병원장례식장||126.6602394|37.6409053|병원장례식장|031-998-4415|경기도 김포시 김포한강3로 283||임대||||||뉴고려병원장례식장|(장기동)|||91903
한도병원장례식장||126.8076137|37.334018|병원장례식장|031-485-4422|경기도 안산시 단원구 선부광장로 103||임대||||||한도병원장례식장|(선부동)|||91903
인천광역시의료원/장례식장||126.66862|37.47863|병원장례식장|032-580-6662|인천광역시 동구 방축로 217||직영||||||인천광역시의료원 장례식장|(송림동,인천광역시의료원)|||91903
아주대학병원장례식장||127.0465105|37.2833633|병원장례식장|031-219-6654|경기도 수원시 영통구 광교중앙로49번길 46||직영||||||아주대학병원장례식장|(원천동)|||91903
동수원장례식장||127.0331198|37.2785429|병원장례식장|031-213-1640|경기도 수원시 팔달구 권광로367번길 77||임대||||||동수원장례식장|지하1층 (우만동)|||91903
고려대안산병원장례식장||126.8252651|37.3191333|병원장례식장|031-411-4441|경기도 안산시 단원구 적금로 123||직영||||||고려대안산병원장례식장|(고잔동,고려대학병원)|||91903
성빈센트장례식장||127.0276295|37.2777401|병원장례식장|031-249-7444|경기도 수원시 팔달구 중부대로 93||직영||||||성빈센트장례식장|(지동,성빈센트병원)|||91903
한사랑병원장례문화센타||126.8484422|37.3070689|병원장례식장|031-439-4444|경기도 안산시 상록구 광덕1로 345||임대||||||한사랑병원장례문화센타|(이동)|||91903
세화병원장례식장||126.8615462|37.3020073|병원장례식장|031-501-4444|경기도 안산시 상록구 용신로 355||임대||||||세화병원장례식장|(본오동)|||91903
강남장례식장||127.1115497|37.2736753|병원장례식장|031-284-4412|경기도 용인시 기흥구 중부대로 411||직영||||||강남장례식장|(신갈동)|||91903
중앙병원장례식장||127.0228687|37.2598594|병원장례식장|031-231-8888|경기도 수원시 권선구 권선로 654||임대||||||중앙병원장례식장|(권선동)|||91903
수원요양병원장례식장||127.064841|37.260832|병원장례식장|031-640-9797|경기도 수원시 영통구 매영로 229||임대||||||수원요양병원장례식장|(원천동)|||91903
시흥우리장례식장||126.7479436|37.3357713|병원장례식장|031-433-5444|경기도 시흥시 평안상가5길 19||직영||||||시흥우리장례식장|(정왕동)|||91903
시화병원장례식장||126.7245906|37.3528958|병원장례식장|031-431-4444|경기도 시흥시 옥구천서로 337||임대||||||시화병원장례식장|(정왕동)|||91903
센트럴병원장례식장||126.7281671|37.3367245|병원장례식장|031-434-4466|경기도 시흥시 공단1대로 237||임대||||||센트럴병원장례식장|(정왕동,센트럴병원)|||91903
예드림장례식장||127.0510365|37.9067972|병원장례식장|031-868-4440|경기도 동두천시 강변로 422||직영||||||예드림장례식장|(생연동)|||91903
용인병원장례식장||127.1887559|37.2390654|병원장례식장|031-337-3100|경기도 용인시 처인구 금학로 225||임대||||||용인병원장례식장|(역북동,용인세브란스병원)|||91903
경기도의료원/포천병원장례식장||127.1981229|37.9031637|병원장례식장|031-539-9446|경기도 포천시 포천로 1648||직영||||||경기도의료원 포천병원장례식장|(신읍동)|||91903
원광종합병원장례식장||127.008324|37.209942|병원장례식장|031-226-4444||경기도 화성시 송산동 200-4|임대||||||원광종합병원장례식장||||91903
사랑의병원장례식장||127.2154357|37.2335626|병원장례식장|031-339-4300|경기도 용인시 처인구 중부대로 1539||임대||||||사랑의병원장례식장|(마평동)|||91903
오산한국병원장례식장||127.075215|37.141103|병원장례식장|031-375-7600|경기도 오산시 밀머리로1번길 16지하 (원동 , 오산한국병원) ||임대||||||오산한국병원장례식장||||91903
경기도의료원/이천병원장례식장||127.4328154|37.2825934|병원장례식장|031-630-4478|경기도 이천시 경충대로 2742||직영||||||경기도의료원 이천병원장례식장|(관고동)|||91903
강화병원장례식장||126.4954153|37.7433105|병원장례식장|032-933-8124|인천광역시 강화군 강화읍 강화대로312번길 11||임대||||||강화병원장례식장|(갑곳리,강화병원)|||91903
