##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@K게스트하우스
K게스트하우스|남대문|309840|551632|K게스트하우스||서울특별시 중구 남대문로1길 31|서울특별시 중구 북창동 20-1|||||||K게스트하우스 남대문|3~4층|||70211
K게스트하우스|명동2호점|310694|551556|K게스트하우스||서울특별시 중구 명동8가길 33|서울특별시 중구 충무로2가 12-17|||||||K게스트하우스 명동2호점||||70211
K게스트하우스|인사동2호점|310454|552401|K게스트하우스||서울특별시 종로구 종로8길 15|서울특별시 종로구 관철동 43-15|||||||K게스트하우스 인사동2호점|4 F|||70211
K게스트하우스|명동4호점|310501|551590|K게스트하우스||서울특별시 중구 명동8길 36|서울특별시 중구 명동2가 52-7|||||||K게스트하우스 명동4호점|4~6층;4~6층|||70211
K게스트하우스|명동1호점|310364|551451|K게스트하우스||서울특별시 중구 퇴계로 103|서울특별시 중구 충무로1가 25-50|||||||K게스트하우스 명동1호점||||70211
K게스트하우스|동대문1호점|312032|551918|K게스트하우스||서울특별시 중구 동호로 345|서울특별시 중구 오장동 139-3|||||||K게스트하우스 동대문1호점||||70211
K게스트하우스|동대문프리미엄2|312434|551716|K게스트하우스|02-771-1515|서울특별시 중구 퇴계로60길 11|서울특별시 중구 장충동1가 23|||||||K게스트하우스 동대문프리미엄2|1층|||70211
K게스트하우스|동대문5호점|312463|551927|K게스트하우스||서울특별시 중구 장충단로 229-9|서울특별시 중구 광희동1가 182-20|||||||K게스트하우스 동대문5호점||||70211
K게스트하우스|동대문프리미엄점|312454|551741|K게스트하우스||서울특별시 중구 장충단로 213|서울특별시 중구 광희동2가 360|||||||K게스트하우스 동대문프리미엄점||||70211
K게스트하우스|신촌2호점|306090|550796|K게스트하우스|02-334-5652|서울특별시 마포구 신촌로18길 21|서울특별시 마포구 노고산동 57-44|||||||K게스트하우스 신촌2호점||||70211
K게스트하우스|동대문4호점|314561|551713|K게스트하우스|02-2297-0078|서울특별시 성동구 왕십리로 353|서울특별시 성동구 하왕십리동 956-2|||||||K게스트하우스 동대문4호점||||70211
K게스트하우스|인천공항1호점|267023|544129|K게스트하우스|032-746-0632|인천광역시 중구 흰바위로92번길 5-18|인천광역시 중구 운서동 3112-9|||||||K게스트하우스 인천공항1호점||||70211
K게스트하우스|서면1호점|496646|284277|K게스트하우스||부산광역시 부산진구 신천대로62번길 44|부산광역시 부산진구 부전동 232-16|||||||K게스트하우스 서면1호점||||70211
K게스트하우스|프리미엄남포|494386|278197|K게스트하우스||부산광역시 중구 남포길 40-2|부산광역시 중구 남포동2가 36-22|||||||K게스트하우스 프리미엄남포||||70211
K게스트하우스|광안리점|501672|283659|K게스트하우스||부산광역시 수영구 남천동로108번길 46|부산광역시 수영구 남천동 5-4|||||||K게스트하우스 광안리점||||70211
K게스트하우스|부산역1호점|495213|280427|K게스트하우스||부산광역시 동구 중앙대로236번길 7-5|부산광역시 동구 초량동 1194-9|||||||K게스트하우스 부산역1호점||||70211
K게스트하우스|해운대1호점|505728|285470|K게스트하우스||부산광역시 해운대구 구남로8번길 17|부산광역시 해운대구 우동 540-8|||||||K게스트하우스 해운대1호점|지엠타워 3,4층|||70211
K게스트하우스||479269|572532|K게스트하우스|033-646-9966|강원도 강릉시 중앙시장3길 23|강원도 강릉시 성남동 110-10|||||||K게스트하우스|K게스트하우스;K게스트하우스|||70211
