##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@LF아울렛
LF|현대아울렛대구점TNGT|128.6265078|35.8708269|아울렛|053-430-2306|대구 동구 동대구로 454|대구 동구 신천동 294-5|||||||LF 현대아울렛대구점TNGT|대백아울렛 5층|||90210
LF|현대아울렛대구/블루라운지|||아울렛|053-430-2301|대구 동구 동대구로 454|대구 동구 신천동 294-5|||||||LF 현대아울렛대구/블루라운지|5층|||90210
LF|현대아울렛/대구TNGT|||아울렛||대구 동구 동대구로 454|대구 동구 신천동 294-5|||||||LF 현대아울렛/대구TNGT|5층|||90210
LF|현대시티아울렛동대문ML|||아울렛|02-2283-2640|서울 중구 장충단로13길 20|서울 중구 을지로6가 17-2|||||||LF 현대시티아울렛동대문ML|현대시티타워 6F|||90210
LF|현대송파마에스트로|127.1250988|37.4775519|아울렛|02-2673-2445|서울특별시 송파구 충민로 66|서울특별시 송파구 문정동 634|||||||LF 현대송파마에스트로|(문정동, 가든파이브라이프);가든파이브라이프|||90210
LF|현대송도아울렛이자벨마랑|126.6585646|37.3823849|아울렛|032-727-2148|인천광역시 연수구 송도국제대로 123|인천광역시 연수구 송도동 168-1|||||||LF 현대송도아울렛이자벨마랑|(송도동, 현대프리미엄 아울렛 송도점) 1층;현대프리미엄 아울렛 송도점|||90210
LF|현대송도아울렛/라움|126.6585646|37.3823849|아울렛|032-727-2248|인천광역시 연수구 송도국제대로 123|인천광역시 연수구 송도동 168-1|||||||LF 현대송도아울렛/라움|(송도동, 현대프리미엄 아울렛 송도점);현대프리미엄 아울렛 송도점|||90210
LF|현대김포아웃렛/라움에디션|126.7856904|37.5994685|아울렛|031-8048-2126|경기도 김포시 아라육로152번길 100|경기도 김포시 고촌읍 전호리 654|||||||LF 현대김포아웃렛/라움에디션|(고촌읍, 현대프리미엄아울렛);현대프리미엄아울렛|||90210
LF|현대김포아울렛/앳코너|||아울렛||경기 김포시 고촌읍 아라육로152번길 100|경기 김포시 고촌읍 전호리 654|||||||LF 현대김포아울렛/앳코너|F동 1층 앳코너|||90210
LF|현대김포아울렛/레오나드|126.7856904|37.5994685|아울렛|031-8048-2208|경기도 김포시 아라육로152번길 100|경기도 김포시 고촌읍 전호리 654|||||||LF 현대김포아울렛/레오나드|(고촌읍, 현대프리미엄아울렛);현대프리미엄아울렛|||90210
LF|현대김포아울렛/라움|126.7856904|37.5994685|아울렛|031-8048-2126|경기도 김포시 아라육로152번길 100|경기도 김포시 고촌읍 전호리 654|||||||LF 현대김포아울렛/라움|(고촌읍, 현대프리미엄아울렛);현대프리미엄아울렛|||90210
LF|현대가산TNGT|126.889199|37.4776197|아울렛|02-2136-9870|서울 금천구 디지털로10길 9|서울 금천구 가산동 60-8|||||||LF 현대가산TNGT|현대아울렛 가산점 4층|||90210
LF|행복한세상TNGT|126.8760174|37.5291398|아울렛|02-6678-3348|서울 양천구 목동동로 309|서울 양천구 목동 917-6|||||||LF 행복한세상TNGT|행복한세상백화점 3층|||90210
LF|파주프리미엄아울렛/라움|126.6962603|37.7694427|아울렛|031-8071-7174|경기도 파주시 필승로 200|경기도 파주시 탄현면 법흥리 1790-8|||||||LF 파주프리미엄아울렛/라움|(탄현면, 파주프리미엄아울렛);파주프리미엄아울렛|||90210
LF|코엑스TNGT|127.0592041|37.5117731|아울렛|02-551-1577|서울 강남구 영동대로 513|서울 강남구 삼성동 159|||||||LF 코엑스TNGT|코엑스몰 F102|||90210
LF|춘천M/TNGT|127.7287065|37.8789373|아울렛|033-255-1543|강원 춘천시 금강로 68-3|강원 춘천시 조양동 34|||||||LF 춘천M/TNGT|M백화점 1층|||90210
LF|청주IC아울렛|127.3764009|36.6222216|아울렛|043-234-7283|충청북도 청주시 흥덕구 가로수로 692-6|충청북도 청주시 흥덕구 석소동 184-1|||||||LF 청주IC아울렛|(석소동)|||90210
LF|청원아울렛|127.4537235|36.5751256|아울렛|043-285-4500|충북 청주시 서원구 남이면 수대1길 7|충북 청주시 서원구 남이면 수대리 23-5|||||||LF 청원아울렛||||90210
LF|천안모다아울렛TNGT|127.1014325|36.7984465|아울렛|041-904-6946|충남 천안시 서북구 공원로 196|충남 천안시 서북구 불당동 1289|||||||LF 천안모다아울렛TNGT|펜타포트 2층|||90210
LF|진주정촌/질스포츠|128.0986663|35.1309018|아울렛|055-753-5756|경상남도 진주시 삼일로105번길 19|경상남도 진주시 정촌면 예하리 1277-13|||||||LF 진주정촌/질스포츠|(정촌면)|||90210
