##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@아식스
아식스|춘천점|127.727752|37.881055|아식스|033-242-4426|강원도 춘천시 서부대성로48번길 26-1||||||||아식스 춘천점|(요선동)|||91002
아식스|원주점|127.950994|37.348226|아식스|033-748-7475|강원도 원주시 원일로 76||||||||아식스 원주점||||91002
아식스|곤지암모다점|127.312575|37.363266|아식스|031-762-1773|경기도 광주시 초월읍 경충대로 907||||||||아식스 곤지암모다점||||91002
아식스|경기광주점|127.25887|37.409674|아식스|031-797-9122|경기도 광주시 경안로 17||||||||아식스 경기광주점|(경안동)|||91002
아식스|이천롯데아울렛점|127.403856|37.227006|아식스|031-887-4737|경기도 이천시 호법면 프리미엄아울렛로 177-119||||||||아식스 이천롯데아울렛점||||91002
아식스|용인상설점|127.242336|37.317954|아식스|031 322-5452|경기도 용인시 처인구 모현면 백옥대로 2162||||||||아식스 용인상설점||||91002
아식스|양지점|127.29733|37.233561|아식스|031-332-9943|경기도 용인시 처인구 양지면 죽양대로 2301||||||||아식스 양지점||||91002
아식스|신세계하남점|127.2218784|37.5464375|아식스|031-8072-1929|경기도 하남시 미사대로 750||||||||아식스 신세계하남점||||91002
아식스|하남이마트점|127.205411|37.552823|아식스|031-796-2835|경기도 하남시 덕풍서로 70||||||||아식스 하남이마트점|(덕풍동)|||91002
아식스|성남세이브존점|127.153472|37.443888|아식스|031 730-1807|경기도 성남시 수정구 산성대로 337||||||||아식스 성남세이브존점|(신흥동)|||91002
아식스|가평상설점|127.377668|37.684035|아식스|031-585-4765|경기도 가평군 청평면 경춘로 89-1||||||||아식스 가평상설점||||91002
아식스|남양주오렌지점|127.281569|37.656288|아식스|031-591-4048|경기도 남양주시 화도읍 경춘로 1725||||||||아식스 남양주오렌지점|(코리아마트 1F)|||91002
아식스|장호원점|127.631229|37.117062|아식스|031-641-9090|경기도 이천시 장호원읍 장터로61번길 25||||||||아식스 장호원점||||91002
아식스|분당이마트점|127.119744|37.358762|아식스|031 711-7435|경기도 성남시 분당구 불정로 134||||||||아식스 분당이마트점|(정자동)|||91002
아식스|롯데분당점|127.114314|37.378438|아식스|031-738-2535|||||||||아식스 롯데분당점||||91002
아식스|2001분당점|127.107453|37.349044|아식스|031-786-2812|경기도 성남시 분당구 미금일로154번길 20||||||||아식스 2001분당점||||91002
아식스|천호이마트점|127.125367|37.538648|아식스|02-475-8325|서울특별시 강동구 천호대로 1017||||||||아식스 천호이마트점||||91002
아식스|죽전이마트점|127.11|37.325298|아식스|031-898-3381|||||||||아식스 죽전이마트점||||91002
아식스|현대판교점|127.091844|37.380158|아식스|031-5170-1553|경기도 성남시 분당구 판교역로146번길 20||||||||아식스 현대판교점||||91002
아식스|롯데잠실직영점|127.098027|37.511235|아식스|02-2143-7587|||||||||아식스 롯데잠실직영점||||91002
아식스|롯데구리점|127.143779|37.602681|아식스|031-550-7511|경기도 구리시 경춘로 261||||||||아식스 롯데구리점|(인창동)|||91002
아식스|롯데건대점|127.071083|37.538777|아식스|02-2218-3795|서울특별시 광진구 능동로 92||||||||아식스 롯데건대점||||91002
아식스|롯데강남점|127.053273|37.496926|아식스|02-531-2729|||||||||아식스 롯데강남점||||91002
아식스|흥덕이마트점|127.07334|37.275715|아식스|031-215-8840|경기도 용인시 기흥구 흥덕중앙로 60||||||||아식스 흥덕이마트점|(영덕동)|||91002
아식스|영통점|127.076195|37.266751|아식스|031-204-1073|경기도 용인시 기흥구 중부대로 64||||||||아식스 영통점||||91002
아식스|영통롯데마트점|127.071654|37.252704|아식스|031-205-9123|경기도 수원시 영통구 봉영로 1579||||||||아식스 영통롯데마트점|(영통동)|||91002
아식스|광교롯데아울렛점|127.047337|37.30424|아식스|031-8064-2249|경기도 수원시 영통구 도청로 10||||||||아식스 광교롯데아울렛점|(이의동)롯데아울렛광교점 2층|||91002
아식스|성수이마트점|127.053167|37.539939|아식스|02-497-7789|서울특별시 성동구 뚝섬로 379||||||||아식스 성수이마트점||||91002
아식스|성일점|127.07703|37.593849|아식스|02-434-8778|서울특별시 중랑구 망우로 218||||||||아식스 성일점|(상봉동)|||91002
아식스|진접홈플러스점|127.188792|37.721502|아식스|070-4133-1703|경기도 남양주시 진접읍 금강로 1447||||||||아식스 진접홈플러스점||||91002
아식스|강남직영점|127.022282|37.508073|아식스|02-3443-8828|서울특별시 서초구 강남대로 517||||||||아식스 강남직영점|(반포동)|||91002
아식스|롯데청량리점|127.047901|37.579293|아식스|02-3707-1628|서울특별시 동대문구 왕산로 214||||||||아식스 롯데청량리점||||91002
아식스|별내이마트점|127.113315|37.666279|아식스|031-527-4238|경기도 남양주시 순화궁로 167||||||||아식스 별내이마트점|(별내동)|||91002
아식스|동수원뉴코아점|127.034536|37.266301|아식스|031 221-1055|경기도 수원시 팔달구 인계로 154||||||||아식스 동수원뉴코아점|(인계동)|||91002
아식스|수원갤러리아점|127.032291|37.260635|아식스|031-548-8732|||||||||아식스 수원갤러리아점||||91002
아식스|강남뉴코아점|127.007308|37.509517|아식스|02-530-5939|서울특별시 서초구 잠원로 51||||||||아식스 강남뉴코아점|(잠원동)|||91002
아식스|신세계강남직영점|127.003069|37.50413|아식스|02-3479-1295|||||||||아식스 신세계강남직영점||||91002
아식스|북수원홈플러스점|127.008799|37.302731|아식스|031-244-4521|경기도 수원시 장안구 경수대로 930||||||||아식스 북수원홈플러스점||||91002
아식스|북수원점|127.00749|37.303511|아식스|031-243-8711|경기도 수원시 장안구 경수대로 950||||||||아식스 북수원점||||91002
아식스|노원세이브존점|127.068635|37.637896|아식스|02-979-3145|서울특별시 노원구 한글비석로 57||||||||아식스 노원세이브존점|(하계동)|||91002
아식스|수원남문점|127.017121|37.275785|아식스|031-258-0310|경기도 수원시 팔달구 정조로758번길 5||||||||아식스 수원남문점|(팔달로3가)|||91002
아식스|수원이마트점|127.020843|37.250315|아식스|031 207-1248|경기도 수원시 권선구 경수대로 270||||||||아식스 수원이마트점|(권선동)|||91002
아식스|현대미아점|127.028763|37.608322|아식스|02-2117-2612|서울특별시 성북구 동소문로 315||||||||아식스 현대미아점|(길음동)|||91002
아식스|롯데노원점|127.061152|37.65521|아식스|02-950-2633|서울특별시 노원구 동일로 1414||||||||아식스 롯데노원점|(상계동)|||91002
아식스|롯데미아점|127.03051|37.61455|아식스|02-944-2345|서울특별시 강북구 도봉로 62||||||||아식스 롯데미아점|(미아동)|||91002
아식스|이태원직영점|126.989329|37.533947|아식스|02-796-7260|서울특별시 용산구 이태원로 138-1||||||||아식스 이태원직영점||||91002
아식스|병점홈플러스점|127.03675|37.203717|아식스|031-224-2545|경기도 화성시 경기대로 985||||||||아식스 병점홈플러스점|(병점동)|||91002
