##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@롯데손해보험
롯데손해보험|강원지역단|||롯데손해보험|||강원도 원주시 무실동 1718-1|||||||롯데손해보험 강원지역단|4층 롯데...|||40709
롯데손해보험|속초지점|||롯데손해보험|||강원 속초시 교동 737-7|||||||롯데손해보험 속초지점|아남프라자 11층 속초...|||40709
롯데손해보험|영동Agency지점|||롯데손해보험||강원도 강릉시 경강로 2352||||||||롯데손해보험 영동Agency지점|(포남동) 4층 영동...|||40709
롯데손해보험|동해지점|||롯데손해보험|||강원도 동해시 천곡동 861|||||||롯데손해보험 동해지점|성지빌딩 4층 동해지점...|||40709
롯데손해보험|춘천지점|||롯데손해보험||강원도 춘천시 후석로326번길 5||||||||롯데손해보험 춘천지점|(후평동) 스카이...|||40709
롯데손해보험|강릉출장소|||롯데손해보험||강원도 강릉시 경강로 2356번길 2||||||||롯데손해보험 강릉출장소|(포남동) 4 4...|||40709
롯데손해보험|강릉인주재센터|||롯데손해보험|||강원도 강릉시 포남동 1272|||||||롯데손해보험 강릉인주재센터|4층 롯데손해보험 강...|||40709
롯데손해보험|원주인주재센터|||롯데손해보험|||강원도 원주시 일산동 193-6|||||||롯데손해보험 원주인주재센터|지암빌딩 2층 원주...|||40709
롯데손해보험|춘천인주재센터|||롯데손해보험|||강원도 춘천시 후평3동 스카이빌딩 7층 롯데손해보험... |||||||롯데손해보험 춘천인주재센터||||40709
롯데손해보험|경인지역단(수원)|||롯데손해보험||경기 수원시 팔달구 경수대로 464||||||||롯데손해보험 경인지역단(수원)|(인계동,벤처창...|||40709
롯데손해보험|수원지점|||롯데손해보험||경기 수원시 팔달구 경수대로 464||||||||롯데손해보험 수원지점|(인계동,벤처창...|||40709
롯데손해보험|수원Agency지점|||롯데손해보험||경기 수원시 팔달구 경수대로 464||||||||롯데손해보험 수원Agency지점|(인계동,벤처창...|||40709
롯데손해보험|일산지점|||롯데손해보험||경기도 고양시 일산동구 중앙로 1047||||||||롯데손해보험 일산지점|영림브레아 3...|||40709
롯데손해보험|광명지점|||롯데손해보험|||경기도 광명시 광명동 158-520|||||||롯데손해보험 광명지점|대명프라자 8층...|||40709
롯데손해보험|동두천지점|||롯데손해보험|||경기도 동두천시 지행동 721-3|||||||롯데손해보험 동두천지점|중앙프라자 4층 ...|||40709
롯데손해보험|안산지점|||롯데손해보험|||경기도 안산시 단원구 고잔동 541-1|||||||롯데손해보험 안산지점|동서코아3층...|||40709
롯데손해보험|경기지점|||롯데손해보험|||경기도 안양시 만안구 안양동 622-218|||||||롯데손해보험 경기지점|안양상호...|||40709
롯데손해보험|시흥출장소|||롯데손해보험|||경기 시흥시 대야동 490-3|||||||롯데손해보험 시흥출장소|6층 602호 시...|||40709
롯데손해보험|이천출장소|||롯데손해보험|||경기 이천시 증포동 182-9|||||||롯데손해보험 이천출장소|쌍용봉빌딩 4층|||40709
롯데손해보험|고양인주재센터|||롯데손해보험||경기도 고양시 일산동구 정발산로 24||||||||롯데손해보험 고양인주재센터|(장항동) 웨...|||40709
롯데손해보험|성남인보상센터|||롯데손해보험|||경기도 성남시 수정구 수진2동 4529|||||||롯데손해보험 성남인보상센터|의남빌딩...|||40709
롯데손해보험|경기인보상센터|||롯데손해보험|||경기도 수원시 팔달구 우만동 518|||||||롯데손해보험 경기인보상센터|유경빌딩 7층 ...|||40709
롯데손해보험|안양인주재센터|||롯데손해보험|||경기도 안양시 만안구 안양동 622-218|||||||롯데손해보험 안양인주재센터|안양상호...|||40709
롯데손해보험|의정부인주재센터|||롯데손해보험|||경기도 의정부시 의정부동 501-1|||||||롯데손해보험 의정부인주재센터|CRC빌딩 8층...|||40709
롯데손해보험|김해Agency지점|||롯데손해보험||경남 김해시 내외중앙로 137||||||||롯데손해보험 김해Agency지점|휴앤락몰 2층 24...|||40709
롯데손해보험|경북지점|||롯데손해보험|||경북 구미시 송정동 27-3|||||||롯데손해보험 경북지점|대희빌딩 8층 경북지점...|||40709
롯데손해보험|경북Agency지점|||롯데손해보험||경북 구미시 신시로 102||||||||롯데손해보험 경북Agency지점|(송정동) 8층,경상북...|||40709
