##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@올리브영
올리브영|(X)속초점|||올리브영|033-636-5290|강원도 속초시 중앙로 132||||||||올리브영 (X)속초점||||90703
올리브영|(X)속초조양점|||올리브영|033-631-5290|강원도 속초시 동해대로 4038||||||||올리브영 (X)속초조양점|1층 (조양동)|||90703
올리브영|강릉교동점|||올리브영|033-641-5290|강원도 강릉시 교동광장로 115||||||||올리브영 강릉교동점||||90703
올리브영|강릉대학로점|||올리브영|033-648-5290|강원도 강릉시 신대학길 19||||||||올리브영 강릉대학로점||||90703
올리브영|강릉입암점|||올리브영|033-641-8385|강원도 강릉시 용지로 23||||||||올리브영 강릉입암점|104호 (입암동)|||90703
올리브영|강릉점|||올리브영|033-645-5290|강원도 강릉시 경강로 2090-1||||||||올리브영 강릉점||||90703
올리브영|강릉포남점|||올리브영|033-651-4074|강원도 강릉시 하평길 37||||||||올리브영 강릉포남점||||90703
올리브영|강원대점|||올리브영|033-254-5290|강원도 춘천시 서부대성로 231||||||||올리브영 강원대점||||90703
올리브영|더블유시티점|||올리브영|033-738-9177|강원도 원주시 서원대로 171||||||||올리브영 더블유시티점|원주터미널 1층|||90703
올리브영|동해점|||올리브영|033-533-5290|강원도 동해시 천곡로 68||||||||올리브영 동해점|105호,106호 (천곡동,현대코아)|||90703
올리브영|동해천곡점|||올리브영|033-532-5290|강원도 동해시 한섬로 113-4||||||||올리브영 동해천곡점||||90703
올리브영|삼척점|||올리브영|033-575-5290|강원도 삼척시 진주로 9||||||||올리브영 삼척점||||90703
올리브영|원주단구점|||올리브영|033-765-5290|강원도 원주시 남원로534번길 14||||||||올리브영 원주단구점||||90703
올리브영|원주무실점|||올리브영|033-743-5250|강원도 원주시 능라동길 48||||||||올리브영 원주무실점|103~105호|||90703
올리브영|원주중앙로점|||올리브영|033-746-5290|강원도 원주시 중앙로 94||||||||올리브영 원주중앙로점|1층|||90703
올리브영|원주혁신도시점|||올리브영|033-743-5290|강원도 원주시 혁신로 61||||||||올리브영 원주혁신도시점|골든스퀘어 2차 1층 101호,102호|||90703
올리브영|춘천명동점|||올리브영|033-252-5290|강원도 춘천시 금강로 59||||||||올리브영 춘천명동점||||90703
올리브영|춘천석사점|||올리브영|033-264-5290|강원도 춘천시 퇴계농공로 12||||||||올리브영 춘천석사점||||90703
올리브영|춘천온의점|||올리브영|033-251-5259|강원도 춘천시 춘천로17번길 31||||||||올리브영 춘천온의점|1층 106호~109호|||90703
올리브영|춘천후평점|||올리브영|033-242-5290|강원도 춘천시 후석로 298-1||||||||올리브영 춘천후평점||||90703
올리브영|태백점|||올리브영|033-553-2747|강원도 태백시 황지로 151||||||||올리브영 태백점|102,103호 (황지동)|||90703
올리브영|홍천점|||올리브영|033-435-5290|강원도 홍천군 홍천읍 신장대로 77-2||||||||올리브영 홍천점||||90703
올리브영|횡성점|||올리브영|033-342-5618|강원도 횡성군 횡성읍 문정로 20||||||||올리브영 횡성점|101호|||90703
올리브영|(X)아주대삼거리점|||올리브영|031-215-0121|경기도 수원시 팔달구 중부대로 249||||||||올리브영 (X)아주대삼거리점||||90703
올리브영|(x)홈플러스부천상동점|||올리브영|032-325-8757|경기도 부천시 길주로 118||||||||올리브영 (x)홈플러스부천상동점|홈플러스부천상동점 1층|||90703
올리브영|AK기흥점|||올리브영|031-5186-6539|경기도 용인시 기흥구 중부대로 지하460||||||||올리브영 AK기흥점|AK기흥점 지하1층|||90703
올리브영|LF스퀘어양주점|||올리브영|031-894-2636|경기도 양주시 평화로 1593||||||||올리브영 LF스퀘어양주점|LF스퀘어|||90703
올리브영|가천대점|||올리브영|031-751-5290|경기도 성남시 수정구 성남대로 1342||||||||올리브영 가천대점|가천대학교 비전타워 지하3층 B304-3|||90703
올리브영|강남대점|||올리브영|031-282-5290|경기도 용인시 기흥구 강남로 3||||||||올리브영 강남대점|강남앤플러스 1층 116~118호|||90703
올리브영|경기광주점|||올리브영|031-767-9305|경기도 광주시 중앙로 94||||||||올리브영 경기광주점||||90703
올리브영|고양동점|||올리브영|031-962-5291|경기도 고양시 덕양구 혜음로 34||||||||올리브영 고양동점|1층|||90703
올리브영|고양삼송점|||올리브영|02-381-5291|경기도 고양시 덕양구 권율대로 893||||||||올리브영 고양삼송점|파스텔시티 1층|||90703
올리브영|고양원당점|||올리브영|031-964-5290|경기도 고양시 덕양구 호국로789번길 6||||||||올리브영 고양원당점||||90703
올리브영|고양원마운트점|||올리브영|031-907-3777|경기도 고양시 일산서구 한류월드로 300||||||||올리브영 고양원마운트점||||90703
올리브영|고양원흥점|||올리브영|031-965-3610|경기도 고양시 덕양구 도래울로 110||||||||올리브영 고양원흥점||||90703
올리브영|고양행신점|||올리브영|031-972-5290|경기도 고양시 덕양구 중앙로 560||||||||올리브영 고양행신점||||90703
올리브영|곤지암점|||올리브영|031-761-5073|경기도 광주시 곤지암읍 곤지암로 45||||||||올리브영 곤지암점||||90703
