##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@SK스피드메이트
SK스피드메이트|도남점|||SK스피드메이트|064-753-5104|제주 제주시 연삼로 326||정비||||||SK스피드메이트 도남점||||160501
SK스피드메이트|스카이점|||SK스피드메이트|064-762-0190|제주 서귀포시 중산간동로 7859||정비||||||SK스피드메이트 스카이점||||160501
SK스피드메이트|용담점|||SK스피드메이트|064-725-0118|제주 제주시 남성로 36-1||정비||||||SK스피드메이트 용담점|(용담일동)|||160501
SK스피드메이트|이마트서귀포점|||SK스피드메이트|064-739-0191|제주 서귀포시 일주동로 9209||정비;||||||SK스피드메이트 이마트서귀포점|2층|||160501
SK스피드메이트|이마트신제주점|||SK스피드메이트|064-748-9200|제주 제주시 1100로 3348||정비;||||||SK스피드메이트 이마트신제주점|3층 스피드메이트|||160501
SK스피드메이트|제주노형점|||SK스피드메이트|064-745-8822|제주 제주시 월광로 125||정비||||||SK스피드메이트 제주노형점|(노형동)|||160501
SK스피드메이트|제주백록점|||SK스피드메이트|064-759-7728|제주 제주시 연삼로 433||정비;||||||SK스피드메이트 제주백록점||||160501
SK스피드메이트|제주서귀포점|||SK스피드메이트|064-732-0095|제주 서귀포시 중정로 122||정비||||||SK스피드메이트 제주서귀포점||||160501
SK스피드메이트|제주연동점|||SK스피드메이트|064-749-9210|제주 제주시 연북로 134||정비||||||SK스피드메이트 제주연동점|(연동,1층)|||160501
SK스피드메이트|제주중문점|||SK스피드메이트|064-739-9913|제주 서귀포시 일주서로 582||정비;||||||SK스피드메이트 제주중문점|(대포동)|||160501
SK스피드메이트|공업탑점|||SK스피드메이트|052-201-5400|울산 남구 두왕로 230||정비||||||SK스피드메이트 공업탑점|(신정동)|||160501
SK스피드메이트|남목점|||SK스피드메이트|052 288 7782|울산 동구 방어진순환도로 1158||정비||||||SK스피드메이트 남목점|(서부동)|||160501
SK스피드메이트|무지개점|||SK스피드메이트|052-201-0023|울산 동구 문현1길 24||정비||||||SK스피드메이트 무지개점||||160501
SK스피드메이트|삼산제일점|||SK스피드메이트|052-260-4507|울산 남구 화합로 228||정비||||||SK스피드메이트 삼산제일점||||160501
SK스피드메이트|야음점|||SK스피드메이트|052-257-6589|울산 남구 번영로16번길 2-2||정비||||||SK스피드메이트 야음점|(야음동)|||160501
SK스피드메이트|울산공장점|||SK스피드메이트|052-260-1472|울산 남구 꽃대나리로 85||정비||||||SK스피드메이트 울산공장점|(달동)|||160501
SK스피드메이트|울산남구점|||SK스피드메이트|052-266-6637|울산 남구 봉월로 70-1||정비||||||SK스피드메이트 울산남구점|(신정동)|||160501
SK스피드메이트|울산무거점|||SK스피드메이트|052-247-3963|울산 남구 삼호로 87-1||정비||||||SK스피드메이트 울산무거점|(무거동)|||160501
SK스피드메이트|울산성안점|||SK스피드메이트|052-244-4506|울산 중구 성안로 199||정비||||||SK스피드메이트 울산성안점|(성안동)|||160501
SK스피드메이트|울산월드컵점|||SK스피드메이트|052-247-7582|울산 남구 문수로 93||정비;||||||SK스피드메이트 울산월드컵점||||160501
SK스피드메이트|울산전하점|||SK스피드메이트|052-232-1123|울산 동구 방어진순환도로 721||정비||||||SK스피드메이트 울산전하점|(전하동)|||160501
SK스피드메이트|울산중구점|||SK스피드메이트|052-246-8840|울산 중구 명륜로 135-1||정비||||||SK스피드메이트 울산중구점|(교동)|||160501
SK스피드메이트|울산진명점|||SK스피드메이트|052-289-0852|울산 북구 염포로 180||정비||||||SK스피드메이트 울산진명점||||160501
SK스피드메이트|이마트울산점|||SK스피드메이트|052-227-4054|울산 남구 남중로 48||정비||||||SK스피드메이트 이마트울산점|4층|||160501
SK스피드메이트|처용로점|||SK스피드메이트|052-260-9360|울산 남구 처용로 92||정비||||||SK스피드메이트 처용로점||||160501
SK스피드메이트|태화점|||SK스피드메이트|052-249-8885|울산 중구 북부순환도로 147||정비||||||SK스피드메이트 태화점|(태화동)|||160501
SK스피드메이트|SK선경점|||SK스피드메이트|042-861-2632|대전 유성구 유성대로 1647||정비||||||SK스피드메이트 SK선경점||||160501
SK스피드메이트|SK푸른점|||SK스피드메이트|042-631-8911|대전 동구 홍도로 8-16||정비||||||SK스피드메이트 SK푸른점||||160501
SK스피드메이트|가수원점|||SK스피드메이트|042-545-8272|대전 서구 용소로39번길 6||정비||||||SK스피드메이트 가수원점|(가수원동,1층)|||160501
SK스피드메이트|노은점|||SK스피드메이트|042-477-5185|대전 유성구 노은동로 79||정비||||||SK스피드메이트 노은점||||160501
SK스피드메이트|대전점|||SK스피드메이트|042-257-1097|대전 중구 중앙로 64||정비||||||SK스피드메이트 대전점|(대흥동)|||160501
SK스피드메이트|대전4공단점|||SK스피드메이트|042-935-6053|대전 대덕구 대덕대로 1412||정비||||||SK스피드메이트 대전4공단점||||160501
SK스피드메이트|대전OKSK점|||SK스피드메이트|042-637-1032|대전 대덕구 대전로 1312||정비||||||SK스피드메이트 대전OKSK점||||160501
SK스피드메이트|대전관저점|||SK스피드메이트|042-545-3030|대전 서구 계백로 902||정비||||||SK스피드메이트 대전관저점|(관저동)|||160501
SK스피드메이트|대전대원점|||SK스피드메이트|042-621-7914|대전 대덕구 동서대로 1772||정비||||||SK스피드메이트 대전대원점||||160501
SK스피드메이트|대전덕성점|||SK스피드메이트|042-274-0555|대전 동구 대전로 283||정비||||||SK스피드메이트 대전덕성점|(대성동)|||160501
SK스피드메이트|대전도룡점|||SK스피드메이트|042-863-5566|대전 유성구 대덕대로590번길 12-6||정비||||||SK스피드메이트 대전도룡점|(도룡동)|||160501
SK스피드메이트|대전오류점|||SK스피드메이트|042-537-9240|대전 중구 동서대로 1285||정비;||||||SK스피드메이트 대전오류점|(오류동)|||160501
SK스피드메이트|대전용산점|||SK스피드메이트|042-931-5117|대전 유성구 테크노중앙로 139||정비||||||SK스피드메이트 대전용산점||||160501
SK스피드메이트|대전청사점|||SK스피드메이트|042-485-6010|대전 서구 대덕대로 188||정비||||||SK스피드메이트 대전청사점||||160501
SK스피드메이트|대전터미널점|||SK스피드메이트|042-639-8894|대전 동구 동서대로 1689||정비||||||SK스피드메이트 대전터미널점||||160501
SK스피드메이트|도안점|||SK스피드메이트|042-822-9640|대전 유성구 원신흥로55번길 66-5||정비||||||SK스피드메이트 도안점|(원신흥동,|||160501
SK스피드메이트|도안예성점|||SK스피드메이트|042-824-9280|대전 유성구 도안동로 488||정비;||||||SK스피드메이트 도안예성점|(봉명동)|||160501
SK스피드메이트|둔산점|||SK스피드메이트|042-486-4684|대전 서구 둔산로 139||정비||||||SK스피드메이트 둔산점||||160501
SK스피드메이트|반석점|||SK스피드메이트|042-826-5185|대전 유성구 반석서로 9||정비||||||SK스피드메이트 반석점|(지족동)|||160501
