##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@변호사
이현우개업[상세]||||변호사||강원 삼척시 사대길 59||||||||이현우개업[상세]|(남양동,지원빌딩) 2층 --|||91604
고인호개업[상세]||||변호사|070-8244-4307|강원 춘천시 공지로 293||||||||고인호개업[상세]|(효자동) 화남빌딩 4층 국선전담변호사|||91604
황영준개업[상세]||||변호사|033-748-6000|강원 원주시 시청로 160-1||||||||황영준개업[상세]|401호 (무실동,노블인갤러리빌딩)|||91604
마준석개업[상세]||||변호사|033-742-5225|강원 원주시 능라동길 63||||||||마준석개업[상세]|203호 (무실동,법조타워)|||91604
신상민개업[상세]||||변호사|033-241-9900|강원 춘천시 공지로 293||||||||신상민개업[상세]|1층 (효자동,화남빌딩)|||91604
박수진개업[상세]||||변호사|033-748-6000|강원 원주시 시청로 160-1||||||||박수진개업[상세]|401호 (무실동,노블인갤러리빌딩)|||91604
이자연개업[상세]||||변호사|070-8244-4307|강원 춘천시 공지로 293||||||||이자연개업[상세]|(효자동) 화남빌딩 4층 (국선전담실)|||91604
박영재개업[상세]||||변호사|033-742-5225|강원 원주시 능라동길 63||||||||박영재개업[상세]|(무실동) 2층|||91604
박민지||||변호사||||||||||박민지||||91604
홍소현개업[상세]||||변호사|033-641-7465|강원 강릉시 강릉대로 181||||||||홍소현개업[상세]|(교동) 3층|||91604
정희재개업[상세]||||변호사|033-645-6911/3||강원 강릉시 성내동 21|||||||정희재개업[상세]|(3층)|||91604
김확중개업[상세]||||변호사|033-645-4880|강원 강릉시 운정길11번길 18||||||||김확중개업[상세]|(난곡동)|||91604
남다운개업[상세]||||변호사|033-748-6000|강원 원주시 시청로 160-1||||||||남다운개업[상세]|401호 (무실동,노블인갤러리빌딩)|||91604
강대규개업[상세]||||변호사|033-241-9900|강원 춘천시 공지로 293||||||||강대규개업[상세]|1층 (효자동,화남빌딩)|||91604
유지호개업[상세]||||변호사|033-745-5376|강원 원주시 무실새골길 2||||||||유지호개업[상세]|(무실동,저스티스빌딩) 4층 401호|||91604
이현지||||변호사||||||||||이현지||||91604
박광원개업[상세]||||변호사|033-744-0784|강원 원주시 능라동길 61||||||||박광원개업[상세]|(무실동) 정한타워 제3층 304호|||91604
박연주개업[상세]||||변호사|033-647-1969|강원 강릉시 운정길11번길 18||||||||박연주개업[상세]|(난곡동) 3층|||91604
이에린||||변호사||||||||||이에린||||91604
이재형개업[상세]||||변호사|033-645-6911|강원 강릉시 임영로 115||||||||이재형개업[상세]|(성내동) 3층|||91604
김성훈||||변호사||||||||||김성훈||||91604
김기동개업[상세]||||변호사|033-748-6000|강원 원주시 시청로 160-1||||||||김기동개업[상세]|401호 (무실동,노블인갤러리빌딩)|||91604
박주연||||변호사||||||||||박주연||||91604
이광재개업[상세]||||변호사|033-813-3700|강원 원주시 능라동길 61||||||||이광재개업[상세]|(무실동) 정한타워 606호|||91604
길세철개업[상세]||||변호사|033-769-9368|강원 원주시 혁신로 22||||||||길세철개업[상세]|(반곡동,국립공원관리공단) 6층 기획재정처|||91604
김기일개업[상세]||||변호사|033-742--7001|강원 원주시 시청로 160-1||||||||김기일개업[상세]|(무실동) 203호 (무실동,노블인갤러리)|||91604
정대현개업[상세]||||변호사|033-818-9356|강원 춘천시 공지로 289||||||||정대현개업[상세]|3층 (효자동,대양빌딩)|||91604
정지욱개업[상세]||||변호사|033-743-5225|강원 원주시 능라동길 63||||||||정지욱개업[상세]|203호 (무실동)|||91604
김정우||||변호사||||||||||김정우||||91604
서승완개업[상세]||||변호사|033-254-4368|강원 춘천시 공지로 293||||||||서승완개업[상세]|6층 (효자동,화남빌딩)|||91604
이지언개업[상세]||||변호사|033-533-0901|강원 동해시 천곡로 71||||||||이지언개업[상세]|8층 (천곡동,흥국생명빌딩)|||91604
김민수개업[상세]||||변호사|033-738-3183|강원 원주시 세계로 10||||||||김민수개업[상세]|(반곡동,한국관광공사) 법무팀|||91604
이현동개업[상세]||||변호사|033-734-9734|강원 원주시 무실새골길 14||||||||이현동개업[상세]|4층 (무실동,법조빌딩)|||91604
손도영개업[상세]||||변호사|033-747-8050~2|강원 원주시 무실새골길 14||||||||손도영개업[상세]|3층 (무실동,법조빌딩)|||91604
한세민개업[상세]||||변호사||강원 원주시 무실새골길 14||||||||한세민개업[상세]|3층 (무실동,법조빌딩)|||91604
김정선개업[상세]||||변호사|070-8244-4308|강원 춘천시 공지로 293||||||||김정선개업[상세]|(효자동) 화남빌딩 4층|||91604
강정문개업[상세]||||변호사|033-264-9052|강원 춘천시 남춘로 36||||||||강정문개업[상세]|(효자동) 6층|||91604
전홍록개업[상세]||||변호사|033-744-2488,745-2488||강원 원주시 무실동 1811-3|||||||전홍록개업[상세]|3층|||91604
이형철||||변호사||||||||||이형철||||91604
노진호개업[상세]||||변호사|033-734-9736|강원 원주시 무실새골길 14||||||||노진호개업[상세]|(무실동) 법조빌딩 4층 401호|||91604
손혜윤||||변호사||||||||||손혜윤||||91604
안지연||||변호사||||||||||안지연||||91604
박재영개업[상세]||||변호사||강원 강릉시 강릉대로 189||||||||박재영개업[상세]|2층 (교동,어촌빌딩)|||91604
이혜경||||변호사||||||||||이혜경||||91604
박혜민개업[상세]||||변호사|033-647-0684|강원 강릉시 율곡로2692번길 14||||||||박혜민개업[상세]|(입암동) 205호|||91604
정명순개업[상세]||||변호사|033-731-1482||강원 원주시 무실동 1811-4|||||||정명순개업[상세]|201호 (법조빌딩)|||91604
배지현||||변호사||||||||||배지현||||91604
조윤아개업[상세]||||변호사|033-635-2868|강원 속초시 법대로 4||||||||조윤아개업[상세]|2층 (동명동,유광빌딩)|||91604
김균기개업[상세]||||변호사|033-576-0416|강원 삼척시 중앙로 181||||||||김균기개업[상세]|(남양동) 2층|||91604
강상용개업[상세]||||변호사|033-251-8301|강원 춘천시 공지로 293||||||||강상용개업[상세]|3층 (효자동,화남빌딩),대한법률구조공단|||91604
이용재개업[상세]||||변호사|070-8892-1030|강원 원주시 천사로 61||||||||이용재개업[상세]|2층 (단계동)|||91604
김혜란개업[상세]||||변호사|033-747-8050|강원 원주시 무실새골길 14||||||||김혜란개업[상세]|3층 (무실동,법조빌딩)|||91604
김지영개업[상세]||||변호사|033-635-0088|강원 속초시 법대로 13||||||||김지영개업[상세]|(동명동) 4층|||91604
이소정개업[상세]||||변호사|033-733-2205|강원 원주시 일산로 23||||||||이소정개업[상세]|3층 (일산동,감리회관)|||91604
심지현개업[상세]||||변호사||강원 강릉시 강릉대로 189||||||||심지현개업[상세]|2층 (교동,어촌빌딩)|||91604
류재율개업[상세]||||변호사|033-576-0416|강원 삼척시 중앙로 181||||||||류재율개업[상세]|2층 (남양동)|||91604
심재범개업[상세]||||변호사|033-641-3358||강원 강릉시 난곡동 116-5|||||||심재범개업[상세]|(1층)|||91604
박찬성개업[상세]||||변호사|033-251-8448|강원 춘천시 남춘로 47||||||||박찬성개업[상세]|4층 (효자동,덕호빌딩)|||91604
임소진개업[상세]||||변호사|033-733-2224||강원 원주시 무실동 1811-1|||||||임소진개업[상세]|(저스티스I빌딩301호)|||91604
심은희||||변호사||||||||||심은희||||91604
김승식개업[상세]||||변호사|033-641-3358||강원 강릉시 난곡동 116-5|||||||김승식개업[상세]|(율전빌딩1층)|||91604
홍남희개업[상세]||||변호사|033-254-2227|강원 춘천시 춘천로 34-1||||||||홍남희개업[상세]|(퇴계동) 5층 501호|||91604
최정경개업[상세]||||변호사|033-642-6248||강원 강릉시 죽헌동 293-3|||||||최정경개업[상세]|(우성빌딩1층)|||91604
