##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@자동차운전학원
강릉자동차운전전문학원||||자동차운전학원|033-661-7777|강원도 강릉시 연곡면 동해대로 4100-28||||||||강릉자동차운전전문학원|(동덕리)|||20306
신신자동차운전전문학원||||자동차운전학원|033-652-4444|강원도 강릉시 경강로2408번길 64||||||||신신자동차운전전문학원|(송정동)|||20306
뉴설악자동차운전전문학원||||자동차운전학원|033-632-5000|강원도 고성군 토성면 동해대로 5213-16||||||||뉴설악자동차운전전문학원||||20306
추암자동차운전전문학원||||자동차운전학원|033-522-2205|강원도 동해시 공단1로 80||||||||추암자동차운전전문학원|(추암동)|||20306
삼척자동차운전전문학원||||자동차운전학원|033-574-0882-3|강원도 삼척시 오십천로 68||||||||삼척자동차운전전문학원|(등봉동)|||20306
속초자동차운전전문학원||||자동차운전학원|033-635-3366|강원도 속초시 하도문길 5||||||||속초자동차운전전문학원|(도문동)|||20306
강원/금성자동차운전전문학원||||자동차운전학원|033-633-7777|강원도 양양군 강현면 진미로54번길 63||||||||강원 금성자동차운전전문학원|(정암리)|||20306
동남자동차운전전문학원||||자동차운전학원|033-374-3771|강원도 영월군 영월읍 중앙로 224-21||||||||동남자동차운전전문학원|(덕포리)|||20306
문막자동차운전전문학원||||자동차운전학원|033-734-6525|강원도 원주시 문막읍 좁은목길 59||||||||문막자동차운전전문학원|(건등리)|||20306
원주자동차운전전문학원||||자동차운전학원|033-763-3456-8|강원도 원주시 학마을길 60||||||||원주자동차운전전문학원|(관설동)|||20306
치악산자동차운전전문학원||||자동차운전학원|033-745-2997-8|강원도 원주시 북원로 2638||||||||치악산자동차운전전문학원|(태장동)|||20306
흥업자동차운전전문학원||||자동차운전학원|033-763-7300|강원도 원주시 흥업면 승안동길 43||||||||흥업자동차운전전문학원|(대안리)|||20306
신촌자동차운전전문학원||||자동차운전학원|033-261-3388|강원도 춘천시 동내면 동내로 67-1||||||||신촌자동차운전전문학원|(신촌리)|||20306
미래자동차운전전문학원||||자동차운전학원|033-334-0038|강원도 평창군 진부면 간평길 79-28||||||||미래자동차운전전문학원|(간평리)|||20306
