##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@대형예술센터
강남씨어터||||대형예술센터|02-6712-0543|서울시 강남구 삼성로 628|||||||강남문화재단|강남씨어터|(삼성동66) 강남문화재단 4층|||100204
나루아트센터||||대형예술센터|02-2049-4700|서울특별시 광진구 능동로 76|||||||광진문화재단|나루아트센터||||100204
구로아트밸리예술극장||||대형예술센터|02-2029-1700|서울특별시 구로구 가마산로25길 9-24|||||||구로문화재단|구로아트밸리예술극장||||100204
금나래아트홀||||대형예술센터|02-2627-2981|서울특별시 금천구 시흥대로73길 금천구청 내 |||||||금천문화재단|금나래아트홀||||100204
두산아트센터||||대형예술센터|02-708-5001|서울특별시 종로구 종로33길 15|||||||두산연강재단|두산아트센터|두산아트센터|||100204
마포아트센터||||대형예술센터|02-3274-8620|서울특별시 마포구 대흥로20길 28|||||||마포문화재단|마포아트센터||||100204
남산예술센터||||대형예술센터|02-3290-7000|서울특별시 중구 소파로 138|||||||서울문화재단|남산예술센터|(예장동 8-19)|||100204
반포심산아트홀||||대형예술센터|02-3477-2461|서울시 서초구 사평대로 55|||||||서초문화재단|반포심산아트홀|(반포동) 심산기념문화센터 1층|||100204
성동문화회관||||대형예술센터|02-2204-6401|서울특별시 성동구 왕십리로 281|||||||성동문화재단|성동문화회관||||100204
미아리고개예술극장||||대형예술센터|02-2038-4901|서울특별시 성북구 아리랑로 12길 4|||||||성북문화재단|미아리고개예술극장|성북문화재단 3층|||100204
세종문화회관||||대형예술센터|02-399-1000|서울특별시 종로구 세종대로 175||||||||세종문화회관||||100204
영등포아트홀||||대형예술센터|02-2670-4020|서울특별시 영등포구 국회대로 596|||||||영등포문화재단|영등포아트홀||||100204
은평문화예술회관||||대형예술센터|02-351-3736|서울특별시 은평구 녹번로 16|||||||은평문화재단|은평문화예술회관|(녹번동)|||100204
정동극장||||대형예술센터|02-751-1500|서울특별시 중구 정동길 43||||||||정동극장|(정동 8-11)|||100204
아이들극장||||대형예술센터|02-2088-4290|서울시 종로구 성균관로 91|||||||종로문화재단|아이들극장|올림픽기념생활관 신관|||100204
충무아트센터||||대형예술센터|02-2230-6601|서울특별시 중구 퇴계로 387|||||||중구문화재단|충무아트센터||||100204
강동아트센터||||대형예술센터|02-440-0500|서울특별시 강동구 동남로 870||||||||강동아트센터|(상일동)|||100204
국립국악원||||대형예술센터|02-580-3300|서울특별시 서초구 남부순환로 2364||||||||국립국악원||||100204
국립중앙극장||||대형예술센터|02-2280-4114|서울특별시 중구 장충단로 59||||||||국립중앙극장|(장충동2가 산14-67)|||100204
노원문화예술회관||||대형예술센터|02-951-3355|서울특별시 노원구 중계로 181||||||||노원문화예술회관||||100204
서대문문화회관||||대형예술센터|02-360-8560|서울특별시 서대문구 백련사길 39||||||||서대문문화회관||||100204
예술의전당||||대형예술센터|02-580-1300|서울특별시 서초구 남부순환로 2406||||||||예술의전당|(서초동)|||100204
우리금융아트홀||||대형예술센터|02-410-1883|서울특별시 송파구 올림픽로 424||||||||우리금융아트홀|(방이동 88-2) 역도경기장 2층 공연사업팀|||100204
아르코예술극장||||대형예술센터|02-3668-0007|서울특별시 종로구 대학로8길 7|||||||한국문화예술위원회|아르코예술극장||||100204
강북문화예술회관||||대형예술센터|02-944-3068|서울특별시 강북구 삼각산로 85||||||||강북문화예술회관||||100204
노원어울림극장||||대형예술센터|02-2289-6767|서울특별시 노원구 노해로 502||||||||노원어울림극장||||100204
용산아트홀||||대형예술센터|02-2199-7260|서울특별시 용산구 녹사평대로 150||||||||용산아트홀|(이태원동)|||100204
종로구민회관||||대형예술센터|02-3672-2530|서울특별시 종로구 지봉로5길 7-5||||||||종로구민회관||||100204
종로체육문화센터||||대형예술센터|02-2014-4066|서울특별시 종로구 인왕산로1길 21||||||||종로체육문화센터||||100204
부평아트센터||||대형예술센터|032-500-2000|인천광역시 부평구 아트센터로 166|||||||부평구문화재단|부평아트센터|(십정동)|||100204
트라이보울||||대형예술센터|032-760-1096|인천광역시 연수구 인천타워대로 250|||||||인천문화재단|트라이보울|(송도동24-6)|||100204
인천서구문화회관||||대형예술센터|032-567-1160|인천광역시 서구 서달로 190|||||||인천서구문화재단|인천서구문화회관|(가정동)|||100204
계양문화회관||||대형예술센터|032-551-6602|인천광역시 계양 계양산로 35번길 11||||||||계양문화회관||||100204
남동소래아트홀||||대형예술센터|032-460-0560|인천광역시 남동구 아암대로1437번길 32||||||||남동소래아트홀|(논현동)|||100204
아트센터/인천||||대형예술센터|032-453-7700|인천 연수구 아트센터대로 222||||||||아트센터 인천||||100204
인천/중구문화회관||||대형예술센터|032-760-6400|인천광역시 중구 축항대로 296번길 81||||||||인천 중구문화회관|(신흥동 3가 39-24)|||100204
인천문화예술회관||||대형예술센터|032-427-8401~5|인천광역시 남동구 예술로 149||||||||인천문화예술회관||||100204
인천수봉문화회관||||대형예술센터|032-866-2019|인천광역시 남구 수봉안길 78||||||||인천수봉문화회관||||100204
인천학생교육문화회관||||대형예술센터|032-760-3400|인천광역시 중구 자유공원로 12||||||||인천학생교육문화회관|(인현동 5)|||100204
강화문예회관||||대형예술센터|032-930-7046|인천광역시 강화군 강화읍 고비고개로19번길 12||||||||강화문예회관||||100204
경기도문화의전당||||대형예술센터|031-230-3200|경기도 수원시 팔달구 효원로 307번길 20||||||||경기도문화의전당||||100204
고양어울림누리||||대형예술센터|1577-7766|경기도 고양시 일산동구 중앙로 1286|||||||고양문화재단|고양어울림누리||||100204
