##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@벤츠서비스센터
메르세데스벤츠|강남대로/서비스센터|||벤츠서비스센터|02-570-1111|서울특별시 강남구 강남대로 284|||월~금: 09:00~18:00 토요일: 09:00~13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 강남대로/서비스센터|더클래스효성빌딩|||160426
메르세데스벤츠|도봉/서비스센터|||벤츠서비스센터|02-6678-7575|서울특별시 도봉구 마들로 18길 9|||월~금 : 09:00~18:00 토요일 : 09:00~13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 도봉/서비스센터||||160426
메르세데스벤츠|강서/목동/서비스센터|||벤츠서비스센터|02-6355-0100|서울특별시 강서구 공항대로 665|||월~금 : 09:00~18:00 토요일 : 09:00~13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 강서/목동/서비스센터||||160426
메르세데스벤츠|금천/서비스센터|||벤츠서비스센터|02-807-2400|서울특별시 금천구 시흥대로 173|||월~금 : 09:00~18:00 토요일 : 09:00~13:00 (예약제 운영) 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 금천/서비스센터||||160426
메르세데스벤츠|논현/서비스센터|||벤츠서비스센터|02-550-2100|서울특별시 강남구 언주로 617|||월~토: 09:00 18:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 논현/서비스센터||||160426
메르세데스벤츠|도곡/서비스센터|||벤츠서비스센터|02-575-7340|서울특별시 강남구 남부순환로 365길 9|||월~금: 09:00 18:00 토요일: 09:00 17:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 도곡/서비스센터||||160426
메르세데스벤츠|동대문/서비스센터|||벤츠서비스센터|02-2216-6500|서울특별시 성동구 천호대로 360|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 동대문/서비스센터||||160426
메르세데스벤츠|방배/서비스센터|||벤츠서비스센터|02-520-1000|서울특별시 서초구 남부순환로 294길 22||||||||메르세데스벤츠 방배/서비스센터||||160426
메르세데스벤츠|방배/내방/서비스센터|||벤츠서비스센터|2-580-0810|서울특별시 서초구 방배로 137|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 방배/내방/서비스센터|한성모터타워|||160426
메르세데스벤츠|삼성/서비스센터|||벤츠서비스센터|02-6177-2000|서울특별시 강남구 봉은사로 418|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 삼성/서비스센터||||160426
메르세데스벤츠|서초/서비스센터|||벤츠서비스센터|02-3488-2400|서울특별시 서초구 효령로 55길 65|||월~금: 09:00 18:00 토요일: 09:00 17:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 서초/서비스센터||||160426
메르세데스벤츠|성산/서비스센터|||벤츠서비스센터|02-309-3421|서울특별시 마포구 모래내로 17|||월~토: 09:00 18:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 성산/서비스센터||||160426
메르세데스벤츠|성수/서비스센터|||벤츠서비스센터|02-460-3421|서울특별시 성동구 동일로 55|||월~토: 09:00 18:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 성수/서비스센터||||160426
메르세데스벤츠|세곡/서비스센터|||벤츠서비스센터|02-6196-6000|서울특별시 강남구 헌릉로 727|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 세곡/서비스센터||||160426
메르세데스벤츠|송파/서비스센터|||벤츠서비스센터|02-2152-3333|서울특별시 송파구 정의로 8길 6|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 송파/서비스센터||||160426
메르세데스벤츠|양재/서비스센터|||벤츠서비스센터|02-6200-0500|서울특별시 서초구 바우뫼로 207|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 양재/서비스센터||||160426
메르세데스벤츠|용답/서비스센터|||벤츠서비스센터|02-2244-5578|서울특별시 성동구 가람길 277|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 용답/서비스센터||||160426
메르세데스벤츠|성동/서비스센터|||벤츠서비스센터|02-6312-0000|서울시 성동구 동일로 117|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 성동/서비스센터||||160426
메르세데스벤츠|한남/서비스센터|||벤츠서비스센터|02-6328-7500|서울특별시 용산구 이태원로 249|||월~금: 09:00~18:00, 주말 및 공휴일 : 휴무|||||메르세데스벤츠 한남/서비스센터||||160426
메르세데스벤츠|구리/서비스센터|||벤츠서비스센터|031-579-0970|경기도 구리시 한다리길 13|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 구리/서비스센터||||160426
메르세데스벤츠|내곡/서비스센터|||벤츠서비스센터|031-974-5588|경기도 고양시 덕양구 호수로 231|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 내곡/서비스센터||||160426
메르세데스벤츠|분당/백현/서비스센터|||벤츠서비스센터|031-779-7000|경기도 성남시 분당구 대왕판교로 385번길 13|||월~토: 09:00 18:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 분당/백현/서비스센터||||160426
메르세데스벤츠|분당/판교/서비스센터|||벤츠서비스센터|031-750-1900|경기도 성남시 분당구 판교로 182|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 분당/판교/서비스센터||||160426
메르세데스벤츠|죽전/서비스센터|||벤츠서비스센터|031-786-6100|경기도 용인시 수지구 용구대로 2749|||월~금: 09:00 18:00 토요일: 09:00 17:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 죽전/서비스센터||||160426
메르세데스벤츠|수원/서비스센터|||벤츠서비스센터|031-740-5100|경기도 용인시 기흥구 중부대로 23-2|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 수원/서비스센터||||160426
메르세데스벤츠|안성/서비스센터|||벤츠서비스센터|031-8094-6100|경기도 안성시 공도읍 서동대로 3972|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 안성/서비스센터||||160426
메르세데스벤츠|안양/평촌/서비스센터|||벤츠서비스센터|031-596-2600|경기도 안양시 동안구 흥안대로 427번길 73|||월~금: 09:00 18:00 토요일: 09:00 17:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 안양/평촌/서비스센터||||160426
메르세데스벤츠|의정부/서비스센터|||벤츠서비스센터|031-841-5588|경기도 의정부시 시민로 309|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 의정부/서비스센터||||160426
메르세데스벤츠|일산/서비스센터|||벤츠서비스센터|031-905-5588|경기도 고양시 일산서구 법곳길 82|||월~금: 09:00 18:00 토요일: 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 일산/서비스센터||||160426
메르세데스벤츠|파주/서비스센터|||벤츠서비스센터|031-972-5588|경기도 파주시 문산읍 당동1로 66|||월~금 : 09:00 18:00 토요일 : 09:00 13:00 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 파주/서비스센터||||160426
메르세데스벤츠|부천/서비스센터|||벤츠서비스센터|032-713-4533|경기도 부천시 길주로 443|||월~금 : 09:00~18:00, 토요일 : 09:00~13:00, 일요일 및 공휴일 : 휴무|||||메르세데스벤츠 부천/서비스센터||||160426
메르세데스벤츠|용인/수지/서비스센터|||벤츠서비스센터|031-290-3700|경기도 용인시 수지구 포은대로 147|||월~금 : 09:00~18:00, 주말 및 공휴일 휴무|||||메르세데스벤츠 용인/수지/서비스센터||||160426
