##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@쉐보레서비스센터
쉐보레서비스센터|동서울서비스센터|127.060069|37.547342|쉐보레서비스센터|1800-3951|서울 성동구 아차산로9길 48||직영||||||쉐보레서비스센터 동서울서비스센터||||160408
쉐보레서비스센터|서울서비스센터|126.896534|37.533095|쉐보레서비스센터|1800-3950|서울 영등포구 선유동2로 51||직영||||||쉐보레서비스센터 서울서비스센터||||160408
쉐보레서비스센터|부산서비스센터|129.081622|35.189882|쉐보레서비스센터|1800-3952|부산 연제구 중앙대로 1146||직영||||||쉐보레서비스센터 부산서비스센터||||160408
쉐보레서비스센터|대전서비스센터|127.41066769999998|36.3736165|쉐보레서비스센터|1800-3955|대전 대덕구 대화로 52번길 137||직영||||||쉐보레서비스센터 대전서비스센터||||160408
쉐보레서비스센터|인천서비스센터|126.709907|37.508792|쉐보레서비스센터|1800-3953|인천 부평구 부평대로 233||직영||||||쉐보레서비스센터 인천서비스센터||||160408
쉐보레서비스센터|광주서비스센터|126.886561|35.110656|쉐보레서비스센터|1800-3956|광주 남구 송암로24번길 62||직영||||||쉐보레서비스센터 광주서비스센터||||160408
쉐보레서비스센터|원주서비스센터|127.978762|37.436262|쉐보레서비스센터|1800-3958|강원 원주시 소초면 북원로 3356||직영||||||쉐보레서비스센터 원주서비스센터||||160408
쉐보레서비스센터|전주서비스센터|127.094423|35.851635|쉐보레서비스센터|1800-3957|전북 전주시 덕진구 팔복로 105||직영||||||쉐보레서비스센터 전주서비스센터||||160408
쉐보레서비스센터|창원서비스센터|128.700921|35.197236|쉐보레서비스센터|1800-3954|경남 창원시 성산구 성주로 130||직영||||||쉐보레서비스센터 창원서비스센터||||160408
쉐보레서비스센터|제주서비스센터|126.566193|33.512734|쉐보레서비스센터|064-756-9400|제주 제주시 선반남 2길 63||||||||쉐보레서비스센터 제주서비스센터|(화북일동)|||160408
쉐보레서비스센터|사상서비스센터|128.980157|35.150251|쉐보레서비스센터|051-315-8583~8|부산 사상구 가야대로 70||||||||쉐보레서비스센터 사상서비스센터|(학장동)|||160408
쉐보레서비스센터|양산서비스센터|129.043857|35.361314|쉐보레서비스센터|055-381-2060|경남 양산시 신기로 120||||||||쉐보레서비스센터 양산서비스센터|(북정동)|||160408
쉐보레서비스센터|남대구서비스센터|128.5229058|35.818492|쉐보레서비스센터|053-636-0744~7|대구 달서구 진천로 110||||||||쉐보레서비스센터 남대구서비스센터|(대천로)|||160408
쉐보레서비스센터|평촌서비스센터|126.974761|37.395863|쉐보레서비스센터|031-421-6020-5|경기 안양시 동안구 시민대로 402||||||||쉐보레서비스센터 평촌서비스센터|(평촌동)|||160408
쉐보레서비스센터|일산서비스센터|126.760459|37.693045|쉐보레서비스센터|031-914-0900-4|경기 고양시 일산서구 경의로 848||||||||쉐보레서비스센터 일산서비스센터|(덕이동)|||160408
쉐보레서비스센터|분당서비스센터|127.118186|37.414718|쉐보레서비스센터|031-780-6500|경기 성남시 분당구 탄천로 257||||||||쉐보레서비스센터 분당서비스센터|(야탑동)|||160408
쉐보레서비스센터|청주서비스센터|127.467278|36.659065|쉐보레서비스센터|043-267-9091-5|충북 청주시 흥덕구 사운로 370||||||||쉐보레서비스센터 청주서비스센터|(신봉동)|||160408
쉐보레서비스센터|익산서비스센터|126.97671489999993|35.9399109|쉐보레서비스센터|063-842-9283-6|전북 익산시 서동로 242||||||||쉐보레서비스센터 익산서비스센터|(신흥동)|||160408
