##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@중한자동차서비스
신원CK모터스/동풍소콘정비|OK세차정비|1144284.3049967028|1691274.8565904596|중한자동차서비스|051-555-4131|부산광역시 동래구 동래로 120-1||||||||신원CK모터스 동풍소콘정비 OK세차정비||||160429
신원CK모터스/동풍소콘정비|윤오토자동차정비|1141135.6729426333|1687419.7994971336|중한자동차서비스|051-805-9155|부산광역시 부산진구 새싹로 180||||||||신원CK모터스 동풍소콘정비 윤오토자동차정비||||160429
신원CK모터스/동풍소콘정비|경안종합정비|1083817.8219334623|1777089.4784442177|중한자동차서비스|054-976-2225|경상북도 칠곡군 왜관읍 현대로 75||||||||신원CK모터스 동풍소콘정비 경안종합정비||||160429
신원CK모터스/동풍소콘정비|백두자동차공업사|1090836.8927713234|2023026.9290705873|중한자동차서비스|033-637-7721|강원도 속초시 미시령로 3022||||||||신원CK모터스 동풍소콘정비 백두자동차공업사||||160429
신원CK모터스/동풍소콘정비|애니카랜드/성정점|967158.7797634234|1869145.3837490869|중한자동차서비스|041-571-7779|충청남도 천안시 서북구 서부대로 592||||||||신원CK모터스 동풍소콘정비 애니카랜드/성정점||||160429
신원CK모터스/동풍소콘정비|애니카랜드/풍세점|966746.3544539867|1861724.873253407|중한자동차서비스|041-577-7773|충청남도 천안시 동남구 풍세면 풍세로 448||||||||신원CK모터스 동풍소콘정비 애니카랜드/풍세점||||160429
신원CK모터스/동풍소콘정비|서산보쉬카서비스|911024.6964516568|1865133.8700750498|중한자동차서비스|041-665-4767|충청남도 서산시 수석산업로 21||||||||신원CK모터스 동풍소콘정비 서산보쉬카서비스||||160429
신원CK모터스/동풍소콘정비|성거카센타|972344.2450126251|1873578.2104885248|중한자동차서비스|041-552-3399|충청남도 천안시 서북구 성거읍 망향로 464-4||||||||신원CK모터스 동풍소콘정비 성거카센타||||160429
신원CK모터스/동풍소콘정비|진성자동차공업사|1006925.776646442|1810710.3401590288|중한자동차서비스|043-733-9564|충청북도 옥천군 옥천읍 문장로 132||||||||신원CK모터스 동풍소콘정비 진성자동차공업사||||160429
신원CK모터스/동풍소콘정비|제원공업사|1064549.2306183286|1902489.856994289|중한자동차서비스|043-642-6666|충청북도 제천시 강저로 7-12||||||||신원CK모터스 동풍소콘정비 제원공업사||||160429
신원CK모터스/동풍소콘정비|삼진자동차공업(주)|976703.6778349269|1933614.7786826068|중한자동차서비스|031-763-7206|경기도 광주시 장지9길 52||||||||신원CK모터스 동풍소콘정비 삼진자동차공업(주)||||160429
신원CK모터스/동풍소콘정비|아트샵모터스주식회사|927476.8881857097|1942873.5003158222|중한자동차서비스|032-581-9035|인천광역시 서구 백범로 700||||||||신원CK모터스 동풍소콘정비 아트샵모터스주식회사||||160429
신원CK모터스/동풍소콘정비|진성자동차공업사|943444.7131364462|1947003.7581447633|중한자동차서비스|02-2647-5177|서울특별시 양천구 은행정로 10||||||||신원CK모터스 동풍소콘정비 진성자동차공업사||||160429
신원CK모터스/동풍소콘정비|서울기화기|945986.0651455799|1946534.5482146903|중한자동차서비스|02-2675-0753|서울특별시 영등포구 도림로141가길 41||||||||신원CK모터스 동풍소콘정비 서울기화기||||160429
신원CK모터스/동풍소콘정비|동양자동차정비공업사|945314.4140000422|1943700.0292319264|중한자동차서비스|02-837-7800|서울특별시 구로구 가마산로 167||||||||신원CK모터스 동풍소콘정비 동양자동차정비공업사|101~102호 (구로동)|||160429
신원CK모터스/동풍소콘정비|팜모터스|935044.80241654|1937777.5140535668|중한자동차서비스|032-466-0333|인천광역시 남동구 음실서로 37||||||||신원CK모터스 동풍소콘정비 팜모터스|(운연동)|||160429
신원CK모터스/동풍소콘정비|쌍봉자동차정비공업사|1015006.9010308823|1640853.2367802316|중한자동차서비스|061-682-5356|전라남도 여수시 거북선공원1길 17-9||||||||신원CK모터스 동풍소콘정비 쌍봉자동차정비공업사|(학동)|||160429
신원CK모터스/동풍소콘정비|태영카광택|1103682.7579195434|1696276.90746662|중한자동차서비스|055-273-3536|경상남도 창원시 의창구 도계로 94||||||||신원CK모터스 동풍소콘정비 태영카광택|(도계동)|||160429
신원CK모터스/동풍소콘정비|동해카센터|1101181.9386541669|1762296.5996057533|중한자동차서비스|053-767-7531|대구광역시 수성구 청솔로 59||||||||신원CK모터스 동풍소콘정비 동해카센터||||160429
신원CK모터스/동풍소콘정비|에이원모터스|960373.66010676|1950236.335786967|중한자동차서비스|02-463-0027|서울특별시 성동구 광나루로 192||||||||신원CK모터스 동풍소콘정비 에이원모터스||||160429
신원CK모터스/동풍소콘정비|아트카라운지|947698.8208409282|1953497.9484479195|중한자동차서비스|02-373-5544|서울특별시 서대문구 거북골로 214||||||||신원CK모터스 동풍소콘정비 아트카라운지|(북가좌동)|||160429
신원CK모터스/동풍소콘정비|신동아자동차공업사|927342.4671305914|1938281.5554445414|중한자동차서비스|032-863-1000|인천광역시 미추홀구 미추홀대로 488||||||||신원CK모터스 동풍소콘정비 신동아자동차공업사|(문학동)|||160429
신원CK모터스/동풍소콘정비|검단연안자동차|921893.1902406628|1955156.484683752|중한자동차서비스|032-516-2277|인천광역시 서구 검단천로 363||||||||신원CK모터스 동풍소콘정비 검단연안자동차|(오류동)|||160429
신원CK모터스/동풍소콘정비|현대1급/이조자동차정비|949564.4088219053|1906315.7675449746|중한자동차서비스|1544-3642|경기도 화성시 팔탄면 삼천병마로 518-66||||||||신원CK모터스 동풍소콘정비 현대1급/이조자동차정비|(가재리)|||160429
신원CK모터스/동풍소콘정비|경동모터스|942262.5846519934|1920250.7992677633|중한자동차서비스|031-408-5201|경기도 안산시 상록구 선진3길 14||||||||신원CK모터스 동풍소콘정비 경동모터스|(사동)|||160429
신원CK모터스/동풍소콘정비|블루모터스|968010.50512173|1957115.2488993104|중한자동차서비스|031-555-1119|경기도 구리시 동구릉로159번길 1||||||||신원CK모터스 동풍소콘정비 블루모터스|(인창동)|||160429
신원CK모터스/동풍소콘정비|거성모터스|937197.2307355776|1945115.5488201184|중한자동차서비스|02-1588-8603|경기도 부천시 부천로208번길 46||||||||신원CK모터스 동풍소콘정비 거성모터스|(춘의동)|||160429
신원CK모터스/동풍소콘정비|자이자동차세상/삼숭점|964941.1088437368|1977353.349003137|중한자동차서비스|031-859-9244|경기도 양주시 삼숭로 14-35||||||||신원CK모터스 동풍소콘정비 자이자동차세상/삼숭점|(삼숭동)|||160429
신원CK모터스/동풍소콘정비|하이퍼모터스|934221.1351403035|1944866.749014007|중한자동차서비스||경기도 부천시 조마루로105번길 12||||||||신원CK모터스 동풍소콘정비 하이퍼모터스|(상2동)|||160429
