##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@K2
K2|양평점|127.491543|37.4894|K2|031-775-0502|경기도 양평군 양평읍 양근로 197-2||||||||K2 양평점||||91001
K2|나주점|126.718869|35.034345|K2|061-336-5391|전라남도 나주시 중앙로 57-1||||||||K2 나주점|(성북동)|||91001
K2|세종어반아트리움점|127.261329|36.487748|K2|044-867-2132|세종특별자치시 나성로 96||||||||K2 세종어반아트리움점|(나성동)|||91001
K2|ALL ABOUT K2 KOREA 자곡점|127.10319|37.472127|K2|02-3294-8660|서울시 강남구 자곡로 174-14||||||||K2 ALL ABOUT K2 KOREA 자곡점|1층|||91001
K2|롯데 프리미엄 아울렛 기흥점|127.121246|37.224926|K2|031-8036-3152|경기도 용인시 기흥동 신고매로 124||||||||K2 롯데 프리미엄 아울렛 기흥점||||91001
K2|화순점|126.991111|35.060416|K2|061-375-3355|전라남도 화순군 화순읍 중앙로 90||||||||K2 화순점||||91001
K2|종로점|127.00373|37.570312|K2|02-2273-8611|서울 종로구 종로5가 동호로38길 28||||||||K2 종로점||||91001
K2|상암월드컵상설점|None|37.568022|K2|02-303-4254|서울특별시 마포구 월드컵로 240||||||||K2 상암월드컵상설점|홈플러스 월드컵점 2층|||91001
K2|NC야탑점|127.127422|37.411127|K2|031-780-3287|경기도 성남시 분당구 야탑로81번길 11||||||||K2 NC야탑점|NC백화점 야탑점|||91001
K2|동래메가마트점|129.081155|35.204445|K2|051-556-6066|부산광역시 동래구 충렬대로 197||||||||K2 동래메가마트점|메가마트 동래점 1층|||91001
K2|광주세정아울렛점|126.847274|35.146816|K2|062-370-9257|광주광역시 서구 상무대로 773||||||||K2 광주세정아울렛점|세정아울렛 2층 257호|||91001
K2|광주송하MS점|126.884115|35.107836|K2|062-655-6007|광주광역시 남구 서문대로 465||||||||K2 광주송하MS점|109~110호|||91001
K2|광명사거리점|126.858312|37.478467|K2|070-4616-6001|경기도 광명시 오리로 944||||||||K2 광명사거리점|1층 (광명동)|||91001
K2|신세계팩토리고양점|126.894799|37.646907|K2||경기도 고양시 덕양구 고양대로 1955||||||||K2 신세계팩토리고양점|1층|||91001
K2|양산모다점|129.027508|35.338993|K2|055-911-7136|경상남도 양산시 중부로 2||||||||K2 양산모다점|(중부동) 양산모다아울렛 1층|||91001
