##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@코스닥기업
가비아||||코스닥기업|1544-4370|경기도 성남시 분당구 대왕판교로 660||||||||가비아|유스페이스1 B동 401호,501호|||210202
가온미디어||||코스닥기업|031-724-8500|경기도 성남시 분당구 성남대로 884-3||||||||가온미디어|가온미디어 빌딩 (야탑동)|||210202
감마누||||코스닥기업|031-831-8800|경기도 화성시 동탄면 금곡로 185-44||||||||감마누||||210202
강스템바이오텍||||코스닥기업|02-888-1590|서울특별시 강남구 테헤란로 512||||||||강스템바이오텍|신안빌딩 17층|||210202
갤럭시아컴즈||||코스닥기업|1566-0123|서울시 강남구 광평로 281||||||||갤럭시아컴즈|수서빌딩 15층|||210202
게임빌||||코스닥기업|02-876-5252|서울특별시 금천구 가산디지털1로 131||||||||게임빌|에이동 (가산동)|||210202
경남스틸||||코스닥기업|055-274-2066|경상남도 창원시 성산구 연덕로15번길 10||||||||경남스틸|(웅남동)|||210202
경남제약||||코스닥기업|055-572-8700|경남 의령군 의령읍 구룡로4남길 79||||||||경남제약||||210202
경동제약||||코스닥기업|031-352-0990|경기도 화성시 양감면 제약단지로 224-3||||||||경동제약||||210202
경창산업||||코스닥기업|053-721-1041|대구광역시 달서구 성서로35길 6||||||||경창산업|월암동|||210202
고려시멘트||||코스닥기업|061-390-6300|전라남도 장성군 장성읍 영천로 35||||||||고려시멘트|고려시멘트|||210202
고려신용정보||||코스닥기업|02-3450-9000|서울특별시 서초구 서초대로 353||||||||고려신용정보|유니온타워 (서초동)|||210202
고려제약||||코스닥기업|031-634-7100|경기도 이천시 신둔면 원적로 69-10||||||||고려제약||||210202
고영||||코스닥기업|02-6343-6000|서울시 금천구 가산디지털2로 53||||||||고영|한라시그마밸리 14,15층|||210202
골드퍼시픽||||코스닥기업|02-2029-0700|서울특별시 금천구 가산디지털1로 131||||||||골드퍼시픽|B동 604호|||210202
골든브릿지이안제1호기업인수목적||||코스닥기업|02-3779-3140|서울특별시 서대문구 충정로 50||||||||골든브릿지이안제1호기업인수목적|(충정로3가,골든브릿지빌딩)|||210202
골든센츄리||||코스닥기업|86-514-80806067|||||||||골든센츄리|Willow House,Cricket Square,P O Box 2084,Grand Cayman KY1-1112,Cayman Islands|||210202
골프존||||코스닥기업|1577-4333|서울특별시 강남구 영동대로 735||||||||골프존||||210202
골프존뉴딘홀딩스||||코스닥기업|1577-4333|서울특별시 강남구 영동대로 735||||||||골프존뉴딘홀딩스||||210202
광림||||코스닥기업|043-260-9111|충북 청원군 현도면 청남로 484||||||||광림||||210202
광진실업||||코스닥기업|051-204-9102|부산광역시 사하구 하신중앙로 160||||||||광진실업|(신평동)|||210202
광진윈텍||||코스닥기업|051-711-2222|부산시 기장군 장안읍 장안산단9로 110||||||||광진윈텍||||210202
교보7호스팩||||코스닥기업|02-3771-9294|서울특별시 영등포구 의사당대로 97||||||||교보7호스팩|(여의도동)|||210202
교보8호스팩||||코스닥기업|02-3771-9284|서울특별시 영등포구 의사당대로 97||||||||교보8호스팩||||210202
구영테크||||코스닥기업|053-592-6111|대구광역시 달성군 구지면 국가산단대로39길 119||||||||구영테크|(창리)|||210202
국보디자인||||코스닥기업|02-6220-1800|서울특별시 마포구 월드컵로10길 49||||||||국보디자인|(서교동)|||210202
국순당||||코스닥기업|033-3404-300|강원도 횡성군 둔내면 강변로 975||||||||국순당||||210202
국영지앤엠||||코스닥기업|02-2015-0300|서울시 서초구 서초중앙로 36||||||||국영지앤엠|준영빌딩 7층|||210202
국일신동||||코스닥기업|031-499-9192|경기도 안산시 단원구 번영2로 58||||||||국일신동||||210202
국일제지||||코스닥기업|031-339-9100|경기도 용인시 처인구 이동면 백옥대로 563||||||||국일제지||||210202
글로벌에스엠||||코스닥기업|031-932-9770|||||||||글로벌에스엠|George Town,Grand Cayman|||210202
글로벌텍스프리||||코스닥기업|070-5020-3620|서울특별시 중구 퇴계로 131||||||||글로벌텍스프리|9층 (충무로2가,신일빌딩)|||210202
