##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@헌혈의집
서울대역센터||||헌혈의집|02-873-4364|서울 관악구 관악로 152||||||||서울대역센터|2층 (봉천동 1598-18) 관악구청 맞은편,서울대입구역 2번출구|||200108
일산센터||||헌혈의집|031-901-5492|경기 고양시 일산동구 중앙로1261번길 55||||||||일산센터|(장항동) 효산캐슬빌딩 204호,정발산역 1번출구|||200108
우장산역센터||||헌혈의집|02-2603-5817|서울 강서구 강서로45길 5||||||||우장산역센터|(화곡동 1006-1) 2층,우장산역 3번 출구|||200108
서울역센터||||헌혈의집|02-752-9020|서울 중구 청파로 426||||||||서울역센터|(봉래동2가),서울역2번출구 (북쪽광장)|||200108
신촌센터||||헌혈의집|02-312-1247|서울 서대문구 신촌로 107||||||||신촌센터|세인빌딩 2층 2호선 신촌역 4번 출구|||200108
홍대센터||||헌혈의집|02-323-5420|서울 마포구 양화로 152||||||||홍대센터|(동교동 162-1) 대화빌딩 6층,홍대역 9번출구)|||200108
발산역센터||||헌혈의집|02-777-1291|서울 강서구 강서로 385||||||||발산역센터|우성에스비타워 5층 507호|||200108
서울대학교센터||||헌혈의집|02-886-2479|서울 관악구 관악로 1||||||||서울대학교센터|(서울대학교) 두례문예관 1층 103-1호|||200108
연신내센터||||헌혈의집|02-353-7750|서울 은평구 통일로 855-8||||||||연신내센터|(갈현동) Y빌딩 4층,연신내역 6번출구|||200108
목동센터||||헌혈의집|02-715-3105|서울 양천구 목동동로 293||||||||목동센터|현대41타워 지하|||200108
신촌연대앞센터||||헌혈의집|02-392-6460|서울 서대문구 명물길 6||||||||신촌연대앞센터|윤성빌딩 8층|||200108
대방역센터||||헌혈의집|02-825-6560|서울 영등포구 여의대방로 300||||||||대방역센터|(신길동 1372),대방역 5번출구|||200108
영등포센터||||헌혈의집|02-2675-1361|서울 영등포구 영중로 3||||||||영등포센터|(영등포동 4가),영등포역 지하상가 2번출구|||200108
서울중앙혈액원(원내)||||헌혈의집|02-6711-0184|서울 강서구 공항대로 591||||||||서울중앙혈액원(원내)|대한적십자사 중앙혈액원 3층|||200108
구로디지털단지역센터||||헌혈의집|02-869-9415|서울 구로구 도림천로 477||||||||구로디지털단지역센터|(구로동 1120),구로디지털단지역 1번 or 6번출구|||200108
신도림테크노마트센터||||헌혈의집|02-861-0801|서울 구로구 새말로 97||||||||신도림테크노마트센터|(구로동 3-33) 신도림테크노마트 지하1층 광장 (신도림역 3번출구앞)|||200108
강남센터||||헌혈의집|02-533-0770|서울 서초구 강남대로 437||||||||강남센터|대원빌딩 7층 / 2호선 강남역 10번출구,9호선 신논현역 6번출구 (CGV 건너편)|||200108
서울남부혈액원(원내)||||헌혈의집|02-570-0662|서울 강남구 개포로31길 48||||||||서울남부혈액원(원내)|대한적십자사 서울남부혈액원|||200108
천호센터||||헌혈의집|02-485-3515|서울 강동구 천호대로 1033||||||||천호센터|강동빌딩 8층 (천호동453-15호) 천호역 5번출구|||200108
잠실역센터||||헌혈의집|02-2202-7479|서울 송파구 올림픽로 지하265||||||||잠실역센터|잠실역 구내광장 7호점 (잠실 광역버스 환승센터 옆)|||200108
하남센터||||헌혈의집|031-796-1035|경기 하남시 신장로 133||||||||하남센터|1층|||200108
동서울2센터||||헌혈의집|02-446-3526|서울 광진구 강변역로 50||||||||동서울2센터|동서울터미널내 1층 114호 (구의동 546-1번지) 2호선 강변역 4번출구|||200108
건대역센터||||헌혈의집|02-498-4185|서울 광진구 동일로22길 115||||||||건대역센터|하마빌딩 4층 (화양동 5-91) 2,7호선 건대역 2번출구|||200108
이수센터||||헌혈의집|02-578-9811|서울 동작구 동작대로 109||||||||이수센터|경문빌딩 3층 (사당동 145-2)4호선 이수역 (총신대)13번출구|||200108
코엑스센터||||헌혈의집|02-551-0600|서울 강남구 봉은사로 524||||||||코엑스센터|코엑스몰 R7,2호선 삼성역 5번 출구|||200108
노량진역센터||||헌혈의집|02-825-2916|서울 동작구 노량진로 154||||||||노량진역센터|동작경찰서 옆,노량진역 1호선 1번출구,9호선 3번출구|||200108
강남2센터||||헌혈의집|02-564-1525|서울 강남구 강남대로 378||||||||강남2센터|준빌딩9층 (역삼동825-9) 2호선 강남역 2번출구|||200108
강동센터||||헌혈의집|02-3427-5130|서울 강동구 고덕로 272||||||||강동센터|이마트 명일점앞 (명일2동 46-5호) 5호선 고덕역 4번출구|||200108
수유센터||||헌혈의집|02-900-4772|서울 강북구 도봉로 325||||||||수유센터|수성타워 (지하철4호선 수역 5번출구)|||200108
망우역센터||||헌혈의집|02-762-1978|서울 중랑구 망우로 353||||||||망우역센터|상봉 프레미어스 엠코 c동 302호|||200108
고려대앞센터||||헌혈의집|02-967-3852|서울 성북구 인촌로24길 11||||||||고려대앞센터|2층 (6호선 안암역 3번출구 안경박사 2층)|||200108
광화문센터||||헌혈의집|02-732-1027|서울 종로구 종로 19||||||||광화문센터|르메이에르종로타운 204호 (2층)|||200108
노원센터||||헌혈의집|02-934-5340|서울 노원구 상계로 70||||||||노원센터|(지하철4호선 노원역2번출구,화랑화장품빌딩 7층)|||200108
한양대역센터||||헌혈의집|02-2296-1076|서울 성동구 왕십리로 206||||||||한양대역센터|한양대역 (2번출구방면)|||200108
노해로센터||||헌혈의집|02-935-0322|서울 노원구 노해로 480||||||||노해로센터|조광빌딩 2층 노해로센터|||200108
회기센터||||헌혈의집|02-969-6199|서울 동대문구 회기로 188||||||||회기센터|두리빌딩5층 (지하철1호선 회기역 1번출구)|||200108
돈암센터||||헌혈의집|02-925-3566|서울 성북구 동소문로20다길 17||||||||돈암센터|MAYQUEEN빌딩 4호선 성신여대역 1번출구 국민은행 골목 200미터이내|||200108
의정부센터||||헌혈의집|031-841-0322|경기 의정부시 행복로 9||||||||의정부센터|2층 (1층스무디킹,신한은행건너편)|||200108
구리센터||||헌혈의집|031-563-5322|경기 구리시 경춘로 239||||||||구리센터|리맥스빌딩 7층|||200108
서울동부혈액원(원내)||||헌혈의집|02-2092-9356|서울 노원구 동일로 1329||||||||서울동부혈액원(원내)|(지하철7호원 중계역6번출구 노원역방향으로 150미터 정도)|||200108
의정부2센터||||헌혈의집|031-871-0310|경기 의정부시 시민로 80||||||||의정부2센터|센트럴타워 707호 (1호선 의정부역 2번출구)|||200108
대학로센터||||헌혈의집|02-743-1972|서울 종로구 대명길 26||||||||대학로센터|3층 (4호선 혜화역 4번출구)|||200108
남포센터||||헌혈의집|051-246-7505|부산 중구 구덕로 50-1||||||||남포센터|(남포동 5가 3-7 / 피닉스 호텔 옆,남포지하도상가 7번 출입구 앞)|||200108
