##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@크라이슬러
JEEP|청담전시장|127.042278|37.523194|크라이슬러|02-515-1515|서울특별시 강남구 도산대로 426|||||||렉스모터스|JEEP 청담전시장||||160713
JEEP|서초전시장|127.014278|37.481278|크라이슬러|02-525-0040|서울특별시 서초구 남부순환로 2219|||||||씨엘모터스|JEEP 서초전시장||||160713
JEEP|강서전시장|126.877984|37.547524|크라이슬러|080-982-8000|서울시 강서구 공항대로 659|||||||프리마모터스|JEEP 강서전시장|도레미빌딩|||160713
JEEP|수원전시장|127.022778|37.258750|크라이슬러|031-237-4700|경기도 수원시 권선구 경수대로 359|||||||보성모터스|JEEP 수원전시장||||160713
JEEP|일산전시장|126.801611|37.661639|크라이슬러|080-981-8000|경기도 고양시 일산동구 백마로 480|||||||프리마모터스|JEEP 일산전시장||||160713
JEEP|인천전시장|126.713395|37.449640|크라이슬러|032-463-3002|인천광역시 남동구 인주대로 687|||||||JK모터스|JEEP 인천전시장|(구월동)|||160713
JEEP|분당전시장|127.101861|37.386083|크라이슬러|031-708-0009|경기도 성남시 분당구 판교원로 327|||||||빅토리 오토모티브|JEEP 분당전시장||||160713
JEEP|원주전시장|127.926556|37.346333|크라이슬러|033-766-6300|강원도 원주시 서원대로 125-1|||||||강원모터스|JEEP 원주전시장||||160713
JEEP|천안전시장|127.119611|36.823556|크라이슬러|041-523-1551|충청남도 천안시 서북구 백석로 71|||||||비전오토모빌|JEEP 천안전시장||||160713
JEEP|대전전시장|127.437618|36.355842|크라이슬러|042-672-8000|대전광역시 동구 한밭대로 1265|||||||비전오토모빌|JEEP 대전전시장||||160713
JEEP|포항전시장|129.326417|36.005167|크라이슬러|054-277-5336|경상북도 포항시 남구 새천년대로 230|||||||경북모터스|JEEP 포항전시장||||160713
JEEP|대구전시장|128.624333|35.847972|크라이슬러|053-761-0660|대구광역시 수성구 동대구로 195|||||||대경모터스|JEEP 대구전시장||||160713
JEEP|울산전시장|129.32775|35.539167|크라이슬러|052-257-3009|울산광역시 남구 번영로 156|||||||우진모터스|JEEP 울산전시장||||160713
JEEP|부산전시장|129.110972|35.148528|크라이슬러|051-626-0088|부산광역시 수영구 수영로 480|||||||우진모터스|JEEP 부산전시장||||160713
JEEP|창원전시장|128.578556|35.203083|크라이슬러|055-296-1001|경상남도 창원시 마산 합포구 어시장9길 106|||||||대경모터스|JEEP 창원전시장||||160713
JEEP|광주전시장|126.893750|35.140778|크라이슬러|062-384-8337|광주광역시 남구 대남대로 325|||||||선일모터스|JEEP 광주전시장||||160713
JEEP|제주전시장|126.504250|33.481194|크라이슬러|064-724-9990|제주특별자치도 제주시 연북로 454|||||||프리마모터스|JEEP 제주전시장||||160713
JEEP|강남 서비스센터|127.043333|37.492806|크라이슬러|1588-4450|서울특별시 강남구 도곡로 224|||||||씨엘모터스|JEEP 강남 서비스센터||||160713
JEEP|성동 서비스센터|127.055083|37.549611|크라이슬러|02-462-3131|서울특별시 성동구 광나루로 228|||||||렉스모터스|JEEP 성동 서비스센터||||160713
JEEP|영등포 서비스센터|126.888694|37.542528|크라이슬러|02-6925-0393|서울특별시 영등포구 양평로 30길 30|||||||프리마모터스|JEEP 영등포 서비스센터||||160713
JEEP|일산 서비스센터|126.755306|37.690667|크라이슬러|031-922-0117|경기도 고양시 일산서구 덕이로 50-20|||||||프리마모터스|JEEP 일산 서비스센터||||160713
JEEP|인천 서비스센터|126.619207|37.437768|크라이슬러|032-881-3006|인천광역시 중구 서해대로 94번길 13|||||||JK 모터스|JEEP 인천 서비스센터||||160713
JEEP|수원 서비스센터|127.022806|37.258750|크라이슬러|031-237-4230|경기도 수원시 권선구 경수대로 359|||||||보성모터스|JEEP 수원 서비스센터||||160713
JEEP|분당 서비스센터|127.105861|37.318611|크라이슬러|031-896-0005|경기도 용인시 기흥구 용구대로 2469번길 132|||||||빅토리오토모티브|JEEP 분당 서비스센터||||160713
JEEP|원주서비스센터|127.956194|37.407861|크라이슬러|033-766-6301|강원도 원주시 소초면 장막1길 14|||||||강원모터스|JEEP 원주서비스센터||||160713
JEEP|천안 서비스센터|127.113278|36.822000|크라이슬러|041-523-2211|충청남도 천안시 서북구 백석3로 13-6|||||||비전오토모빌|JEEP 천안 서비스센터||||160713
JEEP|대전 서비스센터|127.437653|36.355843|크라이슬러|042-637-8000|대전광역시 동구 한밭대로 1265|||||||비전오토모빌|JEEP 대전 서비스센터||||160713
JEEP|포항 서비스센터|129.326417|36.005167|크라이슬러|054-283-5336|경상북도 포항시 남구 새천년대로 230|||||||경북모터스|JEEP 포항 서비스센터||||160713
JEEP|대구 수성구 서비스센터|128.618333|35.846833|크라이슬러|053-564-0110|대구광역시 수성구 희망로 177|||||||대경모터스|JEEP 대구 수성구 서비스센터||||160713
JEEP|울산 서비스센터|129.327639|35.540250|크라이슬러|052-272-7600|울산광역시 남구 번영로166번길 5|||||||우진모터스|JEEP 울산 서비스센터||||160713
JEEP|부산 서비스센터|129.200667|35.183694|크라이슬러|051-704-0065|부산광역시 해운대구 해운대로 1101|||||||우진모터스|JEEP 부산 서비스센터||||160713
JEEP|창원 서비스센터|128.602806|35.218694|크라이슬러|055-296-1005|경상남도 창원시 마산회원구 봉암북13길 1|||||||대경모터스|JEEP 창원 서비스센터||||160713
JEEP|전주 서비스센터|127.120417|35.866000|크라이슬러|063-271-7300|전라북도 전주시 덕진구 두간2길 3-26|||||||라온모터스|JEEP 전주 서비스센터||||160713
JEEP|광주 서비스센터|126.877639|35.111389|크라이슬러|062-676-8371|광주광역시 남구 송암로24번가길 39|||||||선일모터스|JEEP 광주 서비스센터||||160713
JEEP|제주 서비스센터|126.482444|33.493111|크라이슬러|064-745-4588|제주특별자치도 제주시 일주서로 7822|||||||프리마모터스|JEEP 제주 서비스센터||||160713
