##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@산후조리원
맘/산후조리원||127.0429603|37.7367968|산후조리원|031-879-8434|경기 의정부시 신흥로 130||||||||맘 산후조리원|(호원동)|||30601
마더러브||127.130088|37.5996482|산후조리원|031-564-3535||경기 구리시 교문동 282-1|||||||마더러브||||30601
맘편한/산후조리원||126.8124827|37.3014031|산후조리원|031-411-3552|경기 안산시 단원구 원포공원2로 35||||||||맘편한 산후조리원|(초지동,메가쇼핑타운1)|||30601
아모리움/사임당||127.0225228|37.501711|산후조리원|02-533-6169|서울 서초구 서운로 216||||||||아모리움 사임당|(서초동,GDA주니어스쿨)|||30601
쟈스민/산후조리원||127.0702066|37.750044|산후조리원|031-842-1122|경기 의정부시 부용로 105||||||||쟈스민 산후조리원|(금오동,프레티넘프라자2) 6층|||30601
클로리스산후조리원||127.1309362|37.3791365|산후조리원|031-781-7004|경기 성남시 분당구 중앙공원로40번길 4||||||||클로리스산후조리원|(서현동,현대카스올림픽골프파크) 3층|||30601
JK/산후조리원||126.7243595|37.4978623|산후조리원|032-523-0700|인천 부평구 부흥로294번길 4||||||||JK 산후조리원|(부평동,추인타워)|||30601
광명제일산후조리원||126.8499579|37.4686843|산후조리원|02-2686-5800|경기 광명시 광명로 906||||||||광명제일산후조리원|(광명동,현대아이타워) 9층|||30601
동그라미/강남||126.9831329|37.4917851|산후조리원|02--532-1633||서울 서초구 방배동 783-26|||||||동그라미 강남||||30601
로얄사임당/소하점||126.8865769|37.4481963|산후조리원|02-898-0898|경기 광명시 소하로 78||||||||로얄사임당 소하점|(소하동,신성프라자) 4층|||30601
로얄사임당/평촌점||126.9447542|37.3873596|산후조리원|031-448-0083|경기 안양시 동안구 경수대로 855||||||||로얄사임당 평촌점|(비산동)|||30601
아이미래/김포||126.7691839|37.6032344|산후조리원|031-998-4191|경기 김포시 고촌읍 장차로5번길 5-25||||||||아이미래 김포|(신곡리,엔타운) 5층|||30601
아이미래/대전||127.3822532|36.3540837|산후조리원|042-476-3575|대전 서구 대덕대로242번길 48||||||||아이미래 대전|(둔산동) 2층|||30601
아이미래/영등포||126.905023|37.5080301|산후조리원|08-848-3579|서울 영등포구 도신로 116||||||||아이미래 영등포|(신길동,대웅빌딩)|||30601
아이미래/의정부||127.0705579|37.7512909|산후조리원|031-852-9800|경기 의정부시 청사로 37||||||||아이미래 의정부|(금오동,신세계프라자)|||30601
아이제일/산후조리원||126.9153066|37.6114461|산후조리원|02-355-0069|서울 은평구 서오릉로 81||||||||아이제일 산후조리원|(역촌동)|||30601
꿈담||128.5058191|35.8538782|산후조리원|053-583-7447|대구 달서구 이곡서로 11||||||||꿈담|(이곡동)|||30601
마미캠프/서울||127.1322684|37.5310934|산후조리원|02-472-6565|서울 강동구 성안로 156||||||||마미캠프 서울|(길동,우주빌딩)|||30601
마미캠프/창원||128.6796505|35.2185989|산후조리원|055-286-3576|경남 창원시 성산구 상남로 73||||||||마미캠프 창원|(상남동,서울메디컬센타)|||30601
BM/비엠/산후조리원||126.8482669|37.307254|산후조리원|031-501-0660|경기 안산시 상록구 광덕1로 376||||||||BM 비엠 산후조리원|(이동,한대프라자)|||30601
e좋은병원/산후조리원||128.4208932|34.8851217|산후조리원|055-646-5656|경남 통영시 광도면 죽림5로 15||||||||e좋은병원 산후조리원|(죽림리,e좋은병원)|||30601
gn/지엔/산후조리원||127.1129451|36.9921075|산후조리원|031-668-0075|경기 평택시 비전5로 3||||||||gn 지엔 산후조리원|(비전동)|||30601
HMB/산후조리원||126.7359923|37.5375618|산후조리원|032-554-6100|인천 계양구 계산새로 71||||||||HMB 산후조리원|(계산동,하이베라스빌딩)|||30601
IM(아이엠)||126.6725144|37.5914934|산후조리원|032-463-0118|인천 서구 청마로51번안길 22||||||||IM(아이엠)|(당하동,검단탑요양원)|||30601
J(제이)/산후조리원||126.9475271|37.5830596|산후조리원|02-2153-7788|서울 서대문구 통일로 442||||||||J(제이) 산후조리원|(홍제동,제이여성병원)|||30601
MH(미래와희망)/산후조리원||127.0382699|37.5150973|산후조리원|02-3446-3434|서울 강남구 언주로 707||||||||MH(미래와희망) 산후조리원|(논현동,MH빌딩)|||30601
MJ산후조리원||126.8967866|37.4619625|산후조리원|02-2109-3003|서울 금천구 시흥대로 415||||||||MJ산후조리원|(독산동,디디에스빌딩)|||30601
VIP산후조리원/금천||126.8967866|37.4619625|산후조리원|02-851-1566|서울 금천구 시흥대로 429||||||||VIP산후조리원 금천|(독산동,독산동복합)|||30601
VIP산후조리원/영등포||126.913424|37.4972186|산후조리원|02-841-5277||서울 영등포구 신길동 4491|||||||VIP산후조리원 영등포||||30601
W/더블유/여성병원||127.3842685|36.3452698|산후조리원|042-485-0001|대전 서구 문정로48번길 70||||||||W 더블유 여성병원|(탄방동)|||30601
YJB(양정분)/산후조리원||127.4472126|37.2761682|산후조리원|031-631-9170|경기 이천시 이섭대천로 1186||||||||YJB (양정분) 산후조리원|(중리동,양정분산부인과)|||30601
가연/산후조리원||126.9294214|37.4805728|산후조리원|02-879-9001|서울 관악구 신원로 35||||||||가연 산후조리원|(신림동,삼모더프라임타워)|||30601
가오플러스||127.4587357|36.309807|산후조리원|042-286-3535|대전 동구 은어송로 63||||||||가오플러스|(가오동,글로리아타워2)|||30601
가율(동그라미/강동)||127.14567|37.538274|산후조리원|02-485-0087|서울 강동구 천호대로 1128||||||||가율 (동그라미 강동)|(성내동,웰빙메디컬빌딩)|||30601
강동미즈||127.1281425|37.5385182|산후조리원|1661-0997|서울 강동구 천호대로159길 13||||||||강동미즈|(천호동,풍원빌딩)|||30601
결한방산후조리원||126.9243844|37.4911639|산후조리원|02-6275-9000|서울 동작구 보라매로5가길 16||||||||결한방산후조리원|(신대방동,보라매아카데미타워)|||30601
고운맘||127.3403195|36.2992196|산후조리원|042-546-5550|대전 서구 관저동로 162||||||||고운맘|(관저동,건양프라자)|||30601
고운맘||128.5045003|35.2310517|산후조리원|055-232-0800|경남 창원시 마산회원구 내서읍 경남대로 937||||||||고운맘|(삼계리,고운메디칼)|||30601
고운맘/산후조리원/강서||126.8524604|37.5311661|산후조리원|02-2693-3006|서울 강서구 곰달래로 178||||||||고운맘 산후조리원 강서|(화곡동,르네상스빌딩)|||30601
고은산후조리원||126.6473763|37.450671|산후조리원|032-870-5314|인천 남구 독배로 463||||||||고은산후조리원|(숭의동,고은여성병원)|||30601
곽생로/곽여성병원||127.1290911|37.4406392|산후조리원|031-723-7266|경기 성남시 수정구 수정로73번길 16-27||||||||곽생로 곽여성병원|(태평동)|||30601
광진아기맘미소||127.0707941|37.5350959|산후조리원|02-447-0065|서울 광진구 뚝섬로 503||||||||광진아기맘미소|(자양동)|||30601
