##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@ABC마트
ABC마트|GS/천호로데오점|||ABC마트|02-2138-0755|서울 강동구 천호대로157길 18||의류판매;교환/환불;상품권사용;포인트사용||||||ABC마트 GS/천호로데오점|(천호동,원방빌딩) 18 1층 GS 천호로데오점|||91007
ABC마트|GS/홍대홍익로점|||ABC마트|02-2038-3671||서울 마포구 서교동 355-2|의류판매;교환/환불;상품권사용;포인트사용||||||ABC마트 GS/홍대홍익로점|ABC-MART GS 홍대홍익로점|||91007
ABC마트|ST/명동3가점|||ABC마트|02-2038-3542||서울 중구 충무로2가 7-1|교환/환불;상품권사용;포인트사용||||||ABC마트 ST/명동3가점|1층|||91007
ABC마트|ST/성서홈플러스점|||ABC마트|053-721-6318|대구 달서구 달구벌대로 1467||교환/환불;상품권사용;포인트사용||||||ABC마트 ST/성서홈플러스점|(용산동) 홈플러스 성서점 B2층|||91007
ABC마트|GS/대구동성로중앙점|||ABC마트|053-721-6096|대구 중구 동성로6길 2-18||의류판매;교환/환불;상품권사용;포인트사용||||||ABC마트 GS/대구동성로중앙점|(동성로2가) GS 대구동성로중앙점|||91007
ABC마트|ST/안산중앙역점|||ABC마트|031-365-4404||경기 안산시 단원구 고잔동 539-18|교환/환불;상품권사용;포인트사용||||||ABC마트 ST/안산중앙역점|GM 프라자 101,102,112호|||91007
ABC마트|MS/홍대EXIT몰점|||ABC마트|02-6925-1105|서울 마포구 양화로 161||교환/환불;상품권사용;포인트사용||||||ABC마트 MS/홍대EXIT몰점|(동교동,케이스퀘어) 홍대 EXIT몰 지하1층|||91007
ABC마트|KM/코엑스스타필드점|||ABC마트|02-6952-3887|서울 강남구 영동대로 513||교환/환불;포인트사용||||||ABC마트 KM/코엑스스타필드점|(삼성동,코엑스) B1층 N112호|||91007
ABC마트|ST/당진읍내점|||ABC마트|041-430-7110|충남 당진시 당진중앙2로 221||교환/환불;포인트사용||||||ABC마트 ST/당진읍내점|(읍내동) ABC-MART ST 당진읍내점|||91007
ABC마트|GS/미아현대점|||ABC마트|02-2117-1835|서울 성북구 동소문로 315||의류판매;교환/환불;포인트사용||||||ABC마트 GS/미아현대점|(길음동,현대백화점미아점) 8층 GS 미아현대점|||91007
ABC마트|ST/울산신선도원몰점|||ABC마트|052-916-0180|울산 북구 진장17길 10||교환/환불;포인트사용||||||ABC마트 ST/울산신선도원몰점|(진장동,메가마트) 시선도원몰 1층|||91007
ABC마트|KM/울산신선도원몰점|||ABC마트|052-916-0305|울산 북구 진장17길 10||교환/환불;포인트사용||||||ABC마트 KM/울산신선도원몰점|(진장동,메가마트) 시선도원몰 3F|||91007
ABC마트|GS/광주충장로점|||ABC마트|062-714-1141||광주 동구 충장로2가 3-1|의류판매;교환/환불;상품권사용||||||ABC마트 GS/광주충장로점|GS 광주충장로점|||91007
