##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@용구비어
용구비어|의성점|36.35004001937106|128.6954468966437|용구비어|054-833-1055|경북 의성군 의성읍 문소3길 46||||||||용구비어 의성점||||80218
용구비어|김해어방점|35.23666505574921|128.90156709141888|용구비어|055-326-7579|경남 김해시 분성로501번길 17||||||||용구비어 김해어방점||||80218
용구비어|강원영월점|37.178509845773654|128.45806299975143|용구비어|010-5154-9993|강원도 영월군 영월읍 하송로 128||||||||용구비어 강원영월점||||80218
용구비어|포항양덕법원점|36.089673118037815|129.38858066108602|용구비어|054-255-4445||경상북도 포항시 북구 양덕동 667-3|||||||용구비어 포항양덕법원점|102호|||80218
용구비어|수원아이파크에비뉴점|37.24736627658074|127.0271047385657|용구비어|031-267-0133|경기도 수원시 권선구 동수원로 177번길 90||||||||용구비어 수원아이파크에비뉴점|107,108호 (권선동)|||80218
용구비어|화성동탄점|37.2039745337721|127.07219284063872|용구비어|031-613-3555|경기 화성시 동탄반석로 172||||||||용구비어 화성동탄점|1층 145호|||80218
용구비어|청송진보점|36.52808569925807|129.04566258646707|용구비어|054-874-1017|경북 청송군 진보면 진안남 1길 3-1||||||||용구비어 청송진보점||||80218
용구비어|태백황지점|37.15890680810662|128.98150806950025|용구비어|033-554-0925||강원도 태백시 황지동 404-3|||||||용구비어 태백황지점|1층|||80218
용구비어|노량진점|37.51167039128218|126.94515656991144|용구비어|02-3280-0911|서울특별시 동작구 노량진동만양로 14가길 1||||||||용구비어 노량진점||||80218
용구비어|상록수역점|37.30222676509674|126.86477499107865|용구비어|031-406-0955|경기도 안산시 상록구 본오동상록수로 44||||||||용구비어 상록수역점|상림프라자 111호|||80218
용구비어|개신점|36.62253292723268|127.44669425604424|용구비어|043-233-0908|충청북도 청주시 서원구 신율로 49||||||||용구비어 개신점|개신동레몬타워 108|||80218
용구비어|안성점|37.008837582193244|127.27074162281481|용구비어|031-674-0722|경기도 안성시 중앙3길 5||||||||용구비어 안성점|서연오피스텔 (대천동)|||80218
용구비어|경인교대역점|37.53725022465155|126.72487029572374|용구비어|032-556-4961|인천광역시 계양구 계산로 112번길 1||||||||용구비어 경인교대역점||||80218
용구비어|성남종합시장점|||용구비어|031-747-5596|경기도 성남시 수정구 시민로 142번길 12-1||||||||용구비어 성남종합시장점|(신흥동 1,2층)|||80218
용구비어|성화점|||용구비어|043-231-7507|충청북도 청주시 서원구 장전로 20번다길 2||||||||용구비어 성화점|1층 (성화동)|||80218
용구비어|충남대점|||용구비어|042-826-0935|대전광역시 유성구 대학로 141번길 17||||||||용구비어 충남대점||||80218
용구비어|강서구청점|||용구비어|02-2601-0908|서울특별시 강서구 까치산로 27길 18||||||||용구비어 강서구청점||||80218
용구비어|신림역점|||용구비어|02-887-5397|서울특별시 관악구 신림로 65길 20||||||||용구비어 신림역점|(신림동)|||80218
용구비어|일산본점|||용구비어|031-907-0915|경기도 고양시 일산동구 정발산로 43-7||||||||용구비어 일산본점|(장항동 856) 메리트윈 106호|||80218
용구비어|동해점|||용구비어|033-522-0925|강원도 동해시 청운1길 55-2나-6 (나안동 협성재래식삼가3차 나동 6호~8호) ||||||||용구비어 동해점||||80218
용구비어|오창점|||용구비어|041-214-5431|충청북도 청원군 오창중앙로 123-9||||||||용구비어 오창점||||80218
용구비어|임학역점|||용구비어|032-543-2174|인천광역시 계양구 장제로 875번길 71-104||||||||용구비어 임학역점|(임학동 금광포한재아파트)|||80218
용구비어|탑동점|||용구비어|031-227-4809|경기도 수원시 권선구 하탑로 39103||||||||용구비어 탑동점||||80218
용구비어|삼척점|||용구비어|033-574-0099|강원도 삼척시 청석로 60106-104||||||||용구비어 삼척점||||80218
용구비어|고잔점|||용구비어|031-402-3033|경기도 안산시 단원구 광덕3로 167-18||||||||용구비어 고잔점|104|||80218
용구비어|명지대점|||용구비어|02-3152-3045|서울특별시 서대문구 거북골로 21-7||||||||용구비어 명지대점||||80218
용구비어|춘천본점|||용구비어|033-261-0901|강원도 춘천시 스무숲1길 67||||||||용구비어 춘천본점|(석사동 1층)|||80218
용구비어|청주복대동점|||용구비어|043-233-7431|충청북도 청주시 흥덕구 대신로 73번길 23||||||||용구비어 청주복대동점|1층 (복대동)|||80218
용구비어|부천대점|||용구비어|032-613-8281|경기도 부천시 원미구 부천로 29번길 49||||||||용구비어 부천대점|1층 (심곡동)|||80218
용구비어|시흥점|37.45153507938176|126.90284188680799|용구비어|02-808-5444|서울특별시 금천구 시흥대로 50길 11||||||||용구비어 시흥점|(시흥동)|||80218
용구비어|신림난곡점|||용구비어|02-6747-2393|서울특별시 관악구 난곡로 168||||||||용구비어 신림난곡점|(신림동)|||80218
용구비어|음성점|||용구비어|043-873-7274|충청북도 음성군 시장로 128||||||||용구비어 음성점||||80218
용구비어|장안사거리점|||용구비어|02-2216-6463|서울특별시 동대문구 장한로 28길 50||||||||용구비어 장안사거리점|(장안동)|||80218
용구비어|충남논산점|||용구비어|041-732-0944|충청남도 논산시 부창로 100번길 19-10||||||||용구비어 충남논산점|(강산동)|||80218
용구비어|성남본점|||용구비어|031-757-0908|경기도 성남시 수정구 복정로 62||||||||용구비어 성남본점|1층 (복정동)|||80218
용구비어|지행역점|||용구비어|031-865-0925|경기도 동두천시 평화로 2261번길 33||||||||용구비어 지행역점|(지행동 1층)|||80218
용구비어|오창호수공원점|||용구비어|043-213-5999||충청북도 청원군 오창읍 양청리 793-4|||||||용구비어 오창호수공원점||||80218
용구비어|홍대역점|||용구비어|02-325-0925|서울특별시 마포구 어울마당로 138-4||||||||용구비어 홍대역점|1층 (서교동)|||80218
용구비어|동백점|||용구비어|031-283-1595|경기도 용인시 기흥구 동백5로 21-8||||||||용구비어 동백점|(중동 동백지스타 111호)|||80218
용구비어|태안점|||용구비어|041-675-0925|충청남도 태안군 후곡로 131-2||||||||용구비어 태안점|(후곡로 132)|||80218
용구비어|상록점|||용구비어|031-419-0979|경기도 안산시 상록구 각골로 118||||||||용구비어 상록점|(본오동)|||80218
용구비어|신대방삼거리역점|||용구비어|02-3280-8208|서울특별시 동작구 여의대방로 24길 129||||||||용구비어 신대방삼거리역점|1층 (대방동 더킴벌리빌딩)|||80218
용구비어|동해2호점|||용구비어|033-534-0920|강원도 동해시 하평로 100||||||||용구비어 동해2호점|(평등동)|||80218
용구비어|대방점|||용구비어|02-817-0333|서울특별시 동작구 여의대방로 188.||||||||용구비어 대방점||||80218
용구비어|인천동양점|||용구비어|032-541-2844|인천광역시 계양구 양지말2길 8||||||||용구비어 인천동양점|(동양동)|||80218
용구비어|증평점|||용구비어|043-838-1071|충청북도 증평군 윗장뜰길 43||||||||용구비어 증평점||||80218
용구비어|도화점|||용구비어|02-716-6651|서울특별시 마포구 도화길 45-1||||||||용구비어 도화점||||80218
