##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@관광공사맛집
백년가게/큰마을영양굴밥||126.4165231604|36.6095828786|관광공사맛집|041-662-2706|충청남도 서산시 부석면 간월도1길 65||음식|09:00~19:30||| 큰마을영양굴밥||[백년가게]큰마을영양굴밥||||kto
이대감||127.1112120949|37.2580285197|관광공사맛집|031-235-1800|경기도 용인시 기흥구 사은로72번길 3||맛집;음식|09:00 ~ 21:30|||||이대감||||kto
백년가게/마방(마일드치킨)||126.4539568548|36.7827746703|관광공사맛집|041-665-5369|충청남도 서산시 번화1로 41-1||음식|12:00 ~ 24:00||| 마방(마일드치킨)||[백년가게]마방(마일드치킨)||||kto
백년가게/장안면옥||127.2694852678|37.0099627993|관광공사맛집|031-675-4703|경기도 안성시 중앙로371번길 54||음식|08:30 ~ 20:30||| 장안면옥||[백년가게]장안면옥||||kto
백년가게/77돌곱창||128.9851204151|35.1572213251|관광공사맛집|051-317-0470|부산광역시 사상구 괘감로 98||음식|11:00~20:00||| 77돌곱창||[백년가게]77돌곱창||||kto
백년가게/죽도집(죽도횟집)||129.2268671131|35.2195993671|관광공사맛집|051-721-2411|부산광역시 기장군 기장읍 연화1길 215||음식|10:00~21:00||| 죽도집 (죽도횟집)||[백년가게]죽도집 (죽도횟집)||||kto
백년가게/신안촌||126.9709075648|37.5756919346|관광공사맛집|02-725-7744|서울특별시 종로구 사직로12길 8||음식|11:30 ~ 02:30, 05:00 ~ 22:00 (토요일 ~20:00)||| 신안촌||[백년가게]신안촌||||kto
백년가게/새만포면옥||126.9175002334|37.6142114991|관광공사맛집|02-389-3917|서울특별시 은평구 연서로 171||음식|||| 새만포면옥||[백년가게]새만포면옥||||kto
백년가게/창성옥||126.9604179636|37.5364601949|관광공사맛집|02-718-2878|서울특별시 용산구 새창로 124-10||음식|06:00 ~ 02:00||| 창성옥||[백년가게]창성옥||||kto
백년가게/동신명가(동신면가)||127.1281938843|37.5529279659|관광공사맛집|02-481-8892|서울특별시 강동구 올림픽로 803||음식|10:00 ~ 23:00 (주문마감 22:00)||| 동신명가(동신면가)||[백년가게]동신명가(동신면가)||||kto
백년가게/청해진||127.1274391963|37.5248784317|관광공사맛집|02-484-1551|서울특별시 강동구 강동대로 187||음식|11:00 ~ 21:30 (브레이크타임 15:00 ~ 17:00)||| 청해진||[백년가게]청해진||||kto
백년가게/메바우명가춘천막국수||127.7238825642|37.8923133335|관광공사맛집|033-254-2232|강원도 춘천시 당간지주길 76||음식|10:00 ~ 21:00||| 메바우명가춘천막국수||[백년가게]메바우명가춘천막국수||||kto
백년가게/함흥냉면옥||128.5899138141|38.2020382323|관광공사맛집|033-633-2256|강원도 속초시 청초호반로 299||음식|10:30 ~ 20:30||| 함흥냉면옥||[백년가게]함흥냉면옥||||kto
백년가게/일송면옥||129.0918341648|35.2287458356|관광공사맛집|051-514-3381|부산광역시 금정구 부곡로141번길 6||음식|11:00 ~ 22:00 (평일 브레이크타임 15:00 ~ 17:00)||| 일송면옥||[백년가게]일송면옥||||kto
백년가게/영빈관||127.6910771000|36.9373537884|관광공사맛집|043-872-6414<br />043-872-3414|충청북도 음성군 음성읍 시장로115번길 5||음식|09:00~21:00||| 영빈관||[백년가게]영빈관||||kto
백년가게/신포순대||126.6262808018|37.4715951275|관광공사맛집|032-773-5735|인천광역시 중구 제물량로166번길 33||음식|08:30 ~ 22:30||| 신포순대||[백년가게]신포순대||||kto
백년가게/삼화정||126.7090456671|37.4646696163|관광공사맛집|032-424-8898<br />032-433-5959|인천광역시 남동구 남동대로922번길 14||음식|00:00 ~ 24:00||| 삼화정||[백년가게]삼화정||||kto
백년가게/함흥냉면||126.7263266458|37.4926166749|관광공사맛집|032-503-8054|인천광역시 부평구 시장로20번길 21||음식|11:00 ~ 22:00||| 함흥냉면||[백년가게]함흥냉면||||kto
백년가게/도지골등나무집||127.7927917443|37.9330348833|관광공사맛집|033-242-2260|강원도 춘천시 신북읍 상천3길 2||음식|10:00 ~ 21:00||| 도지골등나무집||[백년가게]도지골등나무집||||kto
백년가게/뉴욕제과||128.5794425723|38.2010964718|관광공사맛집|033-632-8440|강원도 속초시 교동로 19||음식|08:00 ~ 23:00||| 뉴욕제과||[백년가게]뉴욕제과||||kto
백년가게/무진장갈비촌||126.9560281092|35.9506148877|관광공사맛집|063-843-3070|전라북도 익산시 선화로31길 58||음식|11:00 ~ 22:00||| 무진장갈비촌||[백년가게]무진장갈비촌||||kto
