##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@유안타증권
유안타증권|Finance/Hub/강남점|127.0323209|37.4990618|유안타증권|02-567-3900|서울 강남구 테헤란로 126|서울 강남구 역삼동 823-21|||||||Finance Hub 강남점|대공빌딩 3층;대공빌딩 3층|||40506
유안타증권|MEGA센터분당|127.1227913|37.3835642|유안타증권|031-781-4500|경기 성남시 분당구 황새울로 312번길 26|경기 성남시 분당구 서현동 265-3|||||||MEGA센터분당|센트럴타워 4층;센트럴타워 4층|||40506
유안타증권|MEGA센터잠실|127.0996876|37.515082|유안타증권|02-423-0086|서울 송파구 송파대로 558|서울 송파구 신천동 7-25|||||||MEGA센터잠실|월드타워 10층;월드타워 10층|||40506
유안타증권|W/Prestige/강남센터|127.0563947|37.5081430|유안타증권|02-552-8811|서울 강남구 삼성로 512|서울 강남구 삼성동 157-1|||||||W Prestige 강남센터|삼성동오피스빌딩 2층;삼성동빌딩 2층|||40506
유안타증권|W/Prestige/강북센터|126.9861801|37.5656787|유안타증권|02-3770-2300|서울 중구 을지로 76|서울 중구 을지로2가 185|||||||W Prestige 강북센터|유안타증권빌딩 5층;유안타증권빌딩 5층|||40506
유안타증권|골드센터강남점|127.0588681|37.5079774|유안타증권|02-554-2000|서울 강남구 테헤란로 513|서울 강남구 삼성동 158-23|||||||골드센터강남점|K타워 3층;K타워 3층|||40506
유안타증권|골드센터대전점|127.3898554|36.350987|유안타증권|042-488-9119|대전 서구 둔산로 144|대전 서구 둔산동 1501|||||||골드센터대전점|(2층);2층|||40506
유안타증권|골드센터목동점|126.8719874|37.5246985|유안타증권|02-2652-9600|서울 양천구 오목로 312|서울 양천구 목동 405-276|||||||골드센터목동점|제일빌딩 4층;제일빌딩 4층|||40506
유안타증권|골드센터부산점|129.0595710|35.1559909|유안타증권|051-808-7725|부산 부산진구 중앙대로 708|부산 부산진구 부전동 163-1|||||||골드센터부산점|파이낸스센터 3층;파이낸스센터 3층|||40506
유안타증권|골드센터영업부|126.9861524|37.5656569|유안타증권|02-3770-2200|서울 중구 을지로 76|서울 중구 을지로2가 185|||||||골드센터영업부|유안타증권빌딩 1.5층;유안타증권빌딩 1층|||40506
유안타증권|골드센터울산점|129.3285175|35.538102|유안타증권|052-258-3100|울산 남구 삼산로 197|울산 남구 달동 1358-8|||||||골드센터울산점|유안타증권빌딩 8층;8층|||40506
유안타증권|금융센터강릉본부점|128.8970339|37.7558576|유안타증권|033-655-8822|강원 강릉시 경강로 2109|강원 강릉시 임당동 112-1|||||||금융센터강릉본부점|문선빌딩 2층;2층|||40506
유안타증권|금융센터거제지점|128.6235045|34.8900546|유안타증권|055-635-7766|경남 거제시 서문로 71|경남 거제시 고현동 978-7|||||||금융센터거제지점|제일빌딩 2층;2층|||40506
유안타증권|금융센터광주본부점|126.9164746|35.1506912|유안타증권|062-226-2100|광주 동구 중앙로 198|광주 동구 금남로3가 1-6|||||||금융센터광주본부점|동양빌딩 3층;동양빌딩 3층|||40506
유안타증권|금융센터구미지점|128.4195142|36.1067955|유안타증권|054-471-3636|경북 구미시 인동가산로 23|경북 구미시 황상동 318-34|||||||금융센터구미지점|강동빌딩 2층;강동빌딩 2층|||40506
유안타증권|금융센터대구본부점|128.5921058|35.8652824|유안타증권|053-256-0900|대구 중구 달구벌대로 2090|대구 중구 남산2동 936-1|||||||금융센터대구본부점|동양금융센타 2층;동양금융센터빌딩 2,3층|||40506
유안타증권|금융센터도곡본부점|127.0512947|37.4873448|유안타증권|02-3460-2255|서울 강남구 언주로30길 10|서울 강남구 도곡동 467-19|||||||금융센터도곡본부점|현대비젼21빌딩 4층;현대비전21 4층|||40506
유안타증권|금융센터동북본부점|127.0589624|37.654242|유안타증권|02-934-3383|서울 노원구 노해로 459|서울 노원구 상계동 709-2|||||||금융센터동북본부점|메가빌딩 4층;메가빌딩 4층|||40506
유안타증권|금융센터동탄지점|127.0711684|37.2016878|유안타증권|031-8003-6900|경기 화성시 동탄반석로 144|경기 화성시 반송동 103-1|||||||금융센터동탄지점|동탄스카이뷰빌딩 3층;동탄스카이뷰빌딩 3층|||40506
유안타증권|금융센터디지털밸리지점|126.8972990|37.4858820|유안타증권|02-868-1515|서울 구로구 디지털로 306|서울 구로구 구로동 182-13|||||||금융센터디지털밸리지점|대륭포스트타워 2차 2층;대륭포스트타워 2차 2층|||40506
유안타증권|금융센터방배본부점|126.9938146|37.4882232|유안타증권|02-595-0101|서울 서초구 방배로 162|서울 서초구 방배동 875-5|||||||금융센터방배본부점|예광빌딩 2층;예광빌딩 2층|||40506
유안타증권|금융센터부천지점|126.7514451|37.5063051|유안타증권|032-324-8100|경기 부천시 원미구 길주로 81|경기 부천시 원미구 상동 534-9|||||||금융센터부천지점|모건시티빌딩 3층;모건시티빌딩 3층|||40506
유안타증권|금융센터상무지점|126.8489109|35.1510588|유안타증권|062-385-5200|광주 서구 상무중앙로 46|광주 서구 치평동 1251-1|||||||금융센터상무지점|ECC빌딩 2층;ECC빌딩 2층|||40506
유안타증권|금융센터서산지점|126.4593522|36.7789015|유안타증권|041-664-3231|충남 서산시 안견로 217|충남 서산시 동문동 261-1|||||||금융센터서산지점|삼일상가 2층|||40506
유안타증권|금융센터서초본부점|127.01583|37.4940804|유안타증권|02-525-8822|서울 서초구 서초대로 314|서울 서초구 서초동 1674-1|||||||금융센터서초본부점|정보통신공제조합빌딩 6층;정보통신공제조합빌딩 6층|||40506
유안타증권|금융센터선릉역지점|127.0479770|37.5046892|유안타증권|02-558-5501|서울 강남구 테헤란로 333|서울 강남구 역삼동 705-18|||||||금융센터선릉역지점|신도벤처타워 4층;신도벤처타워 4층|||40506
유안타증권|금융센터센텀지점|129.1312033|35.168165|유안타증권|051-743-5300|부산 해운대구 센텀남대로 50|부산 해운대구 우동 1519|||||||금융센터센텀지점|센텀임페리얼타워 601호;센텀임페리얼타워 601호|||40506
유안타증권|금융센터수성지점|128.6319328|35.8592524|유안타증권|053-741-9800|대구 수성구 달구벌대로 2461|대구 수성구 범어2동 165-4|||||||금융센터수성지점|대구상조빌딩 1층;청구빌딩 1층|||40506
유안타증권|금융센터수원본부점|127.0322615|37.2639488|유안타증권|031-234-7733|경기 수원시 팔달구 권광로 181|경기 수원시 팔달구 인계동 1113-11|||||||금융센터수원본부점|씨네파크 2층;씨네파크 2층|||40506
유안타증권|금융센터순천지점|127.519688|34.9524968|유안타증권|061-727-7300|전남 순천시 연향중앙상가길 13|전남 순천시 연향동 1326-2|||||||금융센터순천지점|BYC빌딩 2층;BYC 빌딩 2층|||40506
유안타증권|금융센터신림지점|126.9303579|37.4825991|유안타증권|02-884-2800|서울 관악구 신림로 318|서울 관악구 서원동 86-3|||||||금융센터신림지점|청암두산위브센티움 3층;청암두산위브센티움 3층|||40506
유안타증권|금융센터안산본부점|126.834231|37.318884|유안타증권|031-485-5656|경기 안산시 단원구 고잔로 72|경기 안산시 단원구 고잔동 533-1|||||||금융센터안산본부점|센트럴타워 4층;센트럴타워 4층|||40506
